[Na/Fe] err [Mg/Fe] err  [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Ti2/Fe] err [Cr/Fe] err [Fe/H] err [Fe2/H] err [Ni/Fe] err [Y/Fe] err [Ba/Fe] err [La/Fe] err [Nd/Fe] err [Eu/Fe] err
-0.81  0.17  0.02  0.12 -0.15  0.10 -0.29  0.06 -0.23  0.06  0.17  0.12 -0.18  0.17 -0.87  0.07  0.06  0.24 -0.13  0.08  0.07  0.17  0.69  0.12  0.48  0.17  0.33  0.20  0.86  0.17
-0.91  0.14 -0.11  0.14 -0.21  0.14 -0.33  0.08 -0.38  0.07 -0.08  0.09 -0.27  0.20 -0.82  0.06 -0.42  0.10 -0.24  0.06 -0.45  0.20  0.28  0.14  0.27  0.20  0.25  0.12  0.52  0.20
-0.72  0.11 -0.14  0.09  0.04  0.08 -0.38  0.06 -0.16  0.05 -0.15  0.16 -0.20  0.16 -0.92  0.06 -0.64  0.07 -0.19  0.06 -0.08  0.16  0.58  0.13  0.39  0.16  0.27  0.10  0.52  0.16
-0.39  0.32  0.44  0.20  0.11  0.18 -0.29  0.11 -0.31  0.12  0.60  0.22 -0.59  0.32 -1.38  0.07 -0.88  0.08 -0.35  0.11 -0.03  0.32  1.29  0.23  1.15  0.32  0.91  0.19  1.72  0.32
-0.40  0.23 -0.12  0.18 -0.06  0.18 -0.17  0.13  0.23  0.13 -0.20  0.18  0.11  0.32 -0.63  0.11 -0.74  0.14 -0.17  0.09 -0.22  0.32  0.10  0.32  0.76  0.32  0.72  0.23  0.55  0.32
-0.55  0.25 -0.06  0.18  0.23  0.14 -0.30  0.09 -0.40  0.09  0.41  0.14 -0.32  0.25 -0.91  0.07 -0.83  0.15 -0.26  0.08  0.03  0.25  0.57  0.18  0.29  0.25  0.05  0.25  0.54  0.25
-0.60  0.16  0.01  0.16  0.04  0.13 -0.18  0.08 -0.15  0.08  0.02  0.14 -0.18  0.22 -0.83  0.06 -0.41  0.13 -0.27  0.08 -30.0  0.00  0.36  0.16  0.32  0.22  0.41  0.16  0.68  0.22
-0.64  0.13 -0.06  0.10 -0.02  0.14 -0.25  0.07 -0.12  0.06  0.26  0.10 -0.13  0.18 -0.86  0.07 -0.60  0.09 -0.20  0.06 -30.0  0.00  0.74  0.13  0.36  0.18  0.31  0.10  0.60  0.18
-0.57  0.16 -0.04  0.22 -0.08  0.13 -0.17  0.08 -0.05  0.07  0.14  0.11 -0.21  0.22 -0.74  0.07 -0.52  0.17 -0.13  0.08  0.15  0.22  0.75  0.16  0.63  0.22  0.65  0.25  0.53  0.22
-30.0  0.00  0.00  0.13  0.05  0.11 -0.27  0.07 -0.42  0.07  0.35  0.14 -0.23  0.19 -1.14  0.07 -0.62  0.17 -0.10  0.08 -30.0  0.00  0.53  0.13  0.53  0.19  0.39  0.23  0.81  0.19
-0.60  0.16  0.06  0.13  0.07  0.12 -0.38  0.08 -0.40  0.08  0.35  0.12 -0.30  0.23 -0.87  0.07 -0.40  0.15 -0.15  0.08 -0.13  0.23  0.95  0.23  0.76  0.23  0.51  0.22  0.84  0.23
-0.61  0.15 -0.16  0.11  0.02  0.09 -0.24  0.08 -0.07  0.06  0.27  0.11 -0.38  0.15 -0.93  0.06 -0.67  0.07 -0.23  0.06 -0.07  0.15  0.53  0.13  0.42  0.15  0.43  0.09  0.57  0.15
-0.42  0.14 -0.12  0.14 -0.18  0.14 -0.05  0.07  0.00  0.14  0.41  0.17 -0.03  0.20 -0.78  0.07 -0.62  0.12 -0.14  0.06 -0.02  0.20  0.95  0.20  0.59  0.20  0.47  0.12  0.71  0.20
-0.57  0.16 -0.07  0.13 -0.08  0.14 -0.23  0.08 -0.11  0.07  0.28  0.18 -0.39  0.22 -0.89  0.07 -0.54  0.21 -0.18  0.07  0.00  0.22  0.74  0.16  0.58  0.22  0.49  0.13  0.55  0.22
-0.47  0.18 -0.11  0.13 -0.02  0.16 -0.12  0.07  0.00  0.06  0.01  0.10 -0.10  0.18 -0.88  0.08 -0.57  0.17 -0.16  0.06 -0.32  0.18  0.55  0.13  0.54  0.18  0.29  0.10  0.72  0.18
-30.0  0.00 -0.03  0.10 -30.0  0.00 -0.26  0.07 -0.23  0.06  0.37  0.14 -0.08  0.18 -0.90  0.06 -0.19  0.12 -0.20  0.07 -0.25  0.18  0.18  0.13  0.34  0.18  0.30  0.18  0.57  0.18
-0.51  0.14 -0.07  0.12  0.18  0.20 -0.30  0.08 -0.21  0.07  0.34  0.17 -0.33  0.20 -0.86  0.07 -0.74  0.14 -0.19  0.08 -0.26  0.20  0.51  0.14  0.41  0.20  0.41  0.21  0.49  0.20
-0.51  0.23 -0.09  0.23  0.04  0.19 -0.26  0.12 -0.18  0.12  0.01  0.19 -0.27  0.33 -0.90  0.07 -0.69  0.06 -0.33  0.10  0.21  0.33  1.21  0.33  0.84  0.33  0.64  0.23  0.77  0.33
-0.47  0.16 -0.04  0.13  0.00  0.11 -0.12  0.08 -0.05  0.08  0.05  0.11  0.07  0.22 -0.73  0.07 -0.77  0.12 -0.22  0.09 -0.10  0.22  0.99  0.16  0.76  0.22  0.43  0.16  0.59  0.22
-30.0  0.00 -0.32  0.13 -0.22  0.13 -0.43  0.06 -0.40  0.06  0.11  0.12 -0.47  0.18 -0.79  0.05 -0.60  0.10 -0.31  0.07 -0.50  0.23  0.06  0.13 -0.14  0.18  0.27  0.22  0.54  0.18
-0.61  0.13 -0.07  0.13 -0.02  0.13 -0.23  0.07 -0.19  0.07  0.26  0.13 -0.23  0.19 -0.97  0.06 -0.77  0.08 -0.21  0.07 -30.0  0.00  0.18  0.18 -30.0  0.00  0.04  0.11  0.54  0.19
-0.90  0.18 -0.18  0.18  0.01  0.18 -0.31  0.06 -0.26  0.06 -0.09  0.13 -0.19  0.18 -1.06  0.06 -0.89  0.08 -0.29  0.06 -0.09  0.18  0.17  0.13  0.39  0.18  0.27  0.10  0.59  0.18
-0.70  0.17  0.05  0.14 -0.03  0.17 -0.42  0.09 -0.30  0.09  0.32  0.23 -0.37  0.24 -0.89  0.07 -0.79  0.13 -0.16  0.07  0.13  0.24  0.79  0.21  0.35  0.24  0.24  0.17  0.76  0.24
-0.56  0.18 -0.07  0.15 -0.05  0.20 -0.19  0.09 -0.19  0.09  0.23  0.23 -0.27  0.26 -0.83  0.07 -0.55  0.10 -0.21  0.08 -0.28  0.26  0.58  0.18  0.35  0.26  0.30  0.19  0.69  0.26
-0.48  0.34 -0.10  0.34  0.11  0.34 -0.15  0.15  0.01  0.12  0.36  0.36 -0.10  0.34 -1.00  0.07 -0.74  0.11 -0.24  0.11 -0.20  0.34  0.46  0.34  0.29  0.34  0.60  0.34  1.26  0.34
-0.48  0.13 -0.07  0.13 -0.02  0.11 -0.21  0.11 -0.20  0.09  0.17  0.10 -0.22  0.19 -0.69  0.07 -0.63  0.08 -0.23  0.06 -0.14  0.19  0.76  0.13  0.44  0.19  0.42  0.21  0.44  0.19
-0.55  0.16 -0.08  0.13 -0.16  0.12 -0.07  0.09 -0.13  0.07  0.05  0.21 -0.36  0.22 -0.66  0.06 -0.73  0.06 -0.31  0.06 -0.54  0.22  0.86  0.16  0.58  0.22  0.36  0.13  0.35  0.22
-0.60  0.14  0.06  0.14 -0.20  0.16 -0.32  0.07 -0.14  0.07  0.16  0.12 -0.33  0.20 -0.76  0.07 -0.37  0.20 -0.12  0.07 -0.08  0.20  0.90  0.14  0.51  0.20  0.50  0.12  0.67  0.20
-0.62  0.16 -0.17  0.13  0.37  0.22 -0.21  0.07 -0.04  0.08  0.07  0.16 -0.02  0.22 -0.66  0.07 -0.96  0.14 -0.19  0.07  0.03  0.22  0.96  0.16  0.48  0.22  0.27  0.13  0.59  0.22
-0.60  0.20 -0.13  0.14  0.00  0.10 -0.27  0.07 -0.10  0.07 -0.07  0.14 -0.29  0.20 -0.94  0.06 -0.78  0.10 -0.27  0.06  0.11  0.20  0.63  0.14  0.40  0.20  0.33  0.14  0.65  0.20
-0.47  0.17 -0.01  0.14 -0.09  0.14 -0.13  0.09  0.01  0.10 -0.14  0.17 -0.07  0.24 -0.78  0.07 -1.04  0.17 -0.11  0.08  0.03  0.24  0.97  0.17  0.60  0.24  0.33  0.14  0.77  0.24
-0.79  0.18 -0.07  0.15 -0.06  0.18 -0.24  0.10 -0.13  0.09 -0.27  0.13 -0.15  0.26 -0.62  0.09 -0.57  0.18 -0.18  0.08 -0.02  0.26  1.05  0.26  0.57  0.26  0.27  0.15  0.50  0.26
-0.87  0.21 -0.11  0.15 -0.13  0.15 -0.26  0.07 -0.26  0.07  0.47  0.15 -0.19  0.21 -0.86  0.06 -0.75  0.18 -0.25  0.07 -0.06  0.21  0.80  0.15  0.52  0.21  0.51  0.15  0.93  0.21
-0.49  0.18 -0.09  0.18  0.13  0.10 -0.26  0.08 -0.21  0.09  0.19  0.19 -0.05  0.25 -0.87  0.08 -0.66  0.14 -0.24  0.07  0.14  0.25  0.88  0.18  0.31  0.25  0.39  0.25  0.87  0.25
-0.86  0.11 -0.16  0.11 -0.05  0.10 -0.45  0.07 -0.19  0.05  0.16  0.16 -0.17  0.16 -0.88  0.05 -0.49  0.14 -0.25  0.07 -0.30  0.17 -0.05  0.11  0.02  0.16  0.41  0.16  0.41  0.16
-0.71  0.17 -0.16  0.17 -0.03  0.10 -0.25  0.11 -0.24  0.09  0.05  0.12 -0.38  0.24 -0.71  0.06 -0.48  0.12 -0.27  0.09 -0.46  0.24  0.79  0.17  0.56  0.24  0.40  0.14  0.72  0.24
-0.56  0.16 -0.13  0.13 -0.18  0.11 -0.47  0.08 -0.21  0.07  0.19  0.11 -0.44  0.22 -0.68  0.07 -0.46  0.10 -0.24  0.08  0.11  0.22  0.66  0.16  0.40  0.22  0.25  0.13  0.52  0.22
-0.70  0.22 -0.11  0.16 -0.22  0.13 -0.19  0.08 -0.29  0.07 -0.17  0.19 -0.27  0.22 -0.92  0.07 -0.79  0.10 -0.26  0.08 -30.0  0.00  0.66  0.16 -0.05  0.22  0.10  0.13  0.27  0.22
-0.57  0.20  0.24  0.13  0.08  0.14 -0.36  0.09 -0.19  0.07  0.10  0.19 -0.14  0.20 -1.12  0.07 -0.92  0.18 -0.15  0.06 -0.12  0.20  0.60  0.14  0.13  0.20  0.27  0.23  0.50  0.20
-0.56  0.11  0.10  0.16  0.15  0.14 -0.30  0.10 -0.23  0.08  0.18  0.14 -0.18  0.15 -0.82  0.09 -0.61  0.12 -0.07  0.08  0.43  0.15  0.49  0.11  0.51  0.15  0.94  0.11  0.64  0.15
-0.29  0.18 -0.03  0.14  0.08  0.15  0.04  0.10  0.12  0.10 -0.31  0.18  0.17  0.25 -0.67  0.09 -0.67  0.28 -0.14  0.10 -0.14  0.25 -30.0  0.00  0.39  0.25  0.40  0.18  0.40  0.25
-0.49  0.13 -0.13  0.10 -0.11  0.10 -0.20  0.10 -0.15  0.07 -0.09  0.11 -0.28  0.18 -0.74  0.06 -0.77  0.10 -0.21  0.07 -0.21  0.18  0.90  0.14  0.40  0.18  0.31  0.17  0.60  0.18
-0.73  0.17 -0.11  0.14 -0.03  0.13 -0.30  0.08 -0.19  0.10  0.03  0.18 -0.27  0.24 -0.58  0.07 -1.09  0.12 -0.20  0.07  0.04  0.24  0.91  0.24  0.78  0.24  0.31  0.14  0.53  0.24
-0.62  0.16 -0.25  0.16 -0.21  0.14 -0.13  0.12 -0.24  0.10  0.12  0.15 -0.14  0.22 -0.61  0.08 -0.64  0.08 -0.21  0.07  0.07  0.22  1.03  0.22  0.60  0.22  0.48  0.27  0.75  0.22
-0.79  0.19 -0.26  0.13  0.30  0.23 -0.23  0.08 -0.18  0.07 -0.06  0.10 -0.29  0.19 -0.87  0.06 -0.39  0.11 -0.28  0.07 -0.22  0.19  0.07  0.13  0.17  0.19  0.36  0.12  0.42  0.19
-0.65  0.14 -0.03  0.14 -0.46  0.20 -0.24  0.08 -0.09  0.07  0.00  0.09 -0.19  0.20 -0.85  0.09 -0.71  0.20 -0.33  0.09 -0.12  0.20  0.36  0.15  0.28  0.20  0.37  0.12  0.53  0.20
-0.86  0.26  0.00  0.15 -0.22  0.15 -0.11  0.10  0.03  0.09  0.04  0.21 -0.04  0.26 -0.76  0.07 -0.56  0.15 -0.27  0.08 -30.0  0.00  0.58  0.18  0.10  0.26  0.21  0.18  0.41  0.26
-30.0  0.00  0.04  0.16  0.39  0.19 -0.18  0.09 -0.13  0.08  0.50  0.10 -0.15  0.19 -1.44  0.06 -1.16  0.18 -0.18  0.07  0.07  0.19  0.18  0.13 -0.03  0.19 -30.0  0.00  0.49  0.19
-0.43  0.14  0.00  0.12 -0.10  0.10 -0.16  0.10 -0.16  0.07  0.31  0.12 -0.12  0.20 -0.72  0.08 -0.64  0.11 -0.19  0.09 -0.06  0.20  0.65  0.14  0.56  0.20  0.12  0.19  0.53  0.20
-0.62  0.20 -0.06  0.16  0.27  0.17 -0.22  0.09 -0.13  0.09  0.05  0.25 -0.34  0.28 -0.81  0.08 -0.47  0.28 -0.22  0.10 -0.25  0.28  0.89  0.20  0.32  0.28  0.27  0.17  0.89  0.28
-0.17  0.18  0.00  0.18 -0.04  0.12  0.04  0.10  0.16  0.08  0.09  0.12  0.09  0.25 -0.73  0.07 -0.85  0.13 -0.18  0.07  0.09  0.25 -30.0  0.00  0.62  0.25  0.51  0.14  0.63  0.25
 0.05  0.21  0.19  0.21  0.35  0.12  0.00  0.10 -0.22  0.11  0.68  0.12 -0.31  0.21 -1.52  0.08 -1.33  0.16 -0.01  0.10 -30.0  0.00  0.47  0.15  0.24  0.21  0.67  0.21  0.71  0.21
-0.49  0.18 -0.03  0.14  0.05  0.27 -0.06  0.12 -0.10  0.09  0.22  0.24 -0.24  0.25 -0.70  0.08 -0.25  0.21 -0.17  0.07  0.09  0.25 -30.0  0.00  0.85  0.25  0.33  0.17  0.70  0.25
-0.47  0.13  0.18  0.10 -0.02  0.10 -0.16  0.09 -0.04  0.06  0.09  0.11 -0.08  0.18 -0.92  0.07 -0.60  0.09 -0.22  0.07 -0.03  0.18  1.08  0.13  0.91  0.18  0.49  0.10  0.61  0.18
-0.72  0.13 -0.02  0.13  0.12  0.13 -0.28  0.07 -0.22  0.10 -0.17  0.12 -0.35  0.19 -0.97  0.06 -0.84  0.10 -0.19  0.07 -0.36  0.19  0.55  0.14  0.31  0.19  0.19  0.11  0.48  0.19
-0.68  0.24 -0.17  0.20 -0.12  0.15 -0.25  0.13 -0.30  0.12  0.47  0.34 -0.32  0.34 -0.78  0.06 -1.00  0.28 -0.16  0.10  0.24  0.34  0.63  0.34  0.36  0.34  0.02  0.34  1.24  0.34
-0.86  0.20 -0.03  0.20 -0.05  0.11 -0.35  0.08 -0.34  0.07  0.28  0.12 -0.32  0.20 -0.81  0.10 -0.60  0.16 -0.34  0.11 -30.0  0.00  0.65  0.14  0.32  0.20  0.33  0.20  0.88  0.20
-0.73  0.25 -0.15  0.14  0.12  0.18 -0.64  0.13 -0.32  0.09  0.03  0.14 -0.28  0.25 -0.91  0.06 -0.78  0.16 -0.23  0.07  0.03  0.25  0.51  0.18  0.08  0.25  0.13  0.19  0.58  0.25
