[Fe/H] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [TiII/Fe] err  [O/Fe] err [Mg/Fe] err [Na/Fe] err [Sc/Fe] err [Cu/Fe] err [Cr/Fe] err [Ni/Fe] err  [V/Fe] err [Co/Fe] err [La/Fe] err [Ba/Fe] err [Y/Fe]  err [Zr/Fe] err 
-0.61  0.17  0.24  0.10 -0.23  0.08  0.08  0.09  0.28    0.08  0.05 -30.0  0.10 -30.0  0.06  0.17 -0.12 -30.0 -0.30 -30.0 -0.07 -30.0 -0.16  0.11  0.11  0.08  0.00 -30.0  0.50 -30.0  0.50 -30.0 -0.10 -30.0 -0.40 -30.0
-0.91  0.16  0.09  0.05  0.15  0.08  0.12  0.04  0.09    0.10 -30.0 -30.0  0.00 -30.0 -0.06  0.07 -0.20 -30.0 -0.80 -30.0 -0.11 -30.0 -0.18  0.12  0.18  0.08  0.10 -30.0  0.18 -30.0  0.20 -30.0 -0.30 -30.0 -0.24 -30.0
-0.91  0.16 -0.05  0.09 -0.19  0.06 -0.13  0.03  0.05    0.06  0.30 -30.0  0.14 -30.0 -0.46  0.10  0.00 -30.0 -0.90 -30.0 -0.45 -30.0 -0.24  0.11 -0.34  0.04 -0.20 -30.0  0.00 -30.0  0.20 -30.0 -0.50 -30.0 -0.60 -30.0
-0.63  0.16 -0.02  0.12 -0.01  0.12 -0.05  0.06  0.04    0.03 -30.0 -30.0  0.20 -30.0 -0.03  0.10 -0.03 -30.0 -0.68 -30.0 -0.12 -30.0 -0.26  0.06 -0.02  0.07 -0.14 -30.0  0.20 -30.0  0.50 -30.0 -0.50 -30.0 -1.00 -30.0
-0.62  0.16 -0.01  0.14 -0.21  0.07 -0.14  0.06  0.06    0.16  0.10 -30.0 -30.0 -30.0 -0.20  0.07 -0.50 -30.0 -0.50 -30.0 -0.20 -30.0 -0.23  0.06 -0.06  0.02 -0.04 -30.0  0.23 -30.0  0.35 -30.0 -0.27 -30.0 -0.55 -30.0
-0.93  0.16  0.02  0.11  0.08  0.09 -0.05  0.05  0.07    0.08 -30.0 -30.0  0.12 -30.0 -0.25  0.05 -0.20 -30.0 -0.85 -30.0 -0.14 -30.0 -0.08  0.05 -0.02  0.06 -0.20 -30.0  0.10 -30.0  0.10 -30.0 -0.50 -30.0 -0.20 -30.0
-0.69  0.16 -0.04  0.05 -0.18  0.15 -0.15  0.07 -0.01    0.08 -30.0 -30.0  0.17 -30.0 -0.39  0.08 -0.22 -30.0 -0.80 -30.0 -0.38 -30.0 -0.06  0.03 -0.25  0.06 -0.10 -30.0  0.47 -30.0  0.50 -30.0 -0.50 -30.0 -0.40 -30.0
-0.40  0.16  0.07  0.08 -0.31  0.10 -0.23  0.04 -0.11    0.05 -30.0 -30.0  0.15 -30.0 -0.38  0.14 -0.20 -30.0 -0.44 -30.0 -0.28 -30.0 -0.26  0.07 -0.16  0.06 -0.15 -30.0  0.32 -30.0  0.63 -30.0 -0.50 -30.0 -0.77 -30.0
-0.57  0.16  0.13  0.03 -0.24  0.08 -0.09  0.05 -0.02    0.09 -30.0 -30.0  0.36 -30.0 -0.28  0.14 -0.10 -30.0 -0.80 -30.0 -0.09 -30.0 -0.13  0.08  0.12  0.06 -0.20 -30.0  0.40 -30.0  0.70 -30.0 -0.32 -30.0 -0.38 -30.0
-0.71  0.16  0.07  0.06 -0.07  0.09  0.03  0.11  0.02    0.23 -30.0 -30.0  0.30 -30.0 -0.06  0.12 -0.30 -30.0 -0.64 -30.0 -0.21 -30.0 -0.25  0.10  0.02  0.05 -0.09 -30.0  0.32 -30.0  0.55 -30.0 -0.40 -30.0 -0.60 -30.0
-0.61  0.16 -30.0 -30.0 -0.24  0.07 -0.05  0.05 -0.06    0.26 -30.0 -30.0 -30.0 -30.0 -0.10  0.09 -30.0 -30.0 -30.0 -30.0 -0.56 -30.0 -0.04  0.09  0.16  0.07 -30.0 -30.0 -30.0 -30.0  0.80 -30.0 -0.30 -30.0 -30.0 -30.0
-0.54  0.16  0.16  0.08 -0.45  0.07 -0.22  0.07  0.00    0.18 -30.0 -30.0  0.30 -30.0 -0.24  0.12 -0.30 -30.0 -0.90 -30.0 -0.29 -30.0 -0.36  0.11 -0.24  0.07 -0.27 -30.0  0.26 -30.0  0.25 -30.0 -0.68 -30.0 -0.80 -30.0
-1.02  0.16 -0.08  0.13 -0.08  0.08 -0.11  0.09 -0.06    0.06 -30.0 -30.0  0.22 -30.0 -0.37  0.07 -30.0 -30.0 -0.85 -30.0 -0.43 -30.0 -0.27  0.06 -0.38  0.05 -30.0 -30.0  0.10 -30.0  0.65 -30.0 -0.20 -30.0 -0.30 -30.0
-0.78  0.16  0.10  0.08 -0.11  0.11 -0.21  0.02 -0.06    0.03 -30.0 -30.0 -30.0 -30.0 -0.23  0.08 -0.10 -30.0 -0.50 -30.0 -0.28 -30.0 -0.23  0.07 -0.08  0.06 -0.09 -30.0  0.15 -30.0  0.70 -30.0 -0.60 -30.0 -0.65 -30.0
-0.65  0.17  0.10  0.05 -0.21  0.22 -0.04  0.07  0.09    0.13 -30.0 -30.0  0.10 -30.0  0.20  0.14 -0.33 -30.0 -0.64 -30.0 -0.21 -30.0 -0.21  0.04 -0.17  0.05 -0.22 -30.0  0.20 -30.0  0.60 -30.0 -0.30 -30.0 -0.62 -30.0
-0.63  0.16  0.14  0.04 -0.19  0.09 -0.15  0.07 -0.08    0.05 -30.0 -30.0  0.00 -30.0 -0.36  0.09 -0.37 -30.0 -0.70 -30.0 -0.25 -30.0 -0.28  0.06 -0.02  0.05 -0.14 -30.0  0.40 -30.0  0.65 -30.0 -0.24 -30.0 -0.60 -30.0
-0.66  0.16  0.23  0.04 -0.27  0.09  0.03  0.03 -0.10    0.05 -30.0 -30.0  0.36 -30.0 -0.18  0.12 -0.23 -30.0 -0.68 -30.0 -0.12 -30.0 -0.19  0.05  0.01  0.09 -0.22 -30.0  0.66 -30.0  0.95 -30.0 -0.20 -30.0 -0.32 -30.0
-0.59  0.16 -0.04  0.17 -0.10  0.09 -0.18  0.04 -0.09    0.24 -30.0 -30.0  0.42 -30.0  0.19  0.08  0.00 -30.0 -0.80 -30.0 -0.08 -30.0 -0.50  0.17 -30.0 -30.0 -0.17 -30.0  0.12 -30.0  0.60 -30.0 -0.50 -30.0 -0.80 -30.0
-0.60  0.16  0.30  0.14 -0.36  0.10 -0.29  0.03 -0.10    0.12 -0.05 -30.0  0.10 -30.0 -0.31  0.11 -0.20 -30.0 -0.67 -30.0 -0.48 -30.0 -0.34  0.09 -0.20  0.08 -0.20 -30.0  0.30 -30.0 -0.10 -30.0 -0.45 -30.0 -0.90 -30.0
-0.73  0.17  0.11  0.09  0.19  0.13  0.20  0.07  0.00    0.09 -30.0 -30.0  0.30 -30.0  0.08  0.10 -0.04 -30.0 -0.50 -30.0  0.03 -30.0 -0.12  0.14  0.23  0.08 -0.12 -30.0  0.24 -30.0  0.30 -30.0  0.00 -30.0 -0.24 -30.0
-0.52  0.16  0.02  0.06 -30.0  0.16 -0.26  0.04 -0.06    0.05 -30.0 -30.0  0.26 -30.0  0.26  0.09 -0.19 -30.0 -0.75 -30.0 -0.13 -30.0 -0.25  0.09 -0.26  0.04 -0.25 -30.0  0.32 -30.0  0.40 -30.0 -0.37 -30.0 -0.80 -30.0
-0.70  0.16  0.09  0.11 -0.34  0.13 -0.29  0.10  0.02    0.06 -30.0 -30.0  0.30 -30.0 -0.27  0.08 -0.08 -30.0 -0.58 -30.0 -0.24 -30.0 -0.34  0.06 -0.43  0.04 -0.20 -30.0  0.40 -30.0  0.60 -30.0 -0.46 -30.0 -0.78 -30.0
-0.83  0.16  0.21  0.10 -0.06  0.08  0.01  0.04  0.15    0.12  0.35 -30.0  0.20 -30.0 -0.29  0.11 -0.30 -30.0 -30.0 -30.0 -0.11 -30.0 -0.16  0.12  0.05  0.06 -0.29 -30.0 -30.0 -30.0  0.35 -30.0 -30.0 -30.0 -0.60 -30.0
-0.85  0.16  0.08  0.08 -0.02  0.07  0.02  0.06  0.35    0.13 -30.0 -30.0  0.11 -30.0 -0.33  0.07 -0.20 -30.0 -0.75 -30.0 -0.17 -30.0 -0.20  0.12 -0.28  0.08 -0.08 -30.0  0.10 -30.0  0.50 -30.0 -0.20 -30.0 -0.50 -30.0
-0.46  0.17 -0.07  0.09 -0.36  0.13 -0.17  0.12 -0.11    0.16  0.00 -30.0  0.03 -30.0 -0.29  0.08 -0.32 -30.0 -0.76 -30.0 -0.17 -30.0 -0.28  0.02 -0.29  0.04 -0.20 -30.0  0.05 -30.0  0.25 -30.0 -0.60 -30.0 -0.70 -30.0
-0.31  0.17 -0.14  0.10 -0.49  0.08  0.22  0.07 -30.0    0.09  0.00 -30.0  0.20 -30.0  0.53  0.20  0.00 -30.0 -0.60 -30.0  0.25 -30.0 -0.37  0.13 -0.18  0.13 -0.10 -30.0 -0.30 -30.0  0.40 -30.0 -0.30 -30.0 -0.80 -30.0
-0.28  0.16  0.11  0.04 -0.36  0.09 -0.02  0.07 -0.01    0.08 -30.0 -30.0  0.20 -30.0 -0.28  0.12 -0.27 -30.0 -0.53 -30.0 -0.18 -30.0 -0.31  0.09 -0.15  0.07 -0.13 -30.0  0.37 -30.0  0.85 -30.0 -0.45 -30.0 -0.75 -30.0
-0.80  0.17  0.08  0.05 -0.07  0.15  0.26  0.12 -0.04    0.08 -30.0 -30.0  0.05 -30.0  0.09  0.08 -0.30 -30.0 -0.75 -30.0 -0.02 -30.0 -0.19  0.09  0.13  0.05 -0.10 -30.0  0.20 -30.0  0.45 -30.0 -0.33 -30.0 -0.40 -30.0
-0.95  0.16 -30.0 -30.0 -0.11  0.08 -0.02  0.10 -0.05    0.14 -30.0 -30.0 -30.0 -30.0  0.08  0.12 -30.0 -30.0 -30.0 -30.0 -0.27 -30.0 -0.34  0.11 -0.08  0.09 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.64  0.17  0.13  0.15 -0.18  0.07  0.05  0.04 -0.02    0.04  0.10 -30.0  0.00 -30.0 -0.09  0.13 -30.0 -30.0 -0.50 -30.0 -0.05 -30.0 -0.08  0.03  0.25  0.07 -0.09 -30.0  0.60 -30.0  0.50 -30.0 -0.25 -30.0 -1.00 -30.0
-0.78  0.17  0.09  0.09 -0.49  0.13  0.05  0.07  0.15    0.16  0.25 -30.0  0.02 -30.0 -0.03  0.07 -0.32 -30.0 -0.57 -30.0 -0.10 -30.0 -0.33  0.04 -30.0 -30.0 -0.01 -30.0  0.25 -30.0  0.00 -30.0 -0.10 -30.0 -0.42 -30.0
-0.82  0.16 -0.16  0.11 -0.09  0.10 -0.11  0.07 -0.10    0.18 -30.0 -30.0  0.20 -30.0 -0.41  0.04  0.14 -30.0 -0.83 -30.0 -0.18 -30.0 -0.37  0.03 -30.0 -30.0 -0.22 -30.0  0.30 -30.0  0.60 -30.0 -0.80 -30.0 -0.40 -30.0
-0.73  0.16 -0.19  0.08 -0.13  0.08 -0.16  0.05  0.03    0.03 -30.0 -30.0  0.12 -30.0 -0.53  0.10 -0.13 -30.0 -0.80 -30.0 -0.21 -30.0 -0.27  0.06 -0.26  0.05 -0.22 -30.0  0.40 -30.0  0.55 -30.0 -0.80 -30.0 -0.84 -30.0
-0.57  0.16  0.08  0.09 -0.24  0.09 -0.11  0.03 -0.07    0.07 -30.0 -30.0  0.30 -30.0 -0.19  0.13 -0.28 -30.0 -0.80 -30.0 -0.13 -30.0 -0.22  0.02 -0.19  0.07 -30.0 -30.0  0.10 -30.0  0.45 -30.0 -0.52 -30.0 -0.87 -30.0
-0.56  0.16  0.01  0.03 -0.24  0.08  0.13  0.07  0.04    0.09 -30.0 -30.0  0.04 -30.0 -0.28  0.14 -0.30 -30.0 -0.74 -30.0 -0.19 -30.0 -0.21  0.06  0.28  0.05 -0.20 -30.0  0.00 -30.0  0.55 -30.0 -0.20 -30.0 -0.60 -30.0
-0.70  0.16 -0.07  0.06 -0.16  0.08 -0.06  0.05  0.01    0.06  0.10 -30.0  0.08 -30.0 -0.39  0.10 -0.30 -30.0 -0.80 -30.0 -0.19 -30.0 -0.29  0.06 -0.14  0.05 -0.20 -30.0  0.24 -30.0  0.30 -30.0 -0.30 -30.0 -0.49 -30.0
-0.86  0.16 -0.10  0.06 -0.21  0.05  0.06  0.07  0.11    0.03 -30.0 -30.0  0.13 -30.0 -0.32  0.04 -0.25 -30.0 -0.76 -30.0 -0.13 -30.0 -0.26  0.07  0.05  0.05 -30.0 -30.0  0.17 -30.0  0.25 -30.0 -0.28 -30.0 -0.40 -30.0
-0.70  0.16  0.10  0.08 -0.08  0.08  0.12  0.14 -0.06    0.33 -30.0 -30.0  0.30 -30.0 -0.20  0.12 -0.10 -30.0 -0.50 -30.0 -0.15 -30.0 -0.09  0.05 -0.01  0.09  0.12 -30.0  0.35 -30.0  0.40 -30.0 -0.25 -30.0 -0.50 -30.0
-0.74  0.16  0.00  0.09 -0.13  0.09  0.05  0.06  0.11    0.18 -30.0 -30.0  0.10 -30.0 -0.17  0.09 -0.20 -30.0 -0.38 -30.0 -0.07 -30.0 -0.36  0.12 -0.04  0.10 -0.04 -30.0 -30.0 -30.0  0.55 -30.0 -0.20 -30.0 -0.50 -30.0
-0.64  0.16  0.13  0.09 -0.13  0.12 -0.14  0.04  0.17    0.05 -30.0 -30.0  0.22 -30.0 -0.21  0.10 -0.22 -30.0 -0.42 -30.0 -0.37 -30.0 -0.15  0.03 -0.05  0.05 -0.08 -30.0  0.40 -30.0  0.80 -30.0 -0.50 -30.0 -0.56 -30.0
-0.69  0.16  0.20  0.05 -0.12  0.09 -0.06  0.03  0.09    0.10 -30.0 -30.0  0.34 -30.0 -0.13  0.11 -0.15 -30.0 -0.68 -30.0 -0.14 -30.0 -0.18  0.05 -0.03  0.06 -0.12 -30.0  0.40 -30.0  0.50 -30.0 -0.25 -30.0 -0.55 -30.0
