 &Age[yr]   &Pb-208    
 &7.343E+09 &3.154E-03
 &7.701E+09 &3.167E-03
 &8.076E+09 &3.180E-03
 &8.470E+09 &3.193E-03
 &8.883E+09 &3.206E-03
 &9.316E+09 &3.219E-03
 &9.770E+09 &3.232E-03
 &1.025E+10 &3.245E-03
 &1.075E+10 &3.257E-03
 &1.127E+10 &3.269E-03
 &1.182E+10 &3.282E-03
 &1.240E+10 &3.294E-03
 &1.300E+10 &3.298E-03
