[Star/Star]   [Fe/H] [C/Fe] [N/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [S/Fe] [K/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Sr/Fe] [Y/Fe] [Ba/Fe] [Zr/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
148049        -0.36   0.19  -30.0  0.28  0.07  0.09  0.09  0.05   0.16  0.35  0.05  0.02  0.04  0.03 -0.07 -0.14  0.00 -0.02 -0.07  0.08 -30.0 -0.06 -0.04 -0.04 -0.11 -0.06 -30.0
149576        -0.17   0.12  -30.0  0.33  0.05 -30.0  0.04  0.03   0.05 -30.0  0.06 -0.09 -0.08 -30.0 -0.04 -0.16 -0.12 -0.07 -0.20 -30.0 -30.0  0.18 -30.0 -30.0  0.08 -30.0 -30.0
152449        -0.05   0.06  -30.0  0.21  0.00  0.01  0.02  0.02   0.12  0.18 -0.01 -0.02 -0.08 -0.09 -0.03 -0.13 -0.07 -0.03 -0.20 -0.02  0.06  0.02 -0.15 -0.02 -0.07 -0.12 -30.0
152986        -0.17   0.18  -30.0  0.23  0.08  0.03  0.02  0.05   0.10 -30.0 -0.01  0.00 -0.02  0.00 -0.02 -0.14 -0.04 -0.03 -0.08  0.05  0.08  0.08  0.04  0.05  0.04  0.00 -0.01
153240        -0.09   0.11  -30.0  0.24 -30.0 -30.0  0.02  0.04   0.18 -30.0  0.06 -0.09 -30.0  0.14  0.08 -0.12 -0.05 -0.04 -0.23 -30.0 -30.0  0.08 -30.0  0.10 -0.04 -30.0 -30.0
153627        -0.38   0.26  -30.0  0.34  0.07  0.11  0.12  0.08   0.19 -30.0  0.02  0.09  0.02 -0.07 -0.04 -0.16 -0.01  0.00 -0.02  0.15 -0.02  0.03  0.02 -0.04  0.02  0.09 -30.0
153668        -0.22   0.16   0.12  0.26  0.06 -0.03  0.05  0.05   0.15  0.26  0.01  0.04  0.00 -0.08 -0.02 -0.14 -0.04 -0.03 -0.07  0.05  0.03  0.03 -0.04  0.01  0.01 -30.0 -30.0
155646        -0.07  -0.03  -30.0  0.34  0.00  0.07  0.04  0.04   0.02  0.37  0.02  0.02  0.03 -0.05 -0.01 -0.15 -0.04 -0.03 -0.18 -0.03 -30.0  0.10  0.07  0.29  0.11  0.01 -30.0
156635        -0.10   0.33   0.51  0.26  0.10  0.00  0.03  0.07   0.12  0.21  0.04  0.03  0.00 -0.01 -0.03 -0.10 -0.01  0.01  0.00  0.06 -30.0  0.07 -0.02  0.06 -0.02 -30.0 -30.0
157466        -0.41   0.18  -30.0  0.24 -0.01  0.02  0.07  0.02   0.05  0.08  0.00  0.00 -0.04 -0.06 -0.06 -0.20 -0.02 -0.08 -0.18 -0.01 -0.04 -0.04 -0.04  0.01  0.04 -30.0 -30.0
157467         0.11   0.04   0.03  0.19  0.06  0.08  0.22  0.10   0.13  0.25 -0.05 -0.19 -0.04 -0.07 -30.0 -0.04 -0.03  0.02 -0.06  0.01 -30.0 -0.12 -30.0 -0.17 -0.26 -30.0 -30.0
159333        -0.27   0.26  -30.0  0.39  0.11  0.03  0.11  0.09   0.21  0.26  0.04  0.00  0.00 -0.09 -0.01 -0.11 -0.02  0.00 -0.01  0.04  0.00  0.01  0.00  0.03 -0.05  0.01 -30.0
160078        -0.14   0.24   0.29  0.50 -30.0  0.02  0.07  0.11   0.20  0.42  0.04 -0.11 -0.05 -0.07  0.02 -0.16 -0.07 -0.02 -0.19  0.01 -30.0  0.04  0.01  0.08 -0.03 -30.0  0.05
163363         0.00   0.05  -30.0  0.17  0.09  0.15  0.08  0.01   0.04 -30.0  0.02 -0.22 -0.02 -0.02 -0.03 -0.07 -0.01 -0.01 -30.0 -30.0 -0.02 -0.16 -30.0 -0.14 -0.21 -30.0 -30.0
167588        -0.37   0.19  -30.0  0.29  0.05  0.08  0.13  0.04   0.11  0.28  0.00  0.08  0.06  0.00  0.01 -0.20 -0.01 -0.02 -0.07  0.01 -0.06 -0.08 -30.0 -0.04  0.06 -30.0 -30.0
169359        -0.31   0.24  -30.0  0.30  0.00  0.09  0.08  0.08   0.14  0.19 -0.01  0.10  0.01 -0.03 -0.04 -0.13 -0.02 -0.03 -0.06  0.06 -0.07 -0.02  0.00 -0.03  0.04  0.03 -30.0
171620        -0.46   0.26  -30.0  0.30  0.12  0.06  0.12  0.07   0.08 -30.0  0.06 -0.01  0.00 -0.01 -0.05 -0.18 -0.05 -0.01 -0.05  0.03 -0.04 -0.09 -0.15  0.01 -0.02 -0.01 -30.0
171886        -0.33   0.07  -30.0  0.33  0.00 -30.0  0.02  0.05   0.00 -30.0  0.06  0.02 -0.01  0.02 -30.0 -0.16  0.01 -0.06 -0.16 -30.0 -30.0 -30.0 -30.0  0.14  0.05 -30.0 -30.0
174160        -0.09   0.11   0.17  0.21  0.06  0.06  0.04  0.03   0.03  0.26  0.03  0.04 -0.02  0.01  0.07 -0.15 -0.09 -0.04 -0.17 -0.06  0.10  0.05  0.08  0.06  0.03  0.00 -30.0
176796        -0.44   0.22  -30.0  0.44  0.14  0.10  0.14  0.12   0.19  0.39  0.07  0.05  0.06  0.09  0.02 -0.18  0.00  0.00 -0.08  0.07  0.10  0.05  0.02  0.04  0.04  0.06 -30.0
182758        -0.53   0.15  -30.0  0.39  0.03  0.12  0.17  0.04   0.13  0.30  0.00  0.05  0.07 -0.04 -0.07 -0.21 -0.02 -0.03 -0.06  0.18 -0.05 -0.15 -0.15 -0.13 -0.08 -0.05 -30.0
186379        -0.39   0.12  -30.0  0.28  0.01  0.08  0.14  0.06   0.13  0.22  0.01  0.01  0.05 -0.01 -0.02 -0.18 -0.01 -0.03 -0.06  0.05 -0.12 -0.13 -0.10 -0.20 -0.11  0.01  0.22
186408         0.00   0.18  -30.0  0.21  0.00  0.01  0.08  0.06   0.21 -0.02 -0.01  0.15 -0.04 -0.09 -0.05 -0.07 -0.01  0.02  0.00  0.06 -0.09  0.08  0.03  0.04  0.06  0.14 -30.0
190681        -0.08   0.12  -30.0  0.25  0.09 -0.02  0.03  0.06   0.12 -30.0  0.05 -0.04 -0.05 -0.04 -0.03 -0.14 -0.03 -0.04 -0.07  0.04 -30.0  0.03  0.01 -0.01 -0.09 -0.18 -30.0
191649        -0.26   0.22  -30.0  0.32  0.02  0.01 -0.05  0.08   0.20  0.25  0.03 -0.02 -0.01 -0.07 -0.03 -0.15 -0.06 -0.03 -0.13  0.00  0.01 -0.02  0.06 -0.06  0.03  0.23 -30.0
191672        -0.46   0.15  -30.0  0.30  0.07  0.09  0.11  0.08   0.09  0.34  0.08  0.04  0.06  0.03  0.02 -0.16 -0.01 -0.01 -0.06  0.04 -0.06 -0.04 -0.14 -0.17 -0.17 -30.0 -30.0
192145        -0.35   0.14  -30.0  0.31  0.13  0.09  0.09  0.07   0.16  0.33  0.03  0.02  0.00 -0.02 -0.01 -0.14  0.01  0.00 -0.04  0.08  0.02 -0.03 -0.14 -0.04 -0.02 -0.19 -30.0
193664        -0.19   0.13  -30.0  0.17 -0.05  0.00  0.01  0.02   0.18  0.06 -0.02  0.02 -0.03 -0.10 -0.02 -0.11 -0.08 -0.04 -0.11  0.04  0.01  0.10  0.08  0.06  0.16  0.16 -30.0
194497        -0.29  -0.04  -0.02  0.22  0.03 -0.01 -0.01  0.03   0.00  0.46  0.04  0.05  0.07  0.00  0.01 -0.18 -0.03 -0.05 -0.09 -0.02  0.15  0.07 -0.12  0.17  0.12  0.12 -30.0
195200        -0.20   0.16   0.03  0.25  0.01 -0.01  0.06  0.01   0.11  0.17 -0.02 -0.03 -0.04 -0.06 -0.03 -0.12 -0.06 -0.05 -0.09  0.02  0.03  0.04 -0.01  0.05  0.01 -0.02 -30.0
198089        -0.30   0.19  -30.0  0.30  0.02  0.07  0.10  0.06   0.19  0.10  0.00  0.11  0.02 -0.01 -0.06 -0.13  0.00 -0.02 -0.03  0.10 -0.15 -0.03 -0.04 -0.04 -0.03  0.07  0.24
198109        -0.44   0.19  -30.0  0.29  0.06  0.07  0.06  0.03   0.04  0.33  0.03  0.02  0.06  0.02 -0.06 -0.17 -0.02 -0.05 -0.13  0.00 -0.09 -0.06 -0.06 -0.11 -0.03  0.01 -30.0
198390        -0.32   0.09  -30.0  0.34  0.03  0.05  0.01  0.02   0.05  0.37  0.08 -0.01  0.00  0.15 -0.05 -0.20 -0.09 -0.05 -0.20  0.04  0.12  0.10 -30.0  0.21  0.14 -30.0 -30.0
199085        -0.11   0.04  -30.0  0.14 -0.01 -0.04 -0.01  0.01  -0.08  0.36  0.04  0.01 -0.03  0.15  0.00 -0.10 -0.14 -0.06 -0.12  0.00 -30.0  0.13 -0.03  0.19  0.09 -30.0 -30.0
200580        -0.54   0.07  -30.0  0.17  0.18  0.06  0.17  0.01 -30.0   0.26  0.09 -0.13  0.15  0.18  0.04 -0.06  0.00 -0.01 -0.09 -0.01  0.03 -0.23 -30.0 -0.17 -0.12 -0.09 -30.0
201444        -0.63   0.30  -30.0  0.53  0.14  0.12  0.16  0.13   0.16  0.45  0.06  0.08  0.07 -0.04 -0.05 -0.23  0.02 -0.03 -0.09  0.07 -30.0  0.04  0.00  0.12  0.12  0.13  0.29
201490        -0.23   0.06   0.28  0.19  0.03  0.04  0.07  0.03   0.02  0.26  0.03 -0.11  0.01 -0.01 -0.04 -0.14 -0.04 -0.01 -0.10 -0.03 -0.01 -0.10 -0.01 -0.10 -0.19 -30.0  0.04
201639        -0.54   0.25  -30.0  0.22  0.09  0.09  0.07  0.09   0.14  0.28  0.07  0.06  0.04 -0.01 -0.02 -0.15 -0.02 -0.01 -0.08  0.07  0.02  0.01 -0.06  0.05  0.07 -30.0  0.24
201835        -0.39   0.12  -30.0  0.35  0.07  0.13  0.13  0.11   0.03 -30.0  0.14  0.10  0.10  0.12  0.04 -0.17  0.06  0.01 -0.12 -0.01 -30.0  0.03 -30.0  0.14  0.11 -30.0 -30.0
202884        -0.24   0.09  -30.0  0.21 -0.01  0.04  0.04  0.02   0.05  0.20  0.01  0.01  0.02 -0.02 -0.04 -0.20 -0.01 -0.05 -0.19  0.00  0.06  0.08 -0.04  0.18  0.05  0.13  0.24
204306        -0.66   0.30  -30.0  0.53  0.10  0.14  0.17  0.14   0.27  0.29  0.10  0.12  0.07 -0.01 -0.01 -0.20  0.07  0.00 -0.09  0.13 -0.05 -0.03 -0.10 -0.04 -0.15  0.03 -30.0
204559        -0.36   0.15   0.41  0.32  0.06  0.06  0.08  0.04   0.07  0.30  0.03  0.02  0.04 -0.04 -0.03 -0.13 -0.06 -0.02 -0.10  0.05 -0.05 -0.02  0.02  0.06  0.03 -30.0 -30.0
204712        -0.48   0.26  -30.0  0.44  0.08  0.11  0.09  0.10   0.18  0.32  0.07  0.14  0.07 -0.06 -0.04 -0.19  0.03 -0.01 -0.04  0.14 -0.05  0.02  0.00 -0.01 -0.08  0.08  0.18
206860        -0.12   0.11   0.20  0.22  0.00 -0.11 -0.01  0.02   0.18  0.12 -0.01 -0.03 -0.02 -0.11  0.00 -0.14 -0.18 -0.04 -0.18  0.07  0.09  0.18  0.07  0.29  0.18 -30.0  0.12
209320        -0.18   0.20  -30.0  0.34  0.05  0.08  0.10  0.08   0.21 -30.0  0.05 -0.04 -0.06  0.02  0.03 -0.09 -0.05  0.00 -0.07 -0.02  0.02  0.01  0.05 -0.02 -0.03 -0.06 -30.0
209858        -0.27   0.20  -30.0  0.27  0.05  0.00  0.04  0.04   0.17  0.15  0.01  0.04  0.01 -0.05 -0.03 -0.13 -0.04 -0.03 -0.03  0.05 -0.08 -0.02 -0.01 -0.03 -0.02  0.06  0.16
210457        -0.27   0.11  -30.0  0.31  0.09  0.03  0.03  0.05   0.12  0.34  0.00 -0.04  0.00 -0.06 -0.01 -0.18 -0.04 -0.04 -0.17  0.00  0.09  0.05  0.03  0.14 -0.11  0.01  0.09
210640        -0.36   0.08  -30.0  0.37  0.05  0.03  0.03  0.08   0.07  0.33  0.08 -0.13  0.04  0.01 -0.02 -0.07 -0.04 -0.04 -0.17  0.03 -30.0  0.01 -30.0  0.05  0.09 -30.0 -30.0
210718        -0.34   0.04  -30.0  0.18  0.08  0.08  0.13  0.07   0.05  0.33  0.06 -0.09  0.03 -0.03 -0.03 -0.15 -0.06 -0.03 -0.09  0.03 -30.0 -0.14 -0.24 -0.15 -0.27 -30.0 -30.0
210923        -0.21   0.14  -30.0  0.33  0.06  0.05  0.07  0.04   0.12  0.29  0.02  0.03 -0.01 -0.01 -0.03 -0.12 -0.06 -0.03 -0.05  0.04  0.05  0.10  0.03  0.11 -0.02  0.10  0.02
210985        -0.57   0.08  -30.0  0.36  0.20  0.08  0.17  0.11   0.11  0.32  0.14 -0.04  0.08 -30.0 -0.01 -0.20  0.01 -0.02 -0.08  0.00 -30.0 -0.02 -30.0 -0.09  0.09 -30.0 -30.0
212858        -0.39   0.18  -30.0  0.29  0.02  0.04  0.09  0.00   0.05  0.17 -0.01 -0.01 -0.02 -0.09 -0.04 -0.16 -0.08 -0.04 -0.12  0.07 -0.03 -0.05 -0.09 -0.06  0.00  0.04  0.10
214111        -0.14   0.17  -30.0  0.34  0.16  0.01 -30.0  0.09   0.14  0.38  0.05 -0.19 -30.0  0.16  0.10 -0.10  0.02  0.01 -30.0 -0.10 -30.0 -30.0 -30.0 -0.10 -0.23 -30.0  0.09
214435        -0.31   0.15  -30.0  0.24  0.02  0.04  0.04  0.03   0.11  0.12 -0.01 -0.01 -0.03 -0.05 -0.02 -0.15 -0.05 -0.03 -0.11  0.07  0.02  0.03 -0.07  0.04  0.09  0.03 -0.06
214557        -0.05   0.18   0.37  0.26  0.04  0.07  0.12  0.07   0.20  0.10 -0.05  0.10 -0.04 -0.07 -0.01 -0.13 -0.03 -0.01 -0.05  0.04  0.00  0.08  0.05 -0.06 -0.06 -30.0  0.25
214576        -0.55   0.13  -30.0  0.37  0.08  0.09  0.01  0.11   0.06 -30.0  0.11  0.01  0.07  0.03  0.00 -0.19 -0.06 -0.01 -0.20  0.03  0.09 -0.02 -0.03  0.09  0.08 -30.0 -30.0
215442        -0.22   0.30  -30.0  0.50  0.08  0.08 -0.03  0.11   0.26 -30.0  0.04 -0.10 -0.04 -0.10  0.01 -30.0 -0.03 -0.01 -0.11  0.00  0.00  0.00  0.02 -0.02 -0.02 -30.0  0.03
216106        -0.33   0.28  -30.0  0.43  0.10  0.12  0.10  0.09   0.22  0.38  0.07  0.01  0.02 -0.09 -0.03 -0.17 -0.04 -0.02 -0.11  0.08  0.06  0.09 -0.03  0.22 -0.07  0.02  0.02
216385        -0.16  -0.04  -0.02  0.18  0.02  0.07  0.03  0.01  -0.06  0.40 -0.01 -0.07  0.02  0.01  0.00 -0.15 -0.07 -0.04 -0.16 -0.05  0.04 -0.11 -0.08  0.04 -0.14 -0.02 -0.02
216631        -0.39   0.13  -30.0  0.25  0.02 -0.03  0.07 -0.02   0.06  0.16  0.00  0.02  0.02 -0.03 -0.08 -0.21 -0.11 -0.07 -0.16  0.02 -0.03  0.02 -0.09 -0.01 -0.03 -30.0 -30.0
217877        -0.18   0.13   0.30  0.22  0.06  0.05  0.09  0.04   0.16  0.17  0.04  0.08 -0.02 -0.06 -0.03 -0.05 -0.02 -0.01 -0.03  0.08 -0.03  0.01 -0.02 -0.03 -0.04  0.09  0.01
218059        -0.27   0.03  -30.0  0.25 -0.03  0.06  0.00  0.03   0.05  0.26  0.03 -0.06 -0.01 -0.01  0.00 -0.15 -0.06 -0.06 -0.20  0.02  0.06 -0.02 -0.02  0.10  0.06 -30.0 -30.0
218172        -0.21   0.12   0.08  0.28  0.03  0.00  0.07  0.06   0.13  0.40  0.04  0.04  0.05 -0.03 -0.01 -0.10 -0.05 -0.04 -0.11  0.02  0.08  0.09  0.08  0.08 -0.06  0.10  0.11
218470        -0.06  -0.01  -30.0  0.29  0.08  0.03 -30.0 -0.01   0.01  0.33  0.00 -0.15 -0.03  0.19 -30.0 -0.16 -30.0 -0.01 -0.21 -0.11 -30.0  0.04 -30.0  0.17 -0.04 -30.0 -30.0
218637        -0.30   0.03  -30.0  0.17  0.10  0.16  0.12  0.08   0.01  0.36  0.09 -0.01  0.05  0.05 -0.02 -0.09  0.03  0.02  0.02 -0.04  0.05 -0.10 -30.0 -0.14 -0.01 -0.06 -30.0
219306        -0.31   0.15  -30.0  0.30  0.05  0.10  0.07  0.06   0.13  0.28  0.01  0.04  0.03 -0.05 -0.05 -0.18  0.00  0.00 -0.04  0.05  0.02 -0.01 -0.04  0.03 -0.11 -0.01 -0.04
219476        -0.54   0.15  -30.0  0.37  0.12  0.12  0.08  0.08   0.10  0.43  0.05  0.04  0.10 -0.03 -0.02 -0.21  0.00 -0.03 -0.08  0.06 -0.02 -0.08 -0.08  0.06 -0.15 -0.02  0.10
219497        -0.51   0.32  -30.0  0.44  0.17  0.09  0.13  0.09   0.31 -30.0  0.08  0.08  0.03 -0.08 -0.04 -30.0  0.04 -0.05 -0.11  0.15  0.06  0.07  0.08  0.04  0.02  0.07 -30.0
219983        -0.20   0.02   0.14  0.22  0.02  0.02  0.08  0.03   0.02  0.37  0.06 -0.02  0.04  0.00 -0.02 -0.13 -0.05 -0.01 -0.12 -0.05  0.07 -0.02  0.00  0.00 -0.08  0.13 -0.02
220842        -0.31   0.39  -30.0  0.40  0.02  0.08  0.06  0.07   0.25  0.15  0.01  0.06 -0.03 -0.10 -0.02 -0.14 -0.03 -0.03  0.01  0.16  0.27  0.35  0.27  0.09  0.05  0.12  0.17
220908        -0.16   0.07  -30.0  0.31  0.07  0.04  0.10  0.06   0.15  0.32  0.06 -0.02  0.02  0.00 -0.01 -0.12 -0.04  0.00 -0.11  0.00  0.04  0.02  0.04  0.03 -0.06 -30.0 -30.0
221356        -0.24  -0.03  -30.0  0.09 -0.06  0.01  0.05 -0.01  -0.02  0.13  0.06 -0.05  0.05 -0.02 -0.03 -0.21 -0.04 -0.05 -0.16 -0.06  0.05  0.09  0.08  0.08  0.12 -30.0 -30.0
222155        -0.29   0.49  -30.0  0.38  0.04  0.11  0.18  0.11   0.27  0.10  0.01  0.13  0.00 -0.07 -0.02 -0.12  0.02  0.00 -0.02  0.19  0.11  0.22  0.22  0.16  0.08  0.21  0.25
223436        -0.04   0.12   0.20  0.25  0.05  0.05  0.06  0.07  -0.04  0.26  0.04 -0.02  0.01  0.01  0.02 -0.08 -0.05 -0.02 -0.05 -0.01  0.08  0.03  0.07  0.00 -0.03  0.03  0.11
223583        -0.48   0.23  -30.0  0.34  0.07  0.11  0.08  0.07   0.14  0.35  0.04  0.00  0.06  0.01  0.00 -0.17 -0.02 -0.01 -0.04  0.09 -0.09 -0.14 -0.15 -0.15 -0.08  0.01 -0.05
223854        -0.58   0.12  -30.0  0.34  0.07  0.10  0.11  0.11   0.02 -30.0  0.13  0.07  0.14  0.01  0.00 -0.19  0.06  0.01 -0.09  0.05  0.02 -0.06 -0.15 -0.06  0.00 -30.0 -30.0
224233        -0.24   0.29   0.35  0.31  0.00  0.09  0.21  0.12   0.25  0.11  0.02  0.14  0.05 -0.05 -0.03 -0.14  0.00  0.01  0.01  0.16 -0.13  0.02  0.02 -0.05  0.08  0.40  0.21
225239        -0.53   0.34  -30.0  0.43  0.09  0.11  0.18  0.09   0.30  0.22  0.05  0.09  0.05 -0.02 -0.01 -0.14  0.01 -0.01 -0.01  0.12 -0.09 -0.05 -30.0 -0.10 -0.01  0.07  0.14
