[Star/Star]   [Fe/H] [C/Fe] [N/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [S/Fe] [K/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Sr/Fe] [Y/Fe] [Ba/Fe] [Zr/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
 11045        -0.39   0.30  -30.0  0.46  0.08  0.19  0.25  0.14   0.24  0.19  0.09  0.12  0.15  0.00 -0.03 -0.22  0.05 -0.01  0.01  0.20 -0.07 -0.07 -30.0 -0.31 -0.06 -30.0  0.14
 11592        -0.29  -0.01   0.25  0.24  0.02  0.03  0.00  0.02   0.02  0.32  0.01 -0.05  0.05  0.02 -0.05 -0.21  0.03 -0.06 -0.23 -0.02  0.02 -0.05  0.00  0.09  0.03 -30.0 -30.0
 14877        -0.42   0.15  -30.0  0.30  0.06  0.09  0.08  0.06  -0.02  0.25  0.02 -0.14  0.02 -0.04 -0.04 -0.16 -0.01 -0.02 -0.11  0.01  0.00 -0.14 -0.09 -0.19 -0.13 -30.0 -0.03
 15029        -0.31  -0.10   0.24  0.21  0.07  0.05  0.08  0.03  -0.01  0.38  0.04 -0.12  0.07  0.02 -0.02 -0.18  0.02 -0.04 -0.12  0.07  0.03 -0.12 -0.03 -0.04 -0.03 -30.0 -30.0
 15398        -0.01  -0.19   0.06  0.24 -0.02  0.02  0.11  0.03   0.01 -30.0  0.06 -0.12  0.03  0.00 -0.02 -0.12  0.00 -0.02 -0.15 -0.02 -30.0  0.04  0.08  0.12  0.04 -30.0 -0.03
 16067        -0.12   0.14  -30.0  0.35  0.04  0.06  0.15  0.08   0.14  0.24  0.06 -0.03 -0.01 -0.07  0.01 -0.13 -0.03  0.00 -0.11 -0.05  0.06  0.06  0.05 -0.04 -0.09 -0.06  0.02
 20427        -0.52   0.21  -30.0  0.40  0.12  0.12  0.10  0.13   0.05 -30.0  0.06 -0.06  0.06  0.02 -0.01 -0.24  0.11 -0.03 -0.06  0.08  0.01 -0.06  0.07 -0.08  0.01 -30.0 -0.09
 20717        -0.33   0.06  -30.0  0.22  0.06  0.06  0.02  0.06  -0.03 -30.0  0.02 -0.01  0.03  0.01 -0.03 -0.20  0.05 -0.04 -0.18 -0.04  0.05 -0.04 -0.08  0.18  0.03 -30.0 -30.0
 21922        -0.48   0.27  -30.0  0.41  0.07  0.14  0.16  0.07   0.16  0.29 -0.02  0.05  0.04 -0.03 -0.07 -0.18 -0.02 -0.02 -0.03  0.19  0.25  0.23  0.18  0.33  0.34  0.17 -30.0
 22255        -0.28   0.13  -30.0  0.27  0.06  0.10  0.09  0.06   0.07  0.22  0.02  0.05  0.02 -0.05  0.03 -0.19  0.00  0.00 -30.0  0.09 -30.0  0.06 -30.0  0.15 -30.0 -30.0  0.08
