[Fe/H] err   [FeII/H] err   [Mg/Fe] err   [Si/Fe] err   [Ca/Fe] err   [Ti/Fe] err    [TiII/Fe] err   [Na/Fe] err   [Sc/Fe] err   [V/Fe] err    [Cr/Fe] err   [CrII/Fe] err   [Mn/Fe] err   [Co/Fe] err   [Ni/Fe] err   [Cu/Fe] err   [Zn/Fe] err   [Sr/Fe] err   [Y/Fe]  err   [Zr/Fe] err   [Ba/Fe] err   [La/Fe] err   [Nd/Fe] err   [Sm/Fe] err   [Eu/Fe] err
-2.58  0.18   -2.54   0.12    0.48  0.11    0.43  0.16    0.28  0.11    0.19  0.10      0.24  0.10    -0.06  0.14    0.04  0.09   -0.27  0.16   -0.31  0.08     0.08  0.06    -0.34  0.16   -30.0 -30.0   -0.06  0.08   -0.68  0.12    0.04  0.21   -30.0 -30.0   -0.49  0.10   -0.16  0.14   -0.46  0.17   -0.02  0.14   -0.11  0.11    0.03  0.12    0.09  0.11    
-3.20  0.08   -3.21   0.13    0.29  0.08   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0      0.60  0.10    -30.0 -30.0    0.48  0.08   -30.0 -30.0   -0.04  0.08    -30.0 -30.0    -0.30  0.07   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -1.25  0.10   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    1.37 -30.0 
-1.32  0.11   -1.33   0.12    0.17  0.08    0.21  0.13    0.28  0.07    0.39  0.07      0.40  0.07    -0.11  0.12    0.17  0.07    0.12  0.13   -0.04  0.07     0.21  0.08    -0.20  0.08    0.18  0.12    0.00  0.09   -0.49  0.12    0.30  0.09    0.09  0.20   -0.16  0.08    0.15  0.10   -0.21  0.13    0.13  0.11   -30.0 -30.0   -30.0 -30.0    0.35  0.21 
-1.87  0.23   -2.02   0.22    0.31  0.15   -30.0 -30.0    0.34  0.10    0.35  0.14      0.56  0.37    -30.0 -30.0    0.23  0.12    0.26  0.19   -0.05  0.12    -30.0 -30.0    -0.14  0.23    0.10  0.17    0.03  0.15   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.08  0.24   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.78  0.09 
-1.47  0.17   -1.65   0.15    0.09  0.14   -30.0 -30.0    0.17  0.07    0.28  0.09      0.36  0.24    -30.0 -30.0    0.16  0.12   -30.0 -30.0   -0.02  0.09     0.27  0.09    -0.38  0.12   -30.0 -30.0   -0.16  0.13   -0.27  0.13   -0.07  0.20   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.35  0.20    1.35  0.13   -30.0 -30.0   -30.0 -30.0    0.85  0.12 
-1.97  0.09   -1.98   0.11    0.21  0.07   -30.0 -30.0    0.44  0.07    0.51  0.07      0.48  0.08    -0.01  0.09    0.21  0.08   -30.0 -30.0   -0.04  0.08     0.13  0.10    -0.38  0.07    0.09  0.10   -0.09  0.09   -4.91 -30.0    0.10  0.08    0.31  0.21    0.06  0.09   -30.0 -30.0   -0.01  0.11   -30.0 -30.0    0.53  0.10   -30.0 -30.0    0.48  0.21 
-1.19  0.20   -1.30   0.15    0.17  0.14    0.13  0.20    0.15  0.06    0.25  0.09      0.47  0.32    -0.39  0.13    0.15  0.10    0.14  0.21   -0.08  0.08     0.20  0.10    -0.29  0.09   -30.0 -30.0   -0.22  0.16   -0.37  0.12   -0.10  0.21   -30.0 -30.0    0.02  0.12   -30.0 -30.0    0.13  0.15   -30.0 -30.0    0.46  0.18   -30.0 -30.0    0.86  0.14 
-1.23  0.11   -1.28   0.11    0.12  0.09    0.14  0.13    0.10  0.08    0.27  0.07      0.38  0.08    -0.30  0.12    0.17  0.07    0.23  0.13   -0.06  0.07     0.18  0.09    -0.31  0.07   -30.0 -30.0   -0.08  0.09   -30.0 -30.0    0.04  0.14   -30.0 -30.0   -0.05  0.08   -30.0 -30.0    0.12  0.16   -30.0 -30.0    0.73  0.14   -30.0 -30.0    0.53  0.11 
-1.63  0.12   -1.82   0.12    0.06  0.13   -30.0 -30.0    0.10  0.08    0.27  0.07      0.39  0.10    -30.0 -30.0    0.10  0.09   -30.0 -30.0   -0.03  0.07     0.28  0.07    -0.28  0.07   -30.0 -30.0   -0.07  0.11   -0.47  0.12   -0.07  0.17   -30.0 -30.0    0.03  0.11   -30.0 -30.0    0.03  0.15   -30.0 -30.0    0.59  0.11   -30.0 -30.0    0.18  0.21 
-1.60  0.10   -1.62   0.11    0.21  0.08    0.19  0.11    0.28  0.07    0.29  0.07      0.33  0.08    -30.0 -30.0    0.08  0.07   -30.0 -30.0   -0.17  0.08     0.21  0.08    -0.26  0.07    0.11  0.11   -0.01  0.08   -30.0 -30.0    0.11  0.10   -0.24  0.20   -0.16  0.10   -30.0 -30.0    0.02  0.13   -30.0 -30.0    0.54  0.10   -30.0 -30.0    0.57  0.06 
-1.78  0.09   -1.77   0.11    0.19  0.09   -30.0 -30.0    0.25  0.07    0.37  0.07      0.43  0.09    -30.0 -30.0    0.14  0.10   -30.0 -30.0   -0.04  0.07     0.14  0.07    -0.28  0.10    0.13  0.11   -0.16  0.08   -0.42 -30.0    0.08  0.12    0.10  0.21    0.00  0.10   -30.0 -30.0    0.25  0.13   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.81  0.21 
-1.06  0.10   -1.07   0.11   -0.10  0.09   -0.06  0.13    0.10  0.07    0.33  0.08      0.40  0.08    -0.35  0.16    0.14  0.07    0.14  0.16   -0.07  0.08     0.11  0.08    -0.32  0.09    0.18  0.15   -0.12  0.10   -0.97 -30.0   -0.08  0.12   -0.07  0.24    0.04  0.08    0.43  0.14    0.25  0.17    0.54  0.14    0.78  0.14    0.80  0.14    0.77  0.08 
-2.92  0.11   -3.11   0.18    0.28  0.17   -30.0 -30.0    0.46  0.11   -30.0 -30.0      0.57  0.16    -30.0 -30.0    0.04  0.21   -30.0 -30.0   -0.34  0.07    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -2.58 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-1.60  0.10   -1.62   0.10   -0.06  0.08   -30.0 -30.0    0.07  0.07    0.19  0.08      0.35  0.09    -30.0 -30.0   -0.01  0.10   -30.0 -30.0   -0.16  0.07     0.11  0.09    -0.43  0.09    0.06  0.15   -0.22  0.10   -30.0 -30.0   -0.07  0.14   -0.15  0.23   -30.0 -30.0   -30.0 -30.0    0.12  0.14    0.36  0.14    0.64  0.14   -30.0 -30.0    0.63  0.21 
-2.63  0.09   -2.64   0.13    0.13  0.07   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0      0.59  0.10    -30.0 -30.0    0.45  0.10   -30.0 -30.0   -0.08  0.06    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.36 -30.0   -30.0 -30.0   -0.07  0.14   -30.0 -30.0   -30.0 -30.0   -0.06  0.13   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.76 -30.0 
-2.43  0.09   -2.50   0.11    0.10  0.08   -30.0 -30.0    0.31  0.07   -30.0 -30.0      0.72  0.07    -30.0 -30.0    0.58  0.11   -30.0 -30.0   -30.0 -30.0    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.58 -30.0   -30.0 -30.0    0.14  0.14   -30.0 -30.0   -30.0 -30.0   -0.09  0.14   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    1.38 -30.0 
-3.21  0.08   -3.22   0.14    0.32  0.07   -30.0 -30.0    0.56  0.06   -30.0 -30.0      0.64  0.10    -30.0 -30.0    0.37  0.09   -30.0 -30.0   -0.10  0.07    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0    0.12  0.08   -30.0 -30.0   -30.0 -30.0    0.18  0.12   -30.0 -30.0   -30.0 -30.0    0.06  0.12   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0 
-1.13  0.12   -1.13   0.12    0.32  0.09    0.39  0.11    0.31  0.08    0.29  0.07      0.40  0.08     0.12  0.13    0.16  0.07    0.17  0.10   -0.14  0.07     0.21  0.07    -0.30  0.07   -30.0 -30.0    0.00  0.08   -30.0 -30.0    0.15  0.11   -30.0 -30.0    0.23  0.08    0.39  0.13    0.32  0.16    0.42  0.09    0.41  0.13    0.43  0.14    0.24  0.06 
-1.88  0.11   -1.88   0.13    0.18  0.08   -30.0 -30.0    0.30  0.09    0.19  0.07      0.08  0.09    -30.0 -30.0   -0.16  0.10   -0.17  0.12   -0.20  0.07     0.05  0.10    -0.43  0.10   -0.11  0.11   -30.0 -30.0   -0.83 -30.0   -0.00  0.08   -30.0 -30.0   -0.27  0.12   -30.0 -30.0   -0.10  0.14    0.15  0.12    0.19  0.12    0.36  0.10    0.41  0.07 
-1.69  0.17   -1.70   0.13    0.13  0.12    0.23  0.14    0.15  0.08    0.07  0.08      0.09  0.10    -0.48  0.15   -0.03  0.08   -0.07  0.12   -0.24  0.07     0.06  0.08    -0.39  0.07   -30.0 -30.0   -0.18  0.09   -0.96  0.12   -0.15  0.16   -30.0 -30.0   -0.64  0.10   -0.15  0.11   -0.27  0.23   -0.11  0.12   -0.03  0.10    0.11  0.10    0.16  0.07 
-2.16  0.12   -2.18   0.12    0.27  0.08   -30.0 -30.0    0.30  0.08    0.30  0.07      0.36  0.08    -30.0 -30.0    0.14  0.08    0.09  0.13   -0.20  0.06     0.18  0.08    -0.46  0.11   -30.0 -30.0   -0.02  0.09   -0.87 -30.0    0.04  0.13   -0.35  0.22   -30.0 -30.0   -30.0 -30.0   -0.57  0.12   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.06  0.21 
-1.23  0.15   -1.34   0.16    0.01  0.11    0.11  0.20    0.08  0.09    0.20  0.09      0.25  0.10    -0.58  0.10    0.11  0.09    0.00  0.14   -0.01  0.16     0.24  0.07    -0.13  0.14   -30.0 -30.0   -0.12  0.11   -0.38  0.12   -0.07  0.17   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -0.04  0.20    1.11  0.11    0.35  0.12    0.60  0.11    0.30 -30.0 
-1.35  0.16   -1.35   0.14    0.20  0.11    0.17  0.15    0.23  0.08    0.20  0.08      0.33  0.10    -0.07  0.14    0.16  0.07   -30.0 -30.0   -0.17  0.07     0.16  0.09    -0.26  0.08   -30.0 -30.0   -0.13  0.12   -0.51  0.12    0.05  0.16   -30.0 -30.0   -0.10  0.10    0.42  0.11    0.07  0.19    0.29  0.10    0.35  0.10    0.48  0.10    0.52  0.07 
-1.72  0.11   -1.68   0.14    0.34  0.09    0.50  0.09    0.38  0.07    0.30  0.08      0.22  0.11    -30.0 -30.0   -0.03  0.09   -0.04  0.11   -0.12  0.07     0.15  0.13    -0.25  0.09   -0.10  0.10    0.10  0.10   -0.95 -30.0    0.15  0.08   -30.0 -30.0   -0.32  0.11   -0.21  0.12   -0.20  0.24   -30.0 -30.0   -0.12  0.12    0.11  0.14    0.07  0.12 
-1.96  0.17   -1.99   0.12    0.11  0.10    0.26  0.22    0.12  0.09    0.00  0.09      0.13  0.09    -30.0 -30.0   -0.09  0.08   -30.0 -30.0   -0.33  0.08     0.10  0.07    -0.50  0.12   -30.0 -30.0   -0.21  0.11   -1.10  0.12   -0.16  0.17   -30.0 -30.0   -0.49  0.09   -30.0 -30.0   -0.23  0.18   -30.0 -30.0    0.01  0.09    0.18  0.10    0.21  0.06 
-1.92  0.10   -1.90   0.12    0.46  0.13    0.35  0.12    0.44  0.08    0.39  0.07      0.26  0.08    -30.0 -30.0    0.06  0.08   -30.0 -30.0   -0.15  0.07     0.10  0.10    -0.44  0.08   -0.01  0.09   -0.05  0.08   -0.81 -30.0    0.13  0.07   -30.0 -30.0   -0.09  0.09   -30.0 -30.0   -0.19  0.12   -30.0 -30.0    0.12  0.10    0.35  0.10    0.21  0.08 
-2.81  0.13   -2.83   0.11    0.27  0.08   -30.0 -30.0    0.28  0.09    0.20  0.08      0.24  0.09    -30.0 -30.0   -0.06  0.11   -30.0 -30.0   -0.30  0.10    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -1.66 -30.0    0.18  0.15   -0.02  0.18   -0.42  0.13   -30.0 -30.0   -0.85  0.12   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -0.15 -30.0 
-2.04  0.17   -2.04   0.13    0.29  0.13    0.31  0.15    0.30  0.08    0.20  0.08      0.27  0.08    -30.0 -30.0    0.07  0.14   -0.06  0.10   -0.24  0.07     0.20  0.08    -0.36  0.12   -30.0 -30.0   -0.10  0.11   -0.69  0.12    0.09  0.17   -30.0 -30.0   -0.16  0.08   -0.15  0.10   -0.11  0.16    0.11  0.11    0.08  0.10    0.24  0.10    0.17  0.21 
-1.33  0.10   -1.34   0.11    0.03  0.08    0.15  0.10    0.22  0.08    0.36  0.07      0.45  0.08    -0.44  0.13    0.15  0.08    0.10  0.14   -0.08  0.07     0.15  0.09    -0.30  0.09    0.12  0.13   -0.17  0.09   -4.83 -30.0   -0.02  0.10    0.04  0.21    0.00  0.09   -30.0 -30.0    0.13  0.15   -30.0 -30.0    0.67  0.12    0.81  0.12    0.65  0.21 
-1.50  0.11   -1.51   0.11    0.00  0.08   -30.0 -30.0    0.10  0.08    0.13  0.07      0.20  0.08    -30.0 -30.0   -0.04  0.09   -0.19  0.13   -0.20  0.07     0.14  0.09    -0.34  0.10   -30.0 -30.0   -0.23  0.11   -0.77 -30.0   -0.19  0.12   -0.20  0.19   -0.46  0.10   -30.0 -30.0   -0.22  0.12   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.47  0.10 
-1.56  0.17   -1.55   0.14    0.33  0.11    0.34  0.16    0.30  0.08    0.32  0.08      0.46  0.14    -0.03  0.14    0.19  0.08    0.05  0.13   -0.18  0.07     0.22  0.09    -0.27  0.07   -0.02  0.14   -0.10  0.10   -0.57  0.12    0.14  0.18   -30.0 -30.0   -0.04  0.09    0.25  0.11    0.12  0.22    0.39  0.15    0.33  0.10    0.45  0.10    0.48  0.10 
-0.91  0.15   -1.00   0.14    0.27  0.08    0.24  0.16    0.13  0.08    0.32  0.08      0.48  0.09     0.09  0.10    0.36  0.09    0.20  0.15   -0.07  0.10     0.23  0.08    -0.05  0.12   -0.10  0.16    0.01  0.09    0.06  0.12    0.18  0.15   -30.0 -30.0    0.18  0.10    0.43  0.10    0.26  0.18   -30.0 -30.0    0.58  0.20    0.56  0.12    0.45  0.21 
-0.66  0.14   -0.65   0.14    0.29  0.09    0.30  0.13    0.16  0.08    0.19  0.07      0.39  0.10     0.22  0.10    0.23  0.08    0.11  0.15   -0.07  0.08     0.23  0.10     0.07  0.08   -30.0 -30.0    0.05  0.11   -0.08  0.12    0.27  0.12   -30.0 -30.0   -0.21  0.09   -0.10  0.09   -0.01  0.17   -30.0 -30.0    0.39  0.19    0.10  0.11    0.13  0.07 
-1.47  0.15   -1.47   0.14    0.29  0.11    0.27  0.15    0.30  0.08    0.19  0.07      0.30  0.09    -0.11  0.12    0.06  0.07    0.11  0.19   -0.13  0.06     0.23  0.08    -0.27  0.07   -30.0 -30.0   -0.08  0.09   -0.72  0.12    0.10  0.17   -30.0 -30.0   -0.13  0.08   -30.0 -30.0    0.05  0.18   -30.0 -30.0    0.24  0.12    0.33  0.10    0.42  0.07 
-0.72  0.12   -0.71   0.13    0.21  0.07    0.12  0.14    0.14  0.08    0.39  0.08      0.39  0.12     0.21  0.14    0.27  0.08    0.32  0.11   -0.03  0.07     0.20  0.08     0.00  0.08    0.08  0.14    0.01  0.08   -0.03  0.12    0.15  0.13   -30.0 -30.0   -0.07  0.13    0.43  0.31    0.07  0.17    0.89  0.12    0.79  0.22    0.37  0.12    0.33  0.11 
-0.63  0.12   -0.62   0.12    0.21  0.08    0.24  0.12    0.13  0.07    0.32  0.07      0.48  0.08     0.10  0.10    0.36  0.07    0.33  0.20   -0.06  0.08     0.21  0.10    -0.12  0.08   -0.07  0.13   -0.00  0.08   -0.06  0.12    0.18  0.11   -30.0 -30.0    0.11  0.09    0.30  0.10    0.11  0.15   -30.0 -30.0    0.70  0.17    0.31  0.11    0.30  0.09 
-0.80  0.15   -0.83   0.13    0.31  0.10    0.24  0.17    0.13  0.10    0.37  0.09      0.51  0.11     0.08  0.11    0.35  0.08    0.27  0.15   -0.09  0.10     0.18  0.07    -0.08  0.12    0.04  0.17    0.02  0.09    0.18  0.12    0.17  0.14   -30.0 -30.0    0.11  0.10    0.37  0.11    0.20  0.22   -30.0 -30.0    0.73  0.25   -30.0 -30.0    0.52  0.12 
-1.01  0.18   -1.01   0.17    0.39  0.11    0.34  0.18    0.30  0.08    0.25  0.09      0.47  0.14     0.22  0.14    0.28  0.09    0.01  0.15   -0.14  0.09     0.18  0.10     0.05  0.14   -0.01  0.16    0.03  0.09   -0.11  0.12    0.29  0.17   -30.0 -30.0   -0.02  0.12   -0.04  0.10    0.10  0.21    0.23  0.19    0.19  0.13    0.18  0.12    0.21  0.11 
-1.45  0.15   -1.43   0.14    0.37  0.11    0.37  0.13    0.36  0.08    0.27  0.08      0.35  0.13     0.06  0.13    0.18  0.08    0.01  0.11   -0.22  0.09     0.18  0.09    -0.36  0.08   -30.0 -30.0   -0.08  0.10   -30.0 -30.0    0.11  0.13   -30.0 -30.0   -0.01  0.09    0.30  0.21    0.06  0.19    0.16  0.10    0.19  0.10    0.22  0.10    0.30  0.10 
-2.52  0.10   -2.52   0.11    0.48  0.07   -30.0 -30.0    0.41  0.10    0.63  0.08      0.38  0.08    -30.0 -30.0    0.17  0.10   -30.0 -30.0   -0.06  0.07     0.18  0.10    -0.68  0.07    0.05  0.10   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -0.04  0.09    0.42  0.09   -0.50  0.12   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.06  0.21 
-2.27  0.12   -2.25   0.11    0.34  0.08    0.41  0.14    0.34  0.07    0.29  0.08      0.34  0.08    -0.14  0.12    0.12  0.07    0.02  0.12   -0.28  0.07     0.13  0.07    -0.39  0.08    0.25  0.15   -0.03  0.09   -30.0 -30.0    0.15  0.12   -0.03  0.23   -0.17  0.08    0.24  0.11   -0.00  0.15    0.23  0.11    0.33  0.09    0.56  0.10    0.53  0.21 
-0.81  0.27   -0.86   0.21    0.34  0.18    0.27  0.23    0.20  0.14   -0.10  0.15      0.38  0.18     0.03  0.22    0.22  0.14   -0.34  0.22    0.07  0.12     0.23  0.12     0.14  0.11   -0.25  0.21   -0.02  0.09   -0.33  0.12    0.28  0.16   -30.0 -30.0   -0.35  0.11   -30.0 -30.0    0.24  0.20    0.01  0.17    0.13  0.19   -0.02  0.13   -0.11  0.15 
-1.00  0.11   -0.97   0.12    0.32  0.08    0.29  0.10    0.23  0.07    0.35  0.07      0.43  0.07     0.12  0.10    0.29  0.07    0.20  0.10   -0.06  0.07     0.20  0.07    -0.13  0.14    0.24  0.12   -0.01  0.10   -0.31  0.12    0.12  0.10   -30.0 -30.0    0.13  0.07    0.34  0.08    0.18  0.14   -30.0 -30.0    0.57  0.16   -30.0 -30.0    0.45  0.09 
-0.83  0.20   -0.82   0.17    0.27  0.12    0.31  0.17    0.17  0.10    0.18  0.12      0.35  0.15     0.15  0.16    0.20  0.10   -0.02  0.15   -0.20  0.10     0.11  0.08     0.06  0.11    0.06  0.16    0.02  0.09   -0.29  0.12    0.14  0.17   -30.0 -30.0   -0.20  0.11   -30.0 -30.0    0.09  0.22    0.16  0.13    0.17  0.12    0.20  0.13    0.08  0.14 
-1.34  0.18   -1.35   0.14    0.40  0.10    0.41  0.15    0.19  0.08    0.19  0.09      0.28  0.23     0.14  0.14    0.19  0.09   -0.04  0.13   -0.27  0.07     0.08  0.10    -0.19  0.08    0.03  0.18   -0.03  0.09   -0.25  0.12    0.18  0.17   -30.0 -30.0   -0.08  0.13   -30.0 -30.0    0.11  0.25    0.15  0.13    0.17  0.10    0.18  0.10    0.18  0.10 
-1.44  0.18   -1.43   0.15    0.64  0.12    0.66  0.15    0.59  0.08    0.21  0.08      0.27  0.10     0.38  0.13    0.12  0.08    0.01  0.16   -0.24  0.07     0.33  0.09    -0.09  0.08   -0.20  0.17    0.13  0.10   -0.33  0.12    0.30  0.17   -30.0 -30.0   -0.07  0.09    0.09  0.08    0.01  0.22    0.14  0.28    0.24  0.20   -0.02  0.13   -0.14  0.21 
