[Fe/H] err   [FeII/H] err   [Mg/Fe] err   [Si/Fe] err   [Ca/Fe] err   [Ti/Fe] err    [TiII/Fe] err   [Na/Fe] err   [Sc/Fe] err   [V/Fe] err    [Cr/Fe] err   [CrII/Fe] err   [Mn/Fe] err   [Co/Fe] err   [Ni/Fe] err   [Cu/Fe] err   [Zn/Fe] err   [Sr/Fe] err   [Y/Fe]  err   [Zr/Fe] err   [Ba/Fe] err   [La/Fe] err   [Nd/Fe] err   [Sm/Fe] err   [Eu/Fe] err
-1.27  0.10   -1.28   0.12    0.28  0.08    0.29  0.11    0.26  0.07    0.35  0.07      0.45  0.08     0.02  0.11    0.23  0.07    0.10  0.13   -0.09  0.07     0.19  0.07    -0.27  0.12   -30.0 -30.0   -0.02  0.08   -30.0 -30.0    0.11  0.10   -30.0 -30.0    0.26  0.08   -30.0 -30.0    0.32  0.15   -30.0 -30.0    0.55  0.08   -30.0 -30.0    0.33  0.21 
-1.35  0.10   -1.70   0.11   -0.00  0.09   -0.13  0.13    0.02  0.07    0.26  0.07      0.47  0.09    -30.0 -30.0    0.23  0.08    0.18  0.15   -0.08  0.11     0.22  0.06    -0.40  0.10   -30.0 -30.0   -0.22  0.08   -30.0 -30.0   -0.14  0.16   -0.09  0.24    0.02  0.10   -30.0 -30.0    0.23  0.14   -30.0 -30.0    0.74  0.13   -30.0 -30.0    0.46  0.21 
-1.74  0.10   -2.00   0.12    0.04  0.10   -30.0 -30.0    0.15  0.08    0.39  0.07      0.51  0.10     0.10  0.15    0.24  0.08    0.27  0.15   -0.06  0.09     0.27  0.07    -0.42  0.10    0.15  0.14   -0.12  0.08   -0.38 -30.0   -0.03  0.16    0.14  0.22    0.28  0.08    0.85  0.13    0.30  0.14   -30.0 -30.0    0.72  0.14   -30.0 -30.0    0.46 -30.0 
-1.40  0.11   -1.39   0.10    0.09  0.08    0.11  0.14    0.20  0.07    0.28  0.08      0.40  0.08     0.21  0.14    0.05  0.09    0.01  0.15   -0.19  0.06     0.09  0.08    -0.31  0.09    0.23  0.14   -0.13  0.11   -0.33 -30.0    0.04  0.13   -0.05  0.21   -0.08  0.09    0.24  0.12    0.16  0.19    0.19  0.13    0.46  0.13   -30.0 -30.0    0.28  0.10 
-2.14  0.08   -2.15   0.11    0.24  0.07   -30.0 -30.0    0.39  0.07    0.51  0.07      0.45  0.08    -0.19  0.09    0.22  0.08    0.21  0.11   -0.04  0.08     0.17  0.08    -0.33  0.08    0.14  0.10   -0.06  0.06   -0.04 -30.0    0.17  0.07    0.37  0.22   -0.04  0.09    0.28  0.09   -0.17  0.11   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.11 -30.0 
-1.14  0.12   -1.15   0.11    0.16  0.13    0.13  0.14    0.21  0.07    0.27  0.07      0.32  0.08     0.10  0.10    0.10  0.07    0.02  0.14   -0.09  0.07     0.17  0.09    -0.32  0.08   -30.0 -30.0   -0.14  0.09   -0.75  0.12    0.04  0.12   -30.0 -30.0    0.10  0.09   -30.0 -30.0    0.54  0.15    0.57  0.12    0.61  0.12   -30.0 -30.0    0.49  0.07 
-1.99  0.09   -1.99   0.12    0.28  0.07   -30.0 -30.0    0.38  0.08    0.43  0.07      0.48  0.09    -30.0 -30.0    0.13  0.13   -30.0 -30.0   -0.10  0.07     0.15  0.10    -0.38  0.10    0.09  0.11   -30.0 -30.0   -2.19 -30.0   -30.0 -30.0    0.13  0.23   -30.0 -30.0   -30.0 -30.0   -0.17  0.11   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.07 -30.0 
-1.03  0.12   -1.03   0.12    0.12  0.09    0.11  0.13    0.09  0.08    0.25  0.07      0.42  0.09    -0.23  0.12    0.22  0.07   -0.02  0.12   -0.07  0.07     0.18  0.07    -0.24  0.07   -30.0 -30.0   -0.09  0.09   -30.0 -30.0    0.05  0.14   -30.0 -30.0   -0.00  0.09   -30.0 -30.0    0.17  0.16    0.60  0.15    0.60  0.10    0.54  0.09    0.64  0.06 
-3.06  0.08   -3.07   0.13    0.15  0.07   -30.0 -30.0    0.43  0.08    0.83  0.12      0.51  0.10    -30.0 -30.0    0.24  0.11   -30.0 -30.0   -0.01  0.07    -30.0 -30.0    -30.0 -30.0   -30.0 -30.0   -30.0 -30.0   -2.72 -30.0   -30.0 -30.0    0.04  0.12   -30.0 -30.0   -30.0 -30.0   -0.39  0.13   -30.0 -30.0   -30.0 -30.0   -30.0 -30.0    0.90 -30.0 
-0.58  0.12   -0.60   0.10    0.02  0.09    0.04  0.12   -0.07  0.08    0.19  0.08      0.35  0.07    -0.09  0.10    0.19  0.07    0.11  0.20   -0.08  0.07     0.15  0.09    -0.12  0.08   -30.0 -30.0   -0.12  0.09   -30.0 -30.0    0.01  0.10   -30.0 -30.0    0.02  0.08   -30.0 -30.0    0.21  0.15   -30.0 -30.0    0.78  0.13   -30.0 -30.0    0.37  0.21 
