[Fe/H] [FeII/H] [Obrac/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Si/Fe] [Ca/Fe] [Ti/Fe] [TiII/Fe] [alpha/Fe] [Sc/Fe] [V/Fe] [Cr/Fe] [CrII/Fe] [Mn/Fe] [Ni/Fe] [Zn/Fe]
-1.28 -0.07 -30.0 0.49 0.06 0.44 0.18 0.25 0.26 0.26 0.28 -30.0 -30.0 -0.14 -30.0 -30.0 -0.01 -30.0
-0.60 -30.0 -30.0 -30.0 0.01 0.51 0.23 0.22 -30.0 0.29 0.31 -30.0 -30.0 0.11 -30.0 -30.0 0.01 -30.0
-0.29 0.03 -30.0 -30.0 -0.02 0.14 0.08 0.12 0.08 -30.0 0.10 -30.0 -0.04 -30.0 -30.0 -30.0 -0.03 -30.0
-0.84 -0.07 -30.0 0.17 -0.38 0.11 -0.01 0.13 0.04 0.04 0.07 -30.0 -30.0 -0.10 -0.10 -30.0 -0.18 -30.0
-0.35 -0.16 -30.0 -30.0 0.05 0.12 0.03 0.08 0.06 0.01 0.07 -30.0 0.04 -0.03 -30.0 -30.0 -0.10 -30.0
-0.44 0.05 -30.0 0.37 0.14 0.37 0.16 0.15 0.21 0.23 0.23 0.09 0.30 0.04 0.05 -0.01 0.02 0.11
-0.88 -0.06 -30.0 -30.0 0.06 0.43 0.25 0.25 0.21 0.25 0.29 -30.0 0.10 -0.07 -30.0 -30.0 -0.06 -30.0
-0.85 0.07 -30.0 0.34 -0.39 0.16 0.08 0.11 0.13 0.21 0.13 -30.0 -30.0 -0.07 0.11 -30.0 -0.12 -30.0
-0.80 -0.05 -30.0 0.36 0.07 0.33 0.17 0.21 0.20 0.26 0.24 -30.0 0.11 -0.04 0.00 -30.0 0.03 -30.0
-1.64 -0.22 -30.0 0.64 -0.20 0.31 0.07 0.32 0.20 0.18 0.22 -0.07 -0.04 -0.08 -0.09 -0.42 -0.18 0.07
-0.94 0.04 -30.0 -30.0 0.15 0.51 0.39 0.28 0.31 0.27 0.37 -30.0 0.19 -0.02 -30.0 -30.0 0.00 -30.0
-1.70 0.06 -30.0 -30.0 -0.10 0.46 0.38 0.43 0.31 0.29 0.39 -30.0 0.01 -0.16 -30.0 -30.0 -0.10 -30.0
-2.02 -30.0 -30.0 -30.0 0.64 0.38 -30.0 0.48 -30.0 0.08 0.31 -30.0 -30.0 -0.08 -30.0 -30.0 -30.0 -30.0
-0.61 -0.02 -30.0 0.62 0.18 0.46 0.23 0.24 0.35 0.29 0.31 0.21 0.30 0.05 0.06 -0.11 -0.03 0.07
-0.85 -0.10 0.55 0.47 0.04 0.41 0.23 0.28 0.24 0.23 0.29 -30.0 -0.06 -0.06 -0.08 -30.0 0.00 -30.0
-0.57 -0.04 -30.0 -30.0 0.08 0.26 0.18 0.16 0.01 0.05 0.16 -30.0 0.12 -0.11 -30.0 -30.0 -0.05 -30.0
-2.10 0.31 -30.0 -30.0 -30.0 0.49 0.50 0.43 0.33 0.57 0.47 -30.0 -30.0 -0.05 -30.0 -30.0 0.26 -30.0
-0.60 -0.02 -30.0 -30.0 0.20 0.18 0.27 0.12 -30.0 -30.0 0.19 -30.0 -30.0 -0.11 -30.0 -30.0 -30.0 -30.0
-2.03 -0.22 -30.0 0.78 -0.30 0.22 -30.0 0.13 0.07 0.25 0.17 0.07 -30.0 -0.06 -0.22 -30.0 -0.06 0.07
-0.43 -0.06 -30.0 0.07 0.04 0.11 0.02 0.09 -0.06 0.08 0.06 -30.0 -30.0 -0.15 -0.09 -30.0 -0.04 -30.0
-0.02 -0.05 -30.0 -30.0 -0.07 0.03 -0.04 0.04 -0.14 -0.04 -0.02 -30.0 0.00 -0.04 -30.0 -30.0 -0.14 -30.0
0.04 -0.06 -30.0 -30.0 -0.11 -0.01 -0.08 0.00 0.01 0.15 0.00 -30.0 0.01 -0.03 -30.0 -30.0 -0.15 -30.0
-2.22 0.06 -30.0 -30.0 -0.41 0.52 0.59 0.44 0.41 0.41 0.49 0.04 -30.0 -0.09 -0.11 -0.50 0.01 0.30
-0.66 -0.04 -30.0 -30.0 0.07 0.35 0.22 0.22 0.19 0.14 0.24 -30.0 0.02 0.02 -30.0 -30.0 -0.07 -30.0
-1.09 0.02 -30.0 0.72 -0.18 0.35 0.35 0.36 0.33 0.39 0.36 -0.03 -0.07 0.08 0.17 -0.35 -0.02 0.27
-1.93 -30.0 -30.0 -30.0 -0.02 0.45 -30.0 0.44 -30.0 0.39 0.43 -30.0 -30.0 -0.15 -30.0 -30.0 -30.0 -30.0
-1.49 -0.07 -30.0 0.68 -0.07 0.53 0.35 0.32 0.30 0.23 0.36 -0.01 -30.0 0.12 0.07 -0.38 0.01 0.17
-1.28 0.03 0.41 0.38 0.09 0.43 0.23 0.27 0.25 0.30 0.30 0.11 0.04 -0.11 0.10 -0.31 -0.02 0.27
-0.91 -0.06 -30.0 -30.0 0.19 0.53 0.40 0.33 -30.0 0.31 0.39 -30.0 -30.0 -0.15 -30.0 -30.0 -0.03 -30.0
-1.33 -0.07 -30.0 0.62 -0.36 0.43 0.19 0.29 0.26 0.25 0.29 0.00 0.12 -0.06 0.07 -0.35 -0.08 0.16
-0.75 0.01 -30.0 -30.0 0.11 0.40 0.28 0.20 -30.0 0.18 0.26 -30.0 -30.0 -0.02 -30.0 -30.0 -0.06 -30.0
-1.27 -0.06 -30.0 0.58 0.07 0.47 0.60 0.25 0.18 0.28 0.39 -30.0 -30.0 -0.06 0.07 -30.0 0.18 -30.0
-0.72 -0.09 -30.0 0.46 0.12 0.47 0.31 0.29 0.14 0.15 0.30 -30.0 0.09 -0.10 -0.06 -30.0 0.00 -30.0
-0.80 -0.06 -30.0 -30.0 0.04 0.39 0.25 0.22 0.20 0.13 0.26 -30.0 -0.06 -0.02 -30.0 -30.0 0.01 -30.0
-1.69 0.00 -30.0 0.77 -0.12 0.46 0.47 0.36 0.28 0.48 0.41 -0.07 -0.18 -0.16 -0.09 -30.0 -0.03 -30.0
-1.23 -0.02 0.43 -30.0 0.06 0.60 0.42 0.35 0.20 0.22 0.40 0.12 -0.02 -0.12 -0.05 -0.47 -0.03 0.13
-0.94 -0.12 -30.0 0.36 -0.08 0.26 0.07 0.14 0.02 -0.03 0.14 -30.0 -30.0 -0.13 -0.07 -30.0 -0.10 -30.0
-0.92 -0.08 -30.0 0.43 -0.16 0.26 0.08 0.11 -0.06 0.04 0.16 -30.0 -30.0 -0.09 -0.05 -30.0 -0.13 -30.0
-0.70 0.04 0.19 0.55 0.05 0.41 0.27 0.31 0.21 0.42 0.33 -30.0 -30.0 0.00 0.00 -30.0 0.05 -30.0
0.07 0.00 -30.0 -30.0 -0.18 -0.04 -0.11 -0.04 -0.03 0.09 -0.04 -30.0 -0.07 0.00 -30.0 -30.0 -0.16 -30.0
-0.79 -0.06 -30.0 -30.0 0.16 0.47 0.26 0.23 0.16 0.17 0.28 -30.0 0.09 -0.08 -30.0 -30.0 -0.04 -30.0
-1.84 -0.15 -30.0 0.60 -0.09 0.40 0.24 0.33 0.27 0.38 0.33 -0.06 -30.0 -0.11 -0.14 -30.0 -30.0 -30.0
-0.71 0.05 -30.0 -30.0 0.19 0.25 0.23 0.22 0.02 0.09 0.19 -30.0 0.08 -0.07 -30.0 -30.0 -0.04 -30.0
-0.65 -0.03 -30.0 -30.0 0.05 0.33 0.19 0.21 0.19 0.12 0.22 -30.0 0.08 -0.02 -30.0 -30.0 -0.10 -30.0
-0.62 -0.06 -30.0 -30.0 0.01 0.26 0.13 0.13 0.08 0.06 0.15 -30.0 -0.09 -0.09 -30.0 -30.0 -0.12 -30.0
-0.94 0.05 -30.0 0.58 0.06 0.46 0.31 0.24 0.27 0.33 0.33 0.16 0.09 -0.01 0.13 -0.21 0.07 0.38
-0.76 0.05 0.27 0.53 0.07 0.49 0.30 0.27 0.25 0.30 0.33 0.11 -0.05 -0.03 0.07 -0.23 0.03 0.35
-0.52 -0.04 -30.0 -30.0 0.06 0.16 0.08 0.10 0.04 0.02 0.09 -30.0 -0.11 -0.03 -30.0 -30.0 -0.08 -30.0
-1.14 -0.10 0.56 0.60 -0.14 0.39 0.36 0.32 0.27 0.17 0.32 0.16 -0.08 -0.06 -0.09 -0.48 -0.05 -30.0
-0.31 -0.15 -30.0 -30.0 0.06 0.09 0.02 0.08 -0.04 -0.05 0.03 -30.0 -0.02 -0.04 -30.0 -30.0 -0.12 -30.0
-0.22 -0.09 -30.0 -30.0 0.03 0.12 0.04 0.06 -0.04 0.00 0.05 -30.0 0.13 -0.05 -30.0 -30.0 -0.12 -30.0
-0.34 -0.07 -30.0 -30.0 0.06 0.18 0.08 0.09 -0.02 0.03 0.09 -30.0 0.00 -0.06 -30.0 -30.0 -0.13 -30.0
-2.47 0.04 -30.0 -30.0 0.19 0.47 -30.0 0.51 0.52 0.59 0.51 -30.0 -30.0 -0.09 -30.0 -30.0 -30.0 -30.0
-1.67 0.02 0.47 0.82 0.10 0.56 0.57 0.40 0.17 0.32 0.44 0.19 -0.04 -0.14 0.05 -0.30 0.02 -30.0
-0.76 -0.08 -30.0 -30.0 0.12 0.49 0.27 0.25 0.18 0.24 0.30 -30.0 0.05 -0.08 -30.0 -30.0 -0.09 -30.0
-0.83 -0.01 -30.0 -30.0 0.11 0.45 0.32 0.25 0.23 0.26 0.32 -30.0 0.02 -0.06 -30.0 -30.0 -0.04 -30.0
-0.84 -0.04 -30.0 0.54 0.08 0.44 0.23 0.26 0.20 0.18 0.28 0.03 0.05 -0.06 0.09 -0.13 -0.01 0.06
-1.38 -0.14 -30.0 0.36 -0.56 0.19 0.01 0.14 0.11 0.14 0.12 -0.07 -0.12 -0.06 0.17 -0.41 -0.22 -0.13
-1.45 0.15 -30.0 -30.0 -0.58 0.27 0.24 0.15 0.05 0.15 0.19 -0.46 -0.02 -0.16 0.20 -0.44 -0.11 -30.0
-2.61 0.08 0.87 0.80 -0.15 0.40 0.32 0.36 0.38 0.38 0.37 -30.0 -30.0 -0.14 0.17 -0.61 0.11 -30.0
-1.04 0.10 -30.0 -30.0 0.25 0.61 0.41 0.42 0.23 0.36 0.43 -30.0 0.17 -0.11 -30.0 -30.0 0.03 -30.0
-1.48 -0.02 -30.0 -30.0 -0.09 0.47 0.38 0.42 0.28 0.29 0.39 -30.0 0.00 -0.12 -30.0 -30.0 -0.07 -30.0
-1.39 -0.18 -30.0 0.81 0.00 -30.0 0.34 0.37 0.37 0.20 0.34 -0.02 0.15 0.06 -0.02 -0.34 -0.03 -30.0
