H CC SNe yields: Limongi & Chieffi (2018), Model R, V_rot = 0.0 km/s 
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
H Isotopes: H-1, H-2, He-3, He-4, Li-6, Li-7, Be-9, B-10, B-11, C-12, C-13, N-14, N-15, O-16, O-17, O-18, F-19, Ne-20, Ne-21, Ne-22, Na-23, Mg-24, Mg-25, Mg-26, Al-27, Si-28, Si-29, Si-30, P-31, S-32, S-33, S-34, S-36, Cl-35, Cl-37, Ar-36, Ar-38, Ar-40, K-39, K-40, K-41, Ca-40, Ca-42, Ca-43, Ca-44, Ca-46, Ca-48, Sc-45, Ti-46, Ti-47, Ti-48, Ti-49, Ti-50, V-50, V-51, Cr-50, Cr-52, Cr-53, Cr-54, Mn-55, Fe-54, Fe-56, Fe-57, Fe-58, Co-59, Ni-58, Ni-60, Ni-61, Ni-62, Ni-64, Cu-63, Cu-65, Zn-64, Zn-66, Zn-67, Zn-68, Zn-70, Ga-69, Ga-71, Ge-70, Ge-72, Ge-73, Ge-74, Ge-76, As-75, Se-74, Se-76, Se-77, Se-78, Se-80, Se-82, Br-79, Br-81, Kr-78, Kr-80, Kr-82, Kr-83, Kr-84, Kr-86, Rb-85, Rb-87, Sr-84, Sr-86, Sr-87, Sr-88, Y-89, Zr-90, Zr-91, Zr-92, Zr-94, Zr-96, Nb-93, Mo-92, Mo-94, Mo-95, Mo-96, Mo-97, Mo-98, Xe-132, Xe-134, Cs-133, Ba-134, Ba-135, Ba-136, Ba-137, Ba-138, La-138, La-139, Ce-140, Pr-141, Nd-142, Nd-143, Nd-144, Hg-202, Hg-204, Tl-203, Tl-205, Pb-204, Pb-206, Pb-207, Pb-208, Bi-209
H Table: (M=13.0,Z=0.01345)
H Lifetime: 1.732e+07
H Mfinal: 1.533e+00
&Isotopes &Yields     &X0         &Z &A
&Ti-49    &1.069e-05  &0.000e+00  &22 &49
&Ti-50    &7.263e-06  &0.000e+00  &22 &50
&V-50     &2.177e-07  &0.000e+00  &23 &50
&V-51     &2.111e-05  &0.000e+00  &23 &51
&Cr-50    &8.956e-05  &0.000e+00  &24 &50
&Cr-52    &1.052e-03  &0.000e+00  &24 &52
&Cr-53    &1.347e-04  &0.000e+00  &24 &53
&Cr-54    &1.816e-05  &0.000e+00  &24 &54
&Mn-55    &7.820e-04  &0.000e+00  &25 &55
&Fe-54    &6.804e-03  &0.000e+00  &26 &54
&Fe-56    &9.003e-02  &0.000e+00  &26 &56
&Fe-57    &3.339e-03  &0.000e+00  &26 &57
&Fe-58    &6.656e-04  &0.000e+00  &26 &58
&Co-59    &5.529e-04  &0.000e+00  &27 &59
&Ni-58    &5.823e-03  &0.000e+00  &28 &58
&Ni-60    &1.810e-03  &0.000e+00  &28 &60
&Ni-61    &1.704e-04  &0.000e+00  &28 &61
&Ni-62    &9.065e-04  &0.000e+00  &28 &62
&Ni-64    &9.306e-05  &0.000e+00  &28 &64
&Cu-63    &9.307e-05  &0.000e+00  &29 &63
&Cu-65    &5.127e-05  &0.000e+00  &29 &65
&Zn-64    &3.676e-05  &0.000e+00  &30 &64
&Zn-66    &6.140e-05  &0.000e+00  &30 &66
&Zn-67    &9.894e-06  &0.000e+00  &30 &67
&Zn-68    &4.030e-05  &0.000e+00  &30 &68
&Zn-70    &7.026e-07  &0.000e+00  &30 &70
&Ga-69    &6.247e-06  &0.000e+00  &31 &69
&Ga-71    &4.797e-06  &0.000e+00  &31 &71
&Ge-70    &7.570e-06  &0.000e+00  &32 &70
&Ge-72    &7.336e-06  &0.000e+00  &32 &72
&Ge-73    &2.025e-06  &0.000e+00  &32 &73
&Ge-74    &7.638e-06  &0.000e+00  &32 &74
