&Cr-52    &1.539e-05  &0.000e+00  &24 &52
&Cr-53    &1.778e-06  &0.000e+00  &24 &53
&Cr-54    &4.509e-07  &0.000e+00  &24 &54
&Mn-55    &1.344e-05  &0.000e+00  &25 &55
&Fe-54    &7.364e-05  &0.000e+00  &26 &54
&Fe-56    &1.199e-03  &0.000e+00  &26 &56
&Fe-57    &2.818e-05  &0.000e+00  &26 &57
&Fe-58    &3.816e-06  &0.000e+00  &26 &58
&Co-59    &3.538e-06  &0.000e+00  &27 &59
&Ni-58    &5.063e-05  &0.000e+00  &28 &58
&Ni-60    &2.017e-05  &0.000e+00  &28 &60
&Ni-61    &8.915e-07  &0.000e+00  &28 &61
&Ni-62    &2.889e-06  &0.000e+00  &28 &62
&Ni-64    &7.595e-07  &0.000e+00  &28 &64
&Cu-63    &6.127e-07  &0.000e+00  &29 &63
&Cu-65    &2.817e-07  &0.000e+00  &29 &65
&Zn-64    &1.050e-06  &0.000e+00  &30 &64
&Zn-66    &6.210e-07  &0.000e+00  &30 &66
&Zn-67    &9.264e-08  &0.000e+00  &30 &67
&Zn-68    &4.300e-07  &0.000e+00  &30 &68
&Zn-70    &1.464e-08  &0.000e+00  &30 &70
&Ga-69    &4.034e-08  &0.000e+00  &31 &69
&Ga-71    &2.755e-08  &0.000e+00  &31 &71
&Ge-70    &4.787e-08  &0.000e+00  &32 &70
&Ge-72    &6.415e-08  &0.000e+00  &32 &72
&Ge-73    &1.815e-08  &0.000e+00  &32 &73
&Ge-74    &8.567e-08  &0.000e+00  &32 &74
&Ge-76    &1.822e-08  &0.000e+00  &32 &76
&As-75    &1.211e-08  &0.000e+00  &33 &75
&Se-76    &1.277e-08  &0.000e+00  &34 &76
&Se-77    &1.054e-08  &0.000e+00  &34 &77
&Se-78    &3.324e-08  &0.000e+00  &34 &78
&Se-80    &7.200e-08  &0.000e+00  &34 &80
&Se-82    &1.221e-08  &0.000e+00  &34 &82
&Br-79    &1.219e-08  &0.000e+00  &35 &79
&Br-81    &1.216e-08  &0.000e+00  &35 &81
&Kr-80    &2.744e-09  &0.000e+00  &36 &80
&Kr-82    &1.406e-08  &0.000e+00  &36 &82
&Kr-83    &1.411e-08  &0.000e+00  &36 &83
&Kr-84    &7.037e-08  &0.000e+00  &36 &84
&Kr-86    &2.179e-08  &0.000e+00  &36 &86
&Rb-85    &1.086e-08  &0.000e+00  &37 &85
&Rb-87    &4.286e-09  &0.000e+00  &37 &87
&Sr-86    &5.302e-09  &0.000e+00  &38 &86
&Sr-87    &4.031e-09  &0.000e+00  &38 &87
&Sr-88    &4.546e-08  &0.000e+00  &38 &88
&Y-89     &1.090e-08  &0.000e+00  &39 &89
&Zr-90    &1.424e-08  &0.000e+00  &40 &90
&Zr-91    &3.141e-09  &0.000e+00  &40 &91
&Zr-92    &4.852e-09  &0.000e+00  &40 &92
&Zr-94    &5.026e-09  &0.000e+00  &40 &94
