H AGB yields: Lugaro et al. (2012), Karakas et al. (2016, 2018)
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
&Ca-40    &4.621e-05  &0.000e+00  &20 &40
&Ca-42    &3.239e-07  &0.000e+00  &20 &42
&Ca-43    &6.919e-08  &0.000e+00  &20 &43
&Ca-44    &1.094e-06  &0.000e+00  &20 &44
&Ca-46    &2.193e-09  &0.000e+00  &20 &46
&Ca-48    &1.070e-07  &0.000e+00  &20 &48
&Sc-45    &3.086e-08  &0.000e+00  &21 &45
&Ti-46    &1.885e-07  &0.000e+00  &22 &46
&Ti-47    &1.737e-07  &0.000e+00  &22 &47
&Ti-48    &1.758e-06  &0.000e+00  &22 &48
&Ti-49    &1.317e-07  &0.000e+00  &22 &49
&Ti-50    &1.287e-07  &0.000e+00  &22 &50
&V-51     &2.836e-07  &0.000e+00  &23 &51
&Cr-52    &1.163e-05  &0.000e+00  &24 &52
&Cr-53    &1.344e-06  &0.000e+00  &24 &53
&Cr-54    &3.407e-07  &0.000e+00  &24 &54
&Mn-55    &1.015e-05  &0.000e+00  &25 &55
&Fe-54    &6.689e-05  &0.000e+00  &26 &54
&Fe-56    &1.089e-03  &0.000e+00  &26 &56
&Fe-57    &2.560e-05  &0.000e+00  &26 &57
&Fe-58    &3.466e-06  &0.000e+00  &26 &58
H Table: (M=1.15,Z=0.03)
H Lifetime: 1.027e+10
H Mfinal: 5.957e-01
&Isotopes &Yields     &X0         &Z &A
&H-1      &3.601e-01  &0.000e+00  &1  &1
&H-2      &2.482e-07  &0.000e+00  &1  &2
&He-3     &4.044e-04  &0.000e+00  &2  &3
&He-4     &1.780e-01  &0.000e+00  &2  &4
&Li-7     &5.316e-11  &0.000e+00  &3  &7
&C-12     &2.211e-03  &0.000e+00  &6  &12
&C-13     &9.341e-05  &0.000e+00  &6  &13
&N-14     &1.416e-03  &0.000e+00  &7  &14
&N-15     &1.330e-06  &0.000e+00  &7  &15
&O-16     &6.799e-03  &0.000e+00  &8  &16
&O-17     &3.855e-06  &0.000e+00  &8  &17
&O-18     &1.345e-05  &0.000e+00  &8  &18
&F-19     &4.358e-07  &0.000e+00  &9  &19
&Ne-20    &1.377e-03  &0.000e+00  &10 &20
&Ne-21    &3.470e-06  &0.000e+00  &10 &21
&Ne-22    &1.110e-04  &0.000e+00  &10 &22
&Na-23    &3.772e-05  &0.000e+00  &11 &23
&Mg-24    &6.569e-04  &0.000e+00  &12 &24
&Mg-25    &8.661e-05  &0.000e+00  &12 &25
&Mg-26    &9.920e-05  &0.000e+00  &12 &26
&Al-27    &6.325e-05  &0.000e+00  &13 &27
&Si-28    &7.273e-04  &0.000e+00  &14 &28
&Si-29    &3.825e-05  &0.000e+00  &14 &29
&Si-30    &2.609e-05  &0.000e+00  &14 &30
&P-31     &7.262e-06  &0.000e+00  &15 &31
&S-32     &3.485e-04  &0.000e+00  &16 &32
&S-33     &2.878e-06  &0.000e+00  &16 &33
&S-34     &1.674e-05  &0.000e+00  &16 &34
&S-36     &8.261e-08  &0.000e+00  &16 &36
&Cl-35    &3.575e-06  &0.000e+00  &17 &35
&Cl-37    &1.208e-06  &0.000e+00  &17 &37
&Ar-36    &6.658e-05  &0.000e+00  &18 &36
&Ar-38    &1.278e-05  &0.000e+00  &18 &38
&Ar-40    &2.157e-08  &0.000e+00  &18 &40
&K-39     &3.466e-06  &0.000e+00  &19 &39
&K-40     &1.548e-12  &0.000e+00  &19 &40
&K-41     &2.630e-07  &0.000e+00  &19 &41
&Ca-40    &6.002e-05  &0.000e+00  &20 &40
&Ca-42    &4.206e-07  &0.000e+00  &20 &42
&Ca-43    &8.985e-08  &0.000e+00  &20 &43
&Ca-44    &1.421e-06  &0.000e+00  &20 &44
&Ca-46    &2.848e-09  &0.000e+00  &20 &46
&Ca-48    &1.389e-07  &0.000e+00  &20 &48
&Sc-45    &4.008e-08  &0.000e+00  &21 &45
&Ti-46    &2.449e-07  &0.000e+00  &22 &46
&Ti-47    &2.256e-07  &0.000e+00  &22 &47
&Ti-48    &2.283e-06  &0.000e+00  &22 &48
&Ti-49    &1.710e-07  &0.000e+00  &22 &49
&Ti-50    &1.671e-07  &0.000e+00  &22 &50
&V-51     &3.683e-07  &0.000e+00  &23 &51
&Cr-52    &1.510e-05  &0.000e+00  &24 &52
&Cr-53    &1.745e-06  &0.000e+00  &24 &53
&Cr-54    &4.425e-07  &0.000e+00  &24 &54
&Mn-55    &1.318e-05  &0.000e+00  &25 &55
&Fe-54    &8.687e-05  &0.000e+00  &26 &54
&Fe-56    &1.414e-03  &0.000e+00  &26 &56
&Fe-57    &3.324e-05  &0.000e+00  &26 &57
&Fe-58    &4.502e-06  &0.000e+00  &26 &58
H Table: (M=1.25,Z=0.03)
H Lifetime: 7.004e+09
H Mfinal: 5.902e-01
&Isotopes &Yields     &X0         &Z &A
&H-1      &4.283e-01  &0.000e+00  &1  &1
&H-2      &4.438e-07  &0.000e+00  &1  &2
&He-3     &4.643e-04  &0.000e+00  &2  &3
&He-4     &2.121e-01  &0.000e+00  &2  &4
&Li-7     &9.762e-11  &0.000e+00  &3  &7
&C-12     &2.514e-03  &0.000e+00  &6  &12
&C-13     &1.117e-04  &0.000e+00  &6  &13
&N-14     &1.833e-03  &0.000e+00  &7  &14
&N-15     &1.496e-06  &0.000e+00  &7  &15
&O-16     &8.096e-03  &0.000e+00  &8  &16
&O-17     &4.693e-06  &0.000e+00  &8  &17
&O-18     &1.540e-05  &0.000e+00  &8  &18
&F-19     &5.197e-07  &0.000e+00  &9  &19
&Ne-20    &1.639e-03  &0.000e+00  &10 &20
&Ne-21    &4.127e-06  &0.000e+00  &10 &21
&Ne-22    &1.321e-04  &0.000e+00  &10 &22
&Na-23    &4.484e-05  &0.000e+00  &11 &23
&Mg-24    &7.819e-04  &0.000e+00  &12 &24
&Mg-25    &1.031e-04  &0.000e+00  &12 &25
&Mg-26    &1.181e-04  &0.000e+00  &12 &26
&Al-27    &7.529e-05  &0.000e+00  &13 &27
&Si-28    &8.657e-04  &0.000e+00  &14 &28
&Si-29    &4.553e-05  &0.000e+00  &14 &29
&Si-30    &3.105e-05  &0.000e+00  &14 &30
&P-31     &8.644e-06  &0.000e+00  &15 &31
&S-32     &4.149e-04  &0.000e+00  &16 &32
&S-33     &3.425e-06  &0.000e+00  &16 &33
&S-34     &1.992e-05  &0.000e+00  &16 &34
&S-36     &9.833e-08  &0.000e+00  &16 &36
