H Neutrino-driven wind yields, from ndw_wind_expand.001.txt 
&Isotopes  &Z=0.02
&Sm-152   &4.49265E-18
&Sm-154   &1.30543E-17
&Eu-151   &9.48507E-18
&Eu-153   &6.81407E-18
&Gd-152   &0.00000E+00
&Gd-154   &5.85243E-22
&Gd-155   &2.91232E-18
&Gd-156   &8.54028E-18
&Gd-157   &2.09868E-17
&Gd-158   &9.67417E-17
&Gd-160   &5.36134E-15
&Tb-159   &5.42604E-17
&Dy-156   &0.00000E+00
&Dy-158   &9.61840E-24
&Dy-160   &1.22344E-22
&Dy-161   &1.49580E-15
&Dy-162   &5.61091E-15
&Dy-163   &1.05420E-14
&Dy-164   &5.64758E-14
&Ho-165   &5.14010E-15
&Er-162   &1.57385E-26
&Er-164   &5.43042E-23
&Er-166   &1.09403E-14
&Er-167   &1.47471E-14
&Er-168   &4.81810E-15
&Er-170   &2.72217E-14
&Tm-169   &2.17236E-15
&Yb-168   &3.84628E-25
&Yb-170   &6.01363E-23
&Yb-171   &4.13032E-15
&Yb-172   &8.86119E-15
&Yb-173   &9.79696E-15
&Yb-174   &8.52786E-15
&Yb-176   &3.99368E-14
&Lu-175   &4.35268E-15
&Lu-176   &0.00000E+00
&Hf-174   &0.00000E+00
&Hf-176   &0.00000E+00
&Hf-177   &6.90882E-15
&Hf-178   &6.13822E-15
&Hf-179   &7.37756E-15
&Hf-180   &5.49731E-15
&Ta-180   &0.00000E+00
&Ta-181   &3.80191E-15
&W-180    &0.00000E+00
&W-182    &2.93481E-14
&W-183    &3.29444E-15
&W-184    &1.83147E-15
&W-186    &1.29830E-14
&Re-185   &9.18841E-16
&Re-187   &1.94005E-15
&Os-184   &0.00000E+00
&Os-186   &5.35849E-28
&Os-187   &0.00000E+00
&Os-188   &3.68273E-15
&Os-189   &5.66323E-16
&Os-190   &3.92031E-15
&Os-192   &3.42153E-16
&Ir-191   &5.06186E-16
&Ir-193   &9.85063E-17
&Pt-190   &0.00000E+00
&Pt-192   &0.00000E+00
&Pt-194   &1.38139E-16
&Pt-195   &4.73827E-16
&Pt-196   &2.41300E-16
&Pt-198   &2.08344E-16
&Au-197   &1.50439E-16
&Hg-196   &0.00000E+00
&Hg-198   &5.64548E-28
&Hg-199   &9.85775E-16
&Hg-200   &2.76570E-15
&Hg-201   &2.79717E-15
&Hg-202   &1.01688E-13
&Hg-204   &6.70180E-13
&Tl-203   &1.20503E-13
&Tl-205   &2.14781E-13
&Pb-204   &0.00000E+00
&Pb-206   &1.03197E-12
&Pb-207   &2.63361E-13
&Pb-208   &1.00846E-12
&Bi-209   &4.66084E-13
&Th-232   &9.51352E-21
&U-235    &1.14173E-20
&U-238    &8.21655E-20
