H Mass fractions of material from MHD Jets
H prompt explosion, Nishimura et al. 2015
H Metallicity header is dummy argument
&Isotopes &Z=0.02
&Ba-134   &8.5866131048E-17
&Ba-135   &5.0027427937E-04
&Ba-136   &1.2376711853E-15
&Ba-137   &8.9251607680E-05
&Ba-138   &2.2293390169E-04
&La-138   &2.9989485962E-18
&La-139   &5.2646360764E-05
&Ce-136   &6.4031404784E-15
&Ce-138   &3.1744291182E-16
&Ce-140   &9.3980815263E-05
&Ce-142   &4.8320011975E-05
&Pr-141   &6.0957515035E-05
&Nd-142   &6.5382048757E-14
&Nd-143   &5.6196948386E-05
&Nd-144   &7.7719787202E-05
&Nd-145   &6.4072081400E-05
&Nd-146   &1.3910600972E-04
&Nd-148   &8.7265667110E-05
&Nd-150   &1.9083644531E-04
&Sm-144   &4.8479812965E-14
&Sm-147   &1.4906476729E-04
&Sm-148   &1.4875518418E-18
&Sm-149   &3.6243164926E-04
&Sm-150   &1.9237534387E-18
&Sm-152   &1.9294040818E-04
&Sm-154   &2.0687665746E-04
&Eu-151   &1.6729109705E-04
&Eu-153   &2.0805587856E-04
&Gd-152   &6.9811792292E-17
&Gd-154   &5.3885093949E-18
&Gd-155   &3.1586293590E-04
&Gd-156   &3.0681990312E-04
&Gd-157   &6.3318361750E-04
&Gd-158   &6.7517370690E-04
&Gd-160   &5.6060591554E-04
&Tb-159   &8.1694974569E-04
&Dy-156   &2.1452205777E-15
&Dy-158   &5.0900372150E-17
&Dy-160   &5.6538191125E-16
&Dy-161   &6.2489700946E-04
&Dy-162   &5.9566995957E-04
&Dy-163   &5.9544152931E-04
&Dy-164   &5.7651187482E-04
&Ho-165   &4.1186776344E-04
&Er-162   &2.6870912048E-15
&Er-164   &1.4958374480E-16
&Er-166   &2.6976611135E-04
&Er-167   &3.4344989664E-04
&Er-168   &3.2490897434E-04
&Er-170   &1.8343149791E-04
&Tm-169   &2.9925064623E-04
&Yb-168   &1.1935480783E-15
&Yb-170   &5.9937694176E-16
&Yb-171   &2.6860692800E-04
&Yb-172   &2.2385663969E-04
&Yb-173   &2.0427275294E-04
&Yb-174   &1.6911653531E-04
&Yb-176   &1.3557335587E-04
&Lu-175   &1.8901601649E-04
&Lu-176   &1.5807473780E-17
&Hf-174   &2.1703479056E-16
&Hf-176   &6.2657216466E-17
&Hf-177   &1.9189443807E-04
&Hf-178   &1.3446627065E-04
&Hf-179   &1.4327185620E-04
&Hf-180   &9.3898560334E-05
&Ta-180   &1.2424101111E-18
&Ta-181   &1.1700037319E-04
&W-180    &6.4506098883E-16
&W-182    &1.7053019798E-04
&W-183    &1.3422080832E-04
&W-184    &1.1487737447E-04
&W-186    &2.6663321045E-04
&Re-185   &1.5743653573E-04
&Re-187   &4.5362641693E-04
&Os-184   &3.0093281463E-16
&Os-186   &1.1210415103E-16
&Os-187   &3.4559593877E-18
&Os-188   &4.2079457732E-04
&Os-189   &8.2407516660E-04
&Os-190   &2.2455896253E-03
&Os-192   &4.4749486800E-03
&Ir-191   &4.5034223108E-03
&Ir-193   &5.1044142945E-03
&Pt-190   &1.5295208916E-16
&Pt-192   &1.5161156425E-16
&Pt-194   &2.5565653561E-03
&Pt-195   &1.3036354306E-03
&Pt-196   &2.1801463613E-04
&Pt-198   &8.8317047412E-05
&Au-197   &8.6480888961E-05
&Hg-196   &5.8604983982E-14
&Hg-198   &6.3453516317E-15
&Hg-199   &6.4831712184E-05
&Hg-200   &2.1921389496E-05
&Hg-201   &1.6996413178E-05
&Hg-202   &1.8350864321E-05
&Hg-204   &2.5182231375E-05
&Tl-203   &9.2269491942E-06
&Tl-205   &1.5544378233E-05
&Pb-204   &7.3375103880E-13
&Pb-206   &3.2783448462E-05
&Pb-207   &3.8658013354E-05
&Pb-208   &5.7963175119E-05
&Bi-209   &4.9514862507E-05
&Th-232   &5.2652372086E-05
&U-235    &8.4603552950E-05
&U-238    &2.6749082579E-05
