&Eu-153   &1.69388E-03
&Gd-152   &0.00000E+00
&Gd-154   &0.00000E+00
&Gd-155   &2.05149E-03
&Gd-156   &4.09945E-03
&Gd-157   &1.56256E-03
&Gd-158   &1.36336E-03
&Gd-160   &1.61065E-03
&Tb-159   &1.30180E-03
&Dy-156   &0.00000E+00
&Dy-158   &0.00000E+00
&Dy-160   &0.00000E+00
&Dy-161   &1.44737E-03
&Dy-162   &1.91684E-03
&Dy-163   &1.09332E-03
&Dy-164   &1.87075E-03
&Ho-165   &3.09094E-04
&Er-162   &0.00000E+00
&Er-164   &0.00000E+00
&Er-166   &4.98698E-04
&Er-167   &6.13660E-04
&Er-168   &8.83385E-04
&Er-170   &2.11349E-03
&Tm-169   &9.25519E-04
&Yb-168   &0.00000E+00
&Yb-170   &0.00000E+00
&Yb-171   &1.20659E-03
&Yb-172   &1.66429E-03
&Yb-173   &1.31683E-03
&Yb-174   &9.23135E-04
&Yb-176   &1.39031E-03
&Lu-175   &9.06845E-04
&Lu-176   &0.00000E+00
&Hf-174   &0.00000E+00
&Hf-176   &0.00000E+00
&Hf-177   &6.70509E-04
&Hf-178   &7.88386E-04
&Hf-179   &2.94028E-04
&Hf-180   &3.70439E-04
&Ta-180   &0.00000E+00
&Ta-181   &5.48439E-04
&W-180    &0.00000E+00
&W-182    &5.34170E-04
&W-183    &1.38435E-03
&W-184    &1.06098E-03
&W-186    &3.06036E-03
&Re-185   &3.31657E-03
&Re-187   &4.90786E-03
&Os-184   &0.00000E+00
&Os-186   &0.00000E+00
&Os-187   &0.00000E+00
&Os-188   &4.58903E-03
&Os-189   &6.37276E-03
&Os-190   &6.40058E-03
&Os-192   &6.34539E-03
&Ir-191   &5.40427E-03
&Ir-193   &1.26010E-03
&Pt-190   &0.00000E+00
&Pt-192   &0.00000E+00
&Pt-194   &1.18495E-03
&Pt-195   &1.94058E-03
&Pt-196   &1.10389E-03
&Pt-198   &9.68917E-05
&Au-197   &2.15381E-04
&Hg-196   &0.00000E+00
&Hg-198   &0.00000E+00
&Hg-199   &1.54746E-05
&Hg-200   &1.33611E-05
&Hg-201   &7.89161E-06
