[Star/Star] [Fe/H] [FeI/H] [C/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Y/Fe] [Ba/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
109067 -0.79 -0.79  0.48  0.68  0.07  0.28  0.24  0.24  0.13  0.21  0.15  0.11 -0.16 -0.40  0.06 -0.05 -0.22  0.10  0.13 -0.10    0.04    0.01   -30.0
111549 -0.95 -0.95 -30.0  0.40 -0.42 -30.0 -30.0  0.03  0.17 -0.30  0.12 -30.0 -0.04 -0.34 -0.06 -0.07 -0.40 -0.03 -0.29 -0.24   -30.0   -0.01    0.27
115704 -1.78 -1.78 -30.0  0.67 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0   -30.0   -30.0   -30.0
  5163 -0.74 -0.74  0.44  0.68  0.12  0.27  0.31  0.23  0.13  0.18  0.17  0.06 -30.0 -0.25  0.10  0.06  0.07  0.06  0.03 -0.09    0.25   -30.0    0.38
  8720 -0.74 -0.74 -30.0  0.82  0.08  0.40  0.28  0.28  0.13  0.24  0.16  0.20 -0.03 -0.19  0.25  0.07 -0.01  0.13  0.02 -0.20    0.17    0.15    0.45
 10711 -0.69 -0.69  0.40  0.71 -30.0  0.25  0.23  0.22  0.09  0.08  0.11  0.02 -0.11 -0.42  0.11 -0.06 -0.13  0.11  0.02 -0.13    0.13   -30.0    0.27
 12381 -0.16 -0.16  0.08  0.30  0.02  0.17  0.12  0.01  0.04 -0.01 -0.02  0.02 -0.06 -0.25 -30.0 -0.09 -0.01 -0.07  0.12 -0.02   -0.27   -30.0    0.14
 15126 -0.82 -0.82 -30.0  0.64  0.01  0.28  0.16  0.25  0.12  0.14  0.15  0.06 -0.04 -0.40  0.11 -0.03 -0.14  0.13 -0.05 -0.07   -30.0   -30.0    0.49
 15394 -0.27 -0.27  0.09  0.19  0.04  0.26  0.17  0.13  0.04  0.06 -0.02 -0.01 -30.0 -0.09  0.02  0.01 -0.02  0.12 -0.08 -0.15    0.02    0.09    0.09
 16738  0.37  0.37 -0.01  0.18  0.31  0.32  0.14  0.12 -0.08 -0.08 -0.17 -0.07 -0.01  0.01  0.03  0.06  0.22  0.18 -0.08  0.12   -30.0   -30.0   -30.0
 21227 -0.45 -0.45  0.45  0.52  0.06  0.12  0.18  0.13 -0.01  0.16  0.04 -0.05 -0.12 -0.26 -30.0 -0.02 -0.04  0.03  0.02 -0.08    0.08    0.49    0.37
 21306 -0.65 -0.65  0.59  0.79  0.09  0.23  0.25  0.28  0.12  0.22  0.14 -0.02 -0.05 -0.33  0.08  0.02 -0.05  0.17  0.07 -0.10    0.24    0.24    0.29
 21703  0.15  0.15 -0.01  0.17 -0.14 -0.06 -0.06  0.06 -0.14  0.08 -0.07 -0.06 -0.08 -0.09 -0.01  0.01 -0.01 -0.01  0.13 -0.04    0.14    0.15    0.14
 21921 -0.41 -0.41  0.32  0.65  0.12  0.21  0.25  0.26  0.11  0.27  0.15  0.17 -0.01 -0.20  0.12  0.03  0.02  0.11  0.06 -0.13    0.12    0.39    0.47
 24037 -0.49 -0.49  0.28  0.48  0.07 -30.0  0.19  0.19  0.08  0.15  0.17  0.11 -0.01 -0.19  0.13  0.04  0.15  0.14  0.05 -0.07    0.06    0.33    0.38
 30990 -0.87 -0.87 -30.0  0.87  0.14  0.34  0.30  0.26  0.16  0.18  0.17 -0.01 -0.07 -0.48  0.14 -0.01 -0.15  0.12 -0.10 -0.21    0.04   -30.0    0.29
 33382 -0.05 -0.05  0.07 -0.01 -0.08  0.07  0.01  0.06 -0.05  0.03 -0.08 -0.04 -0.05 -0.12 -0.01 -0.03  0.01 -0.08 -0.04 -0.04    0.04    0.13    0.08
 34511 -0.15 -0.15  0.19  0.17 -0.03  0.04  0.01  0.05 -0.02  0.08 -0.08 -0.04 -0.03 -0.09 -0.06 -0.05 -0.01 -0.03  0.11  0.11    0.09    0.25    0.11
 35148 -0.30 -0.30  0.22  0.36  0.02  0.17  0.12  0.06 -30.0 -30.0 -0.05 -0.03 -0.06 -0.17 -0.04 -0.07 -0.06 -0.07 -0.16 -0.15   -0.12    0.05    0.08
 40023 -0.12 -0.12  0.01  0.08  0.03  0.03  0.13  0.04  0.05 -0.12  0.08  0.07  0.04 -0.04  0.02 -0.03  0.08 -0.10 -0.18 -0.04   -0.07   -0.01   -0.05
 42734 -0.70 -0.70  0.42  0.68  0.19  0.31  0.32  0.24  0.21  0.08  0.22  0.26  0.05 -0.23  0.12  0.01  0.01  0.11 -0.14 -0.13   -0.01    0.02    0.34
 47588 -0.47 -0.47  0.34  0.53  0.23  0.28  0.29  0.20  0.10  0.22  0.16  0.23 -0.03 -0.22  0.19  0.02  0.08  0.10 -0.05 -0.19   -0.20    0.07    0.26
 52015 -0.02 -0.02  0.13  0.26  0.09  0.05  0.16  0.11 -0.01  0.02 -0.05 -0.01 -30.0 -0.04  0.04 -0.01  0.05  0.02 -0.08 -0.10   -0.02    0.06   -0.03
 53535  0.11  0.11  0.25  0.35  0.11 -0.06  0.15  0.17 -0.03  0.04 -0.11 -0.05 -30.0 -0.08  0.07  0.01  0.10  0.02 -0.13 -0.11   -0.06    0.20   -0.16
 54196 -0.39 -0.39  0.11  0.24  0.01  0.16  0.06  0.04  0.04 -0.05  0.02  0.03 -0.04 -0.21  0.04 -0.04 -30.0  0.03 -0.10 -0.14   -0.13   -0.03    0.17
 62077 -0.59 -0.59  0.53  0.76  0.13  0.31  0.27  0.23  0.11  0.25  0.21  0.10 -0.02 -0.22  0.17  0.02  0.10  0.09 -0.03  0.01    0.05   -30.0    0.36
 64103 -0.21 -0.21  0.16  0.19 -0.09  0.13  0.04  0.04 -0.03  0.02 -0.02  0.02 -0.06 -0.13 -0.06 -0.05 -0.03  0.01 -0.05 -0.02    0.11    0.14    0.17
 74442 -0.23 -0.23  0.52  0.41 -0.01  0.16  0.10  0.09  0.04  0.03 -0.08 -0.09 -0.06 -0.13 -0.05 -0.02 -0.02  0.05 -0.02 -0.14    0.08   -30.0    0.07
 74443 -0.59 -0.59  0.62  0.63  0.13  0.12  0.26  0.25  0.14  0.21  0.26  0.25  0.01 -0.08  0.20  0.06 -30.0  0.13 -0.06 -0.22   -0.03    0.07    0.44
 80162 -0.66 -0.66  0.75  0.73  0.10  0.06  0.34  0.31  0.11  0.26  0.25  0.22 -0.02 -0.17  0.12  0.08  0.05  0.16 -0.01 -0.20    0.15    0.15    0.41
 82265  0.09  0.09  0.05  0.08 -0.06  0.17  0.06  0.05 -0.02  0.11  0.02  0.03 -0.03 -0.04  0.04  0.01  0.04 -0.03  0.01 -0.04    0.14    0.14    0.22
 85653 -0.43 -0.43  0.35  0.45  0.06 -30.0  0.23  0.19  0.13  0.11  0.21  0.19 -30.0 -0.22  0.13  0.05  0.11  0.12  0.37  0.17    0.10    0.39    0.41
 89583 -0.20 -0.20  0.05  0.22 -30.0  0.27  0.16  0.13  0.04  0.26  0.11  0.06 -0.05 -0.15  0.10  0.03  0.11  0.03  0.03 -0.04    0.06    0.19    0.40
 90745 -0.50 -0.50  0.42  0.64  0.12  0.36  0.25  0.20  0.10  0.07  0.09  0.04 -0.01 -0.20  0.06  0.02  0.04  0.06 -0.02 -0.11   -0.04    0.07    0.22
 94615  0.20  0.20 -0.01 -0.06 -0.16 -0.01 -0.05 -0.02 -0.06  0.11 -0.02  0.06  0.01 -0.07  1.30 -0.02  0.06 -0.02  0.07  0.12    0.23    0.19    0.06
 99938 -0.54 -0.54  0.36  0.72  0.05  0.30  0.15  0.16  0.09  0.34  0.17  0.06 -0.10 -0.26  0.03 -30.0 -0.03  0.06  0.02 -0.08    0.05    0.21    0.37
102081  0.09  0.09  0.12  0.20 -0.04  0.20  0.05  0.05 -0.03 -30.0 -0.11 -0.09 -0.06 -0.09 -30.0 -0.03 -0.03  0.04  0.04 -0.02   -30.0   -0.04   -0.01
107236 -0.50 -0.50  0.43  0.60  0.10  0.29  0.21  0.22  0.06  0.19  0.09  0.05 -0.04 -0.18  0.17  0.07  0.05  0.10  0.07 -0.15    0.11    0.15    0.42
115721 -0.46 -0.46  0.45  0.53  0.11  0.26  0.19  0.16  0.12  0.16  0.08  0.07 -0.01 -0.29  0.04 -0.01  0.11  0.17 -0.02 -0.02    0.07    0.05    0.30
  7452 -1.53 -1.53 -30.0  0.78 -30.0  0.18  0.65  0.77  0.20  0.24  0.28 -30.0  0.38 -30.0 -30.0 -30.0 -30.0  0.02  0.23 -0.01    0.12   -30.0   -30.0
 14594 -1.88 -1.88 -30.0  0.58 -30.0 -30.0 -30.0  0.64  0.28 -30.0  0.50 -30.0 -30.0 -30.0  0.91  0.44 -30.0  0.33 -30.0 -0.16   -30.0   -30.0   -30.0
 20298 -0.84 -0.84  0.67  0.93  0.08  0.42  0.41  0.38  0.28  0.20  0.23 -30.0 -0.04 -0.43  0.07 -0.07  0.05  0.20  0.34 -0.02    0.16    0.28    0.29
 23922 -0.66 -0.66 -30.0  0.63  0.05  0.29  0.12  0.18  0.13  0.19  0.18  0.08 -0.08 -0.31  0.07 -0.02 -0.04  0.17  0.09 -0.11   -0.09    0.11    0.35
 26617 -0.75 -0.75  0.50  0.83  0.04  0.23  0.25  0.25  0.19  0.13  0.13  0.08 -0.05 -0.30  0.18 -30.0 -0.21  0.09  0.12 -0.06    0.21    0.25    0.39
 42864 -1.47 -1.47 -30.0  0.95 -30.0  0.40 -30.0  0.55  0.20 -30.0  0.22  0.34 -0.17 -0.58 -30.0  0.24 -0.16  0.39 -30.0  0.04   -30.0   -30.0   -30.0
 43595 -0.84 -0.84  0.52  0.71  0.05  0.29  0.32  0.17  0.13  0.12  0.24  0.06 -0.04 -0.29  0.14 -0.01 -0.03  0.20  0.07 -0.11    0.26    0.23    0.36
 48209 -0.65 -0.65  0.39  0.66  0.10  0.21  0.24  0.22  0.11  0.22  0.18  0.08 -0.01 -0.18  0.09  0.06  0.06  0.12  0.04 -0.09    0.09    0.10    0.35
 51477 -1.25 -1.25 -30.0  1.40  0.14  0.44  0.42  0.53  0.26  0.08  0.11 -0.02 -30.0 -0.47  0.15  0.01 -0.24  0.22  0.26  0.02    0.11    0.25    0.29
 60331 -0.64 -0.64 -30.0  0.82  0.07  0.22  0.35  0.27  0.05  0.27  0.14  0.10  0.21 -0.35  0.17 -0.06 -30.0  0.28 -0.05 -0.25   -0.08   -30.0    0.58
 62507 -0.24 -0.24  0.16  0.27  0.06  0.15  0.14  0.09  0.03 -0.12 -0.03  0.01 -0.04 -0.13  0.01 -0.03 -0.04  0.12 -0.16 -0.17   -0.20    0.07   -0.05
 71019 -0.39 -0.39  0.41  0.66  0.04  0.23  0.33  0.23  0.12  0.20  0.13  0.07 -30.0 -0.27  0.07  0.03  0.04  0.15 -0.15 -0.10    0.02    0.09    0.21
 85650 -0.39 -0.39  0.34  0.60  0.13  0.25  0.35  0.25  0.17  0.16  0.17  0.11  0.01 -0.18  0.12 -30.0 -30.0  0.19 -0.08 -0.14    0.23    0.24   -30.0
