[Star/Star] [Fe/H] [FeI/H] [C/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Y/Fe] [Ba/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
 29269 -0.68 -0.68  0.27  0.62  0.17  0.36  0.36  0.20  0.24 -0.02  0.23  0.11 -30.0 -0.28  0.05  0.01 -0.03  0.17 -0.14 -0.10   -0.08    0.07    0.29
 31188 -0.59 -0.59  0.15  0.30 -0.03  0.12  0.04  0.03  0.04 -0.01  0.05  0.01 -0.12 -0.15  0.03 -0.06 -0.07 -0.02 -0.06 -0.07   -0.01    0.04    0.17
 34642 -0.44 -0.44  0.18  0.44  0.04  0.10  0.21  0.11  0.04 -0.02  0.06 -0.01 -0.04 -0.27  0.02 -0.02 -0.10 -0.04 -0.16 -30.0   -0.23    0.08    0.15
 35989 -0.19 -0.19  0.04  0.21 -0.14 -0.03 -0.02  0.04 -0.03  0.03  0.04  0.14 -0.04 -0.11 -0.02 -0.03 -0.25 -0.02 -0.33 -0.21    0.18    0.01    0.13
 36849 -0.77 -0.77  0.37  0.58  0.06  0.27  0.18  0.15  0.08  0.10  0.13  0.08 -0.14 -0.40  0.02 -0.04 -0.10  0.10 -0.10 -0.12    0.02   -30.0    0.39
 37233 -0.51 -0.51  0.16  0.42  0.06  0.36  0.31  0.20  0.22  0.14  0.24  0.17 -30.0 -0.27  0.10  0.02 -0.04 -0.03 -0.11 -0.12   -0.12    0.04    0.36
 38769 -0.79 -0.79  0.49  0.68  0.11  0.34  0.40  0.20  0.20  0.08  0.20  0.06 -0.06 -0.54  0.02  0.01 -30.0  0.17 -0.05 -0.12   -30.0   -30.0    0.26
 39893 -0.84 -0.84  0.68  0.78  0.22  0.29  0.33  0.35  0.24  0.23  0.15  0.16 -0.02 -0.25  0.16  0.02 -0.05  0.19 -0.16 -0.14    0.18    0.31    0.53
 40613 -0.62 -0.62  0.36  0.71  0.15  0.39  0.28  0.21  0.15  0.16  0.19  0.03 -0.03 -0.31  0.09 -0.04 -0.04  0.10 -0.05 -0.19   -0.15    0.07    0.24
 43393 -0.59 -0.59 -30.0  0.57  0.07  0.20  0.26  0.25  0.11  0.14  0.25  0.19 -0.01 -0.28  0.09  0.02  0.02  0.10 -0.10 -0.22   -0.02    0.15    0.33
 44075 -0.86 -0.86  0.39  0.64  0.09  0.27  0.24  0.19  0.17  0.12  0.15  0.03 -0.07 -0.35  0.11 -0.06 -0.12  0.10  0.09 -0.06    0.12    0.14    0.35
 44347 -0.85 -0.85  0.44  0.68  0.08  0.43  0.25  0.30  0.25  0.22  0.26  0.11 -0.08 -0.43  0.21  0.05 -0.13  0.19  0.13  0.10    0.13    0.35    0.52
 44860 -0.51 -0.51  0.36  0.58  0.17  0.37  0.32  0.24  0.19  0.11  0.24  0.08 -30.0 -0.20  0.14  0.05  0.09  0.17  0.09 -0.10    0.08    0.08    0.39
 45947 -0.46 -0.46  0.35  0.57  0.11  0.25  0.32  0.24  0.22  0.15  0.33  0.19  0.04 -0.21  0.06  0.03  0.22  0.13  0.06 -0.11   -0.04    0.13    0.57
 50005 -0.53 -0.53 -30.0  0.63  0.08  0.30  0.38  0.29  0.20  0.23  0.20  0.20  0.02 -0.22  0.23  0.03  0.14  0.05  0.09 -0.19   -30.0   -30.0    0.42
 50671 -0.48 -0.48  0.34  0.39  0.13  0.13  0.07  0.09  0.06 -30.0 -0.03  0.01 -0.02 -0.13 -0.02  0.02  0.05  0.09 -0.05  0.03   -0.01    0.02    0.17
 50965 -0.57 -0.57  0.41  0.57  0.06  0.26  0.23  0.19  0.15  0.25  0.33  0.02 -0.04 -0.22  0.13  0.02 -30.0  0.10  0.03 -0.07    0.02   -30.0    0.34
 52673 -0.66 -0.66 -30.0  0.58  0.14  0.27  0.22  0.21  0.18  0.20  0.24  0.09  0.02 -0.20  0.11  0.04  0.02  0.23  0.15 -0.01    0.03    0.19    0.40
 58843 -0.79 -0.79  0.28 -30.0  0.05  0.28  0.22  0.23  0.21  0.05  0.22  0.05 -30.0 -0.33  0.13  0.03 -0.03  0.09  0.18 -30.0    0.08    0.09    0.44
 59233 -0.83 -0.83  0.47  0.60  0.22  0.38  0.42  0.15  0.30 -0.17  0.22  0.28  0.07 -0.08  0.06 -0.01  0.02  0.17 -0.40 -0.25   -0.08    0.05    0.12
 59750 -0.74 -0.74  0.28  0.74  0.15  0.32  0.25  0.25  0.17  0.08  0.17  0.02 -0.09 -0.35  0.09  0.02 -0.08  0.12  0.07 -0.14   -30.0   -30.0    0.32
 60268 -0.72 -0.72  0.39  0.65  0.08  0.28  0.29  0.21  0.19  0.17  0.21  0.09  0.02 -0.26  0.10  0.05  0.08  0.17 -30.0 -0.14    0.07    0.17    0.41
 60956 -0.58 -0.58  0.47  0.56  0.07  0.22  0.23  0.21  0.15  0.19  0.22  0.20 -0.02 -0.18  0.08  0.05  0.04  0.15  0.06 -0.10    0.22    0.29    0.44
 62240 -0.83 -0.83 -30.0  0.87  0.16  0.33  0.34  0.30  0.03  0.03  0.11  0.01  0.03 -0.32  0.19  0.07 -0.11  0.04  0.04 -0.28    0.21    0.22    0.57
 64426 -0.71 -0.71  0.31  0.57  0.06  0.33  0.16  0.14  0.20  0.05  0.14 -0.01 -0.09 -0.36  0.09 -0.04 -0.08  0.04 -0.07 -0.21    0.09    0.21    0.21
 65449 -0.44 -0.44  0.33  0.50  0.08  0.20  0.31  0.17  0.10  0.07  0.15  0.09  0.03 -0.22  0.04 -0.01  0.09  0.04 -0.16 -0.14   -0.27   -30.0    0.29
 70520 -0.62 -0.62  0.23  0.52  0.12  0.28  0.28  0.21  0.20  0.05  0.23  0.11 -30.0 -0.25  0.12  0.01 -0.02  0.09 -0.06 -0.22    0.11    0.07    0.28
