&Eu-153   &2.62628E-04
&Gd-152   &0.00000E+00
&Gd-154   &0.00000E+00
&Gd-155   &2.21893E-04
&Gd-156   &2.62598E-04
&Gd-157   &7.88920E-04
&Gd-158   &1.06224E-03
&Gd-160   &3.38860E-04
&Tb-159   &2.66956E-04
&Dy-156   &0.00000E+00
&Dy-158   &0.00000E+00
&Dy-160   &0.00000E+00
&Dy-161   &1.52196E-04
&Dy-162   &2.86682E-04
&Dy-163   &2.82404E-04
&Dy-164   &3.90936E-04
&Ho-165   &3.66391E-04
&Er-162   &0.00000E+00
&Er-164   &0.00000E+00
&Er-166   &4.73556E-04
&Er-167   &3.50556E-04
&Er-168   &2.94104E-04
&Er-170   &2.37867E-04
&Tm-169   &2.19372E-04
&Yb-168   &0.00000E+00
&Yb-170   &0.00000E+00
&Yb-171   &3.58105E-04
&Yb-172   &4.29695E-04
&Yb-173   &2.49996E-04
&Yb-174   &2.48761E-04
&Yb-176   &1.73093E-04
&Lu-175   &1.65172E-04
&Lu-176   &0.00000E+00
&Hf-174   &0.00000E+00
&Hf-176   &0.00000E+00
&Hf-177   &4.34735E-04
&Hf-178   &4.56555E-04
&Hf-179   &1.07289E-04
&Hf-180   &1.95746E-04
&Ta-180   &0.00000E+00
&Ta-181   &5.64690E-05
&W-180    &0.00000E+00
&W-182    &7.53940E-05
&W-183    &1.23905E-04
&W-184    &9.99002E-05
&W-186    &1.32707E-04
&Re-185   &8.47068E-05
&Re-187   &4.37788E-04
&Os-184   &0.00000E+00
&Os-186   &0.00000E+00
&Os-187   &0.00000E+00
&Os-188   &2.59368E-04
&Os-189   &8.47110E-04
&Os-190   &9.00291E-04
&Os-192   &1.57197E-03
&Ir-191   &1.08673E-03
&Ir-193   &8.61096E-04
&Pt-190   &0.00000E+00
&Pt-192   &0.00000E+00
&Pt-194   &7.44599E-04
&Pt-195   &2.17093E-04
&Pt-196   &6.26607E-05
&Pt-198   &1.95592E-05
&Au-197   &9.59743E-05
&Hg-196   &0.00000E+00
&Hg-198   &0.00000E+00
&Hg-199   &2.99227E-06
&Hg-200   &8.37981E-07
&Hg-201   &1.46620E-06
&Hg-202   &6.48597E-07
&Hg-204   &4.32179E-07
&Tl-203   &5.87366E-07
&Tl-205   &6.87690E-07
&Pb-204   &0.00000E+00
&Pb-206   &5.73701E-07
&Pb-207   &1.07711E-06
&Pb-208   &8.55446E-07
&Bi-209   &8.11103E-07
&Th-232   &1.17449E-07
&U-235    &1.28462E-07
&U-238    &4.99355E-08
