[Fe/H] err [Fe2/H] err [Mg/H] err [Ca/H] err [Ti/H] err [Ti2/H] err [Cr/H] err [Co/H] err [Ni/H] err [Ba/H] err [Na/H] err [Si/H] err [Sc/H] err [Y/H] err [La/H] err [Nd/H] err [Eu/H] err 
-1.78  0.05 -1.39  0.11 -1.98  0.30 -1.78  0.21 -30.0 -30.0 -1.55  0.25 -2.50  0.30 -30.0 -30.0 -1.99  0.30 -1.81  0.30 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.34  0.03 -0.93  0.40 -30.0 -30.0 -1.15  0.13 -30.0 -30.0 -0.25  0.47 -1.35  0.15 -30.0 -30.0 -30.0 -30.0 -1.48  0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.43  0.03 -1.04  0.08 -1.26  0.18 -1.38  0.09 -1.56  0.09 -1.03  0.13 -1.33  0.18 -0.96  0.18 -1.40  0.18 -1.17  0.18 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.86  0.18 -30.0 -30.0 -30.0 -30.0 
-1.18  0.03 -0.89  0.09 -0.95  0.15 -1.21  0.09 -1.97  0.15 -1.09  0.28 -1.24  0.15 -30.0 -30.0 -0.96  0.16 -0.93  0.11 -30.0 -30.0 -30.0 -30.0 -1.13  0.15 -30.0 -30.0 -0.81  0.15 -30.0 -30.0 -30.0 -30.0 
-1.47  0.02 -1.06  0.10 -1.20  0.10 -30.0 -30.0 -30.0 -30.0 -1.26  0.06 -1.76  0.16 -1.24  0.11 -1.21  0.42 -2.10  0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.58  0.03 -1.15  0.08 -1.37  0.18 -1.55  0.07 -1.84  0.08 -1.33  0.12 -2.01  0.18 -1.42  0.18 -1.40  0.14 -1.56  0.18 -30.0 -30.0 -1.04  0.18 -30.0 -30.0 -1.53  0.18 -30.0 -30.0 -30.0 -30.0 -1.17  0.18
-1.72  0.02 -1.06  0.22 -1.45  0.22 -1.72  0.05 -2.05  0.09 -1.38  0.10 -1.84  0.12 -1.80  0.12 -1.66  0.12 -1.31  0.12 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.20  0.12 -30.0 -30.0 
-1.99  0.02 -1.58  0.14 -2.42  0.11 -2.12  0.08 -30.0 -30.0 -1.84  0.06 -30.0 -30.0 -30.0 -30.0 -2.71  0.18 -2.43  0.14 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-2.51  0.07 -2.15  0.20 -2.10  0.28 -2.33  0.21 -30.0 -30.0 -2.29  0.28 -3.09  0.28 -30.0 -30.0 -2.74  0.28 -3.06  0.28 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.51  0.05 -0.89  0.24 -1.42  0.21 -30.0 -30.0 -30.0 -30.0 -0.49  0.47 -1.64  0.21 -30.0 -30.0 -1.33  0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.55  0.04 -1.44  0.10 -1.14  0.17 -30.0 -30.0 -30.0 -30.0 -0.95  0.17 -2.09  0.17 -30.0 -30.0 -1.12  0.27 -1.87  0.12 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-2.04  0.04 -1.82  0.18 -30.0 -30.0 -2.09  0.16 -30.0 -30.0 -1.52  0.16 -2.39  0.16 -30.0 -30.0 -30.0 -30.0 -1.17  0.11 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.24  0.06 -0.98  0.23 -1.22  0.23 -1.28  0.23 -0.77  0.23 -30.0 -30.0 -0.83  0.23 -30.0 -30.0 -1.55  0.23 -0.92  0.23 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.39  0.06 -1.16  0.16 -1.11  0.27 -1.14  0.19 -1.38  0.12 -1.13  0.19 -1.15  0.27 -0.89  0.27 -30.0 -30.0 -0.82  0.27 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.87  0.27 -30.0 -30.0 -30.0 -30.0 
-1.75  0.04 -1.22  0.12 -1.64  0.20 -1.41  0.08 -30.0 -30.0 -1.45  0.20 -1.49  0.20 -30.0 -30.0 -30.0 -30.0 -1.30  0.22 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.60  0.04 -1.18  0.11 -1.30  0.20 -1.46  0.09 -1.68  0.20 -1.79  0.14 -1.79  0.20 -1.62  0.20 -1.61  0.14 -1.43  0.14 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-1.50  0.05 -1.12  0.11 -0.97  0.24 -1.18  0.24 -1.43  0.17 -1.02  0.17 -1.53  0.24 -1.54  0.24 -1.01  0.24 -30.0 -30.0 -1.14  0.24 -0.42  0.24 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
