[Fe/H] err     [FeII/H] err    [C/Fe] err     [N/Fe] err      [O/Fe] err     [Na/Fe] err   [Mg/Fe] err   [Al/Fe] err   [Si/Fe] err     [K/Fe] err      [Ca/Fe] err    [Sc/Fe] err     [Ti/Fe] err     [TiII/Fe] err  [V/Fe] err      [VII/Fe] err      [Cr/Fe] err  [Mn/Fe] err     [Co/Fe] err       [Ni/Fe] err       [Cu/Fe] err    [Zn/Fe] err     [Sr/Fe] err    [Y/Fe] err       [Zr/Fe] err      [Ru/Fe] err     [Ba/Fe] err      [La/Fe] err        [Ce/Fe] err      [Pr/Fe] err     [Nd/Fe] err        [Sm/Fe] err       [Eu/Fe] err      [Gd/Fe] err        [Tb/Fe] err       [Dy/Fe] err         [Ho/Fe] err       [Er/Fe] err      [Yb/Fe] err       [Hf/Fe] err    [Ir/Fe] err [Pb/Fe] err
-3.12  0.15     -2.93  0.16     0.13  0.25     1.55  0.36       1.01  0.18    1.58  0.17    0.56  0.15   -0.39  0.29     0.85  0.29     0.43  0.19      0.48  0.17     0.05  0.14      0.32  0.15      0.21  0.15    19999 -30.0       0.05  0.27      -0.19  0.14   -0.39  0.16      0.16  0.19        0.03  0.18      26666 -30.0   2770.59 -30.0     -0.23  0.22    -0.73  0.20       -0.33  0.20     31111 -30.0     -1.28  0.15     666666  0.00      3220.58 -30.0    3331.01 -30.0    3440.51 -30.0     3551.01 -30.0     990.39  0.00     3661.35 -30.0      3771.71 -30.0     3880.79 -30.0      3991.36 -30.0     4111.00 -30.0    4220.15 -30.0      4331.88 -30.0   44444 -30.0  -8888  0.00 
-2.40  0.20     -2.27  0.14     0.21  0.25  1333333 -30.0       0.42  0.20    0.21  0.33    0.35  0.22   -0.61  0.33    15555 -30.0    16666 -30.0      0.49  0.22     0.18  0.13      0.41  0.20      0.42  0.14    19999 -30.0       0.34  0.25      -0.03  0.20   -0.35  0.22      0.01  0.22        0.07  0.22      26666 -30.0      0.27  0.22      0.34  0.24     -999  0.00        0.56  0.15     31111 -30.0      0.15  0.14     660.69  0.00      3220.90 -30.0    3331.35 -30.0    3440.90 -30.0     3551.43 -30.0     990.68  0.00     3661.61 -30.0      3772.47 -30.0     3880.94 -30.0        39999 -30.0       41111 -30.0      42222 -30.0      4331.93 -30.0   44444 -30.0 882.01  0.00 
-2.96  0.21     -2.65  0.14     0.12  0.25  1332.73 -30.0       0.67  0.21   14444 -30.0    0.47  0.21   -0.79  0.24     0.53  0.36     0.74  0.24      0.61  0.22     0.08  0.16      0.60  0.20      0.33  0.14    19999 -30.0       0.69  0.24      -0.21  0.20   -0.46  0.20      0.10  0.24        0.01  0.25      26666 -30.0   2770.98 -30.0     -0.45  0.21   -70.24  0.00     2990.53 -30.0     31111 -30.0     -0.98  0.15     666666  0.00      3221.19 -30.0    3331.61 -30.0    3441.25 -30.0     3551.81 -30.0     990.94  0.00     3661.89 -30.0      3772.01 -30.0     3881.31 -30.0      3991.62 -30.0     4111.58 -30.0    4220.63 -30.0      4332.42 -30.0   44444 -30.0 882.62  0.00 
-2.98  0.22     -3.04  0.16     0.38  0.25  1331.16 -30.0      51111 -30.0   14444 -30.0    0.41  0.22   -0.72  0.25     0.74  0.36    16666 -30.0      0.43  0.22     0.08  0.16      0.34  0.21      0.18  0.15    19999 -30.0    2220.66 -30.0      -0.29  0.20   -0.53  0.21      0.07  0.24       -0.05  0.26      26666 -30.0   2771.55 -30.0     -0.25  0.15   -70.29  0.00     2990.72 -30.0     31111 -30.0     -0.59  0.14     666666  0.00      3221.37 -30.0    3331.79 -30.0    3441.61 -30.0     3551.85 -30.0     991.17  0.00     3662.07 -30.0      3772.35 -30.0     3881.45 -30.0      3991.86 -30.0     4111.78 -30.0    4220.87 -30.0      4332.72 -30.0   44444 -30.0 882.28  0.00 
-2.84  0.10     -2.83  0.12     0.40  0.25  1330.99 -30.0    5110.42 -30.0   14444 -30.0    0.37  0.11   -0.77  0.16     0.68  0.21    16666 -30.0      0.39  0.13     0.01  0.13      0.39  0.11      0.33  0.11    19999 -30.0       0.43  0.29      -0.15  0.10   -0.63  0.10      0.28  0.15        0.15  0.19      26666 -30.0   2770.71 -30.0     -0.03  0.13   770.52  0.00     2990.71 -30.0     31111 -30.0     -0.33  0.13     666666  0.00      3221.48 -30.0    3331.87 -30.0    3441.66 -30.0     3551.90 -30.0     991.09  0.00     3662.05 -30.0      3772.40 -30.0     3881.51 -30.0        39999 -30.0     4111.97 -30.0    4220.85 -30.0      4332.71 -30.0   44444 -30.0 882.60  0.00 
-2.85  0.15     -2.84  0.16     0.09  0.25    -0.25  0.36    5110.70 -30.0   -0.17  0.24    0.40  0.15   -0.80  0.28     0.65  0.28     0.24  0.18      0.37  0.17    -0.07  0.14      0.21  0.15      0.24  0.15    -0.03  0.18       0.02  0.25      -0.16  0.15   -0.32  0.15     -0.10  0.20        0.03  0.21    2660.16 -30.0      0.13  0.17     -0.17  0.25    -0.47  0.20        0.01  0.17     31111 -30.0     -0.46  0.16      -0.04  0.22      3220.27 -30.0    3330.87 -30.0       0.13  0.20     3550.82 -30.0       0.18  0.18     3661.17 -30.0      3771.40 -30.0     3880.58 -30.0        39999 -30.0     4110.81 -30.0       0.17  0.19        43333 -30.0   44444 -30.0  -8888  0.00 
-2.52  0.17     -2.51  0.15  1220.89 -30.0  1332.29 -30.0       0.29  0.16   14444 -30.0    0.42  0.17   -0.59  0.23     0.09  0.31    16666 -30.0      0.45  0.19     0.15  0.15      0.49  0.17      0.32  0.15    19999 -30.0       0.26  0.24       0.07  0.17   -0.22  0.17      0.11  0.20        0.07  0.19      26666 -30.0      0.28  0.19      0.16  0.25    -0.32  0.18        0.33  0.16     31111 -30.0     -0.24  0.15     660.30  0.00      3220.21 -30.0    3330.73 -30.0    3440.40 -30.0     3550.73 -30.0       0.47  0.17     3661.07 -30.0      3771.45 -30.0        0.41  0.19        39999 -30.0     4110.96 -30.0      -0.09  0.26      4331.61 -30.0   44444 -30.0 882.08  0.00 
-2.85  0.17     -2.86  0.15     0.20  0.25  1331.53 -30.0       0.36  0.19   14444 -30.0    0.56  0.17   -0.57  0.23     0.83  0.25     0.51  0.20      0.53  0.19    -0.01  0.15      0.40  0.17      0.22  0.15     0.15  0.21       0.23  0.24      -0.15  0.17   -0.22  0.17      0.08  0.20        0.17  0.20      26666 -30.0      0.22  0.18      0.04  0.26    -0.41  0.18        0.08  0.17     31111 -30.0     -0.58  0.16       0.11  0.21      3220.59 -30.0    3330.34 -30.0    3440.67 -30.0     3550.57 -30.0       0.05  0.18     3660.96 -30.0      3771.16 -30.0     3880.46 -30.0        39999 -30.0        0.34  0.23       0.02  0.19      4331.37 -30.0 4442.13 -30.0 882.03  0.00 
-2.82  0.21     -2.72  0.15     0.27  0.25  1330.93 -30.0       0.88  0.21   14444 -30.0    0.44  0.22   -0.70  0.28     0.60  0.36    16666 -30.0      0.48  0.22    -0.04  0.15      0.37  0.21      0.22  0.15    19999 -30.0    2220.35 -30.0      -0.24  0.21   -0.42  0.22      0.13  0.24       -0.01  0.27      26666 -30.0   2770.75 -30.0     -0.13  0.19    -0.59  0.32       29999 -30.0     31111 -30.0     -0.66  0.14     666666  0.00      3220.99 -30.0    3331.36 -30.0    3441.58 -30.0     3551.65 -30.0     990.67  0.00     3661.71 -30.0      3772.13 -30.0     3881.27 -30.0      3991.38 -30.0     4111.26 -30.0    4220.53 -30.0      4332.14 -30.0   44444 -30.0 882.28  0.00
-3.83  0.15     -3.73  0.16     0.50  0.25    -0.05  0.36    5111.86 -30.0   -0.05  0.23    0.60  0.16   -0.77  0.26    15555 -30.0     0.37  0.21      0.45  0.17    -0.13  0.15      0.25  0.15      0.14  0.15    19999 -30.0       0.05  0.27      -0.18  0.15   -0.45  0.20      0.16  0.21        0.28  0.23      26666 -30.0      0.97  0.15      0.56  0.22    -0.09  0.17        0.42  0.15     31111 -30.0     -1.27  0.17     660.04  0.00      3220.20 -30.0    3330.69 -30.0    3440.03 -30.0     3550.70 -30.0      -0.13  0.20     3661.07 -30.0      3771.15 -30.0     3880.36 -30.0        39999 -30.0     4110.65 -30.0      -0.92  0.37      4331.48 -30.0 4441.56 -30.0 882.17  0.00 
-2.83  0.17     -2.80  0.15  1221.17 -30.0  1332.57 -30.0       0.04  0.18   14444 -30.0    0.38  0.17   -0.71  0.18     0.04  0.28    16666 -30.0      0.31  0.20     0.21  0.15      0.47  0.19      0.29  0.15  1990.53 -30.0       0.41  0.26      -0.07  0.16   -0.16  0.17      0.16  0.21        0.20  0.20      26666 -30.0      0.53  0.20     -0.27  0.23   770.06  0.00        0.14  0.18     31111 -30.0     -0.75  0.15     666666  0.00      3220.88 -30.0    3331.43 -30.0    3440.98 -30.0     3551.30 -30.0     990.70  0.00     3661.52 -30.0      3771.96 -30.0     3881.02 -30.0      3991.43 -30.0     4111.42 -30.0    4220.27 -30.0      4332.02 -30.0   44444 -30.0 882.50  0.00 
-3.51  0.15     -3.45  0.17     0.35  0.25  1331.23 -30.0    5111.39 -30.0   14444 -30.0    0.54  0.15   -0.71  0.20     0.82  0.32    16666 -30.0      0.52  0.17    -0.17  0.16      0.33  0.15      0.19  0.15    19999 -30.0      22222 -30.0      -0.30  0.14   -0.44  0.14      0.20  0.21        0.05  0.22      26666 -30.0      0.66  0.18     -0.20  0.18    -0.44  0.22     2990.07 -30.0     31111 -30.0     -0.86  0.15     666666  0.00      3220.88 -30.0    3331.15 -30.0    3441.15 -30.0     3551.23 -30.0     990.49  0.00     3661.54 -30.0      3771.68 -30.0     3880.83 -30.0        39999 -30.0     4111.16 -30.0    4220.13 -30.0      4332.01 -30.0   44444 -30.0 882.20  0.00 
-2.72  0.17     -2.71  0.15    -0.05  0.25  1331.28 -30.0      51111 -30.0   14444 -30.0    0.50  0.17   -0.69  0.22     0.65  0.31    16666 -30.0      0.51  0.19     0.09  0.16      0.43  0.17      0.31  0.15    19999 -30.0       0.23  0.24      -0.16  0.17   -0.28  0.18      0.14  0.20        0.08  0.21      26666 -30.0     27777 -30.0      0.30  0.26    -0.36  0.18        0.28  0.16     31111 -30.0     -0.41  0.15     666666  0.00      -320.02 -30.0    3330.79 -30.0    3440.11 -30.0     3550.63 -30.0      -0.19  0.26     3660.87 -30.0      3771.15 -30.0     3880.28 -30.0        39999 -30.0     4110.29 -30.0      -0.05  0.21      4331.47 -30.0   44444 -30.0 881.92  0.00 
-1.43  0.16     -1.46  0.18  1220.09 -30.0  1331.19 -30.0      51111 -30.0   14444 -30.0    0.49  0.18   15555 -30.0     0.68  0.22    16666 -30.0      0.40  0.20     0.12  0.15      0.30  0.16      0.33  0.17     0.07  0.19       0.25  0.27      -0.12  0.16   -0.29  0.16     -0.08  0.19        0.13  0.19      26666 -30.0      0.15  0.16      0.86  0.17    -0.22  0.17        0.40  0.15     31111 -30.0      0.13  0.18       0.08  0.17        -0.10  0.18      33333 -30.0      -0.10  0.18        0.21  0.17       0.15  0.17        0.23  0.29        37777 -30.0        0.35  0.17        39999 -30.0        0.05  0.28       0.06  0.19      4330.86 -30.0   44444 -30.0 881.72  0.00 
-3.10  0.17     -3.10  0.15  1220.32 -30.0  1332.37 -30.0      51111 -30.0   14444 -30.0    0.57  0.17   -0.68  0.20     0.34  0.30    16666 -30.0      0.54  0.19     0.12  0.15      0.49  0.17      0.32  0.15     0.33  0.20       0.19  0.26      -0.09  0.17   -0.40  0.17      0.07  0.20       -0.06  0.19      26666 -30.0      0.32  0.19      0.45  0.25    -0.19  0.17        0.28  0.16     31111 -30.0     -0.87  0.15     666666  0.00      3220.19 -30.0    3330.77 -30.0    3440.18 -30.0     3550.85 -30.0     990.19  0.00     3660.91 -30.0      3771.21 -30.0     3880.46 -30.0        39999 -30.0     4110.96 -30.0    -420.12 -30.0      4331.67 -30.0 4442.55 -30.0 882.01  0.00 
-3.14  0.17     -3.13  0.15  -120.13 -30.0  1331.30 -30.0      51111 -30.0   14444 -30.0    0.58  0.17   -0.58  0.21     0.75  0.31    16666 -30.0      0.53  0.19     0.07  0.15      0.39  0.17      0.27  0.15    19999 -30.0       0.19  0.25      -0.20  0.18   -0.40  0.17      0.08  0.20        0.16  0.21      26666 -30.0     27777 -30.0      0.27  0.25    -0.43  0.18        0.27  0.16     31111 -30.0     -0.16  0.15       0.38  0.17      3220.13 -30.0    3330.96 -30.0      -0.08  0.22        0.63  0.18       0.24  0.18     3660.90 -30.0      3771.58 -30.0        0.53  0.18        39999 -30.0        0.17  0.23       0.18  0.19      4331.43 -30.0 4442.23 -30.0 882.05  0.00 
-3.11  0.15     -3.08  0.16     0.14  0.25  1330.50 -30.0    5110.99 -30.0   -0.06  0.27    0.51  0.16   -0.68  0.28     0.79  0.28     0.25  0.20      0.45  0.17     0.07  0.15      0.31  0.15      0.26  0.15     0.05  0.19       0.26  0.26      -0.16  0.16   -0.46  0.17      0.05  0.20        0.07  0.21      26666 -30.0      0.24  0.17     -0.05  0.24    -0.33  0.18        0.35  0.21     31111 -30.0     -0.49  0.15     660.41  0.00      3220.42 -30.0    3331.50 -30.0    3440.51 -30.0     3550.94 -30.0       0.36  0.19     3661.30 -30.0      3771.59 -30.0     3880.75 -30.0      3991.32 -30.0     4111.05 -30.0       0.24  0.23      4331.70 -30.0   44444 -30.0 882.08  0.00 
-2.71  0.17     -2.71  0.15  1221.24 -30.0  1332.59 -30.0      51111 -30.0   14444 -30.0    0.30  0.17   -0.71  0.19     0.03  0.30    16666 -30.0      0.33  0.19     0.00  0.16      0.42  0.18      0.24  0.15    19999 -30.0       0.25  0.26       0.03  0.16   -0.09  0.17      0.18  0.21        0.09  0.20      26666 -30.0   2770.75 -30.0     -0.27  0.26    -0.56  0.19        0.11  0.22     31111 -30.0     -0.59  0.15     666666  0.00      3220.72 -30.0    3331.32 -30.0    3440.61 -30.0     3551.15 -30.0     990.58  0.00     3661.40 -30.0      3771.76 -30.0     3880.89 -30.0      3991.32 -30.0     4111.12 -30.0    4220.94 -30.0      4331.91 -30.0   44444 -30.0 882.60  0.00 
-3.61  0.15     -3.53  0.17     0.27  0.25     0.65  0.36    5111.21 -30.0   14444 -30.0    0.56  0.15   -0.75  0.23     0.82  0.31    16666 -30.0      0.40  0.18    -0.06  0.16      0.37  0.16      0.12  0.16    19999 -30.0       0.21  0.31      -0.27  0.16   -0.75  0.14      0.24  0.20        0.04  0.22      26666 -30.0      0.53  0.18     -1.81  0.15   -70.92  0.00     2990.21 -30.0     31111 -30.0     -1.32  0.16     666666  0.00      3220.40 -30.0    3330.98 -30.0    3440.29 -30.0     3550.99 -30.0     990.37  0.00     3661.32 -30.0      3772.06 -30.0     3880.63 -30.0      3991.08 -30.0     4110.92 -30.0    4220.13 -30.0      4331.79 -30.0   44444 -30.0 881.98  0.00 
-2.88  0.15     -2.83  0.15     0.24  0.25    -0.50  0.36       0.83  0.21   -0.01  0.28    0.44  0.16   -0.78  0.29     0.89  0.26     0.11  0.19      0.34  0.17    -0.05  0.15      0.16  0.14      0.24  0.15    -0.21  0.18       0.00  0.24      -0.21  0.15   -0.40  0.15     -0.07  0.22        0.09  0.20    -260.16 -30.0      0.30  0.16      0.02  0.26    -0.54  0.18       -0.01  0.16     31111 -30.0     -0.65  0.15      -0.19  0.19      3220.01 -30.0    3330.71 -30.0      -0.21  0.23     3550.53 -30.0       0.13  0.17     3660.74 -30.0      3770.81 -30.0     3880.15 -30.0        39999 -30.0     4110.44 -30.0      -0.19  0.22      4331.16 -30.0   44444 -30.0 881.19  0.00 
-3.08  0.15     -2.99  0.15     0.13  0.25     0.00  0.36    5110.84 -30.0   14444 -30.0    0.48  0.15   -0.65  0.29    15555 -30.0    16666 -30.0      0.42  0.17    -0.07  0.15      0.26  0.15      0.19  0.15     0.01  0.18      -0.02  0.26      -0.19  0.15   -0.31  0.16      0.00  0.22        0.14  0.22      26666 -30.0      0.35  0.16     -0.17  0.26    -0.68  0.18       -0.00  0.18     31111 -30.0     -0.70  0.15     666666  0.00      3220.01 -30.0    3330.62 -30.0    -340.15 -30.0     3550.68 -30.0      -0.07  0.21     3660.95 -30.0      3771.13 -30.0     3880.31 -30.0        39999 -30.0     4110.66 -30.0      -0.05  0.21      4331.53 -30.0 4441.70 -30.0 881.65  0.00 
-2.95  0.21     -2.64  0.15    -0.09  0.25  1330.81 -30.0      51111 -30.0   14444 -30.0    0.44  0.22   -0.80  0.25     0.36  0.36    16666 -30.0      0.54  0.22     0.01  0.15      0.31  0.21      0.18  0.15    19999 -30.0       0.44  0.29      -0.16  0.20   -0.45  0.20     -0.01  0.23       -0.08  0.27    2661.06 -30.0     27777 -30.0     -0.33  0.19     -999  0.00        0.20  0.21     31111 -30.0     -1.21  0.16     660.87  0.00      3220.92 -30.0    3331.45 -30.0    3440.86 -30.0     3551.44 -30.0     990.59  0.00     3661.75 -30.0      3771.87 -30.0     3881.15 -30.0      3991.50 -30.0     4111.50 -30.0    4220.21 -30.0      4332.18 -30.0   44444 -30.0 882.44  0.00 
-2.52  0.21     -2.44  0.15     0.37  0.25  1332.31 -30.0       0.37  0.20   14444 -30.0    0.40  0.22   -0.72  0.30     0.68  0.36     0.56  0.23      0.51  0.22     0.09  0.15      0.48  0.20      0.38  0.14    19999 -30.0       0.23  0.32      -0.18  0.21   -0.34  0.21      0.06  0.23        0.07  0.27      26666 -30.0      0.42  0.22      0.36  0.24    -0.08  0.21        0.40  0.18     31111 -30.0     -0.40  0.15     666666  0.00      3221.19 -30.0    3331.60 -30.0    3441.16 -30.0     3551.62 -30.0     990.83  0.00     3661.83 -30.0      3772.05 -30.0     3881.15 -30.0      3991.71 -30.0     4111.51 -30.0       0.22  0.42      4332.27 -30.0   44444 -30.0 882.27  0.00 
-2.63  0.21     -2.67  0.15     0.69  0.25     0.49  0.36    5110.47 -30.0   14444 -30.0    0.52  0.23   -0.65  0.33     0.76  0.37    16666 -30.0      0.49  0.22     0.01  0.15      0.36  0.20      0.30  0.14     0.13  0.25    2220.44 -30.0      -0.18  0.21   -0.37  0.21      0.15  0.25        0.03  0.29      26666 -30.0      0.04  0.26      0.27  0.24    -0.10  0.18        0.51  0.20     31111 -30.0     -0.05  0.14     666666  0.00      3221.39 -30.0    3331.52 -30.0    3441.03 -30.0     3551.37 -30.0       0.86  0.22     3661.87 -30.0      3771.86 -30.0     3881.24 -30.0        39999 -30.0     4111.45 -30.0       0.37  0.32      4332.14 -30.0   44444 -30.0 882.14  0.00 
-3.64  0.15     -3.39  0.16     0.39  0.25  1332.46 -30.0    5111.83 -30.0   14444 -30.0    0.74  0.15   -0.38  0.19     0.50  0.31    16666 -30.0      0.15  0.19    -0.28  0.15     18888 -30.0     -0.09  0.16    19999 -30.0    2220.81 -30.0      -0.39  0.14    0.04  0.14      0.41  0.18        0.42  0.18      26666 -30.0   2771.28 -30.0     -1.87  0.19   -70.04  0.00     2990.66 -30.0     31111 -30.0    -90.90  0.00     661.06  0.00      3221.38 -30.0    3331.74 -30.0    3441.12 -30.0     3551.81 -30.0     991.23  0.00     3662.15 -30.0      3772.32 -30.0     3881.41 -30.0      3991.97 -30.0     4111.78 -30.0    4221.13 -30.0      4332.66 -30.0   44444 -30.0 882.91  0.00 
-2.68  0.17     -2.69  0.15     1.89  0.25  1331.56 -30.0       0.24  0.18   14444 -30.0    0.63  0.17   -0.67  0.18    15555 -30.0    16666 -30.0      0.53  0.19    -0.31  0.17      0.43  0.17      0.11  0.15    19999 -30.0    2220.35 -30.0      -0.15  0.18   -0.25  0.17      0.07  0.20       -0.03  0.21      26666 -30.0   2770.73 -30.0      0.03  0.17    -0.27  0.21        0.40  0.16     31111 -30.0     -0.53  0.15     666666  0.00      3221.07 -30.0    3331.32 -30.0    3440.89 -30.0     3551.36 -30.0     990.74  0.00     3661.66 -30.0      3772.59 -30.0     3881.11 -30.0      3991.49 -30.0     4111.29 -30.0    4220.53 -30.0      4332.17 -30.0   44444 -30.0 882.50  0.00 
-2.64  0.21     -2.62  0.15     0.45  0.25  1331.21 -30.0      51111 -30.0   -0.04  0.32    0.49  0.22   -0.71  0.30     0.49  0.36    16666 -30.0      0.49  0.22     0.06  0.15      0.40  0.20      0.42  0.15    19999 -30.0      22222 -30.0      -0.11  0.21   -0.40  0.21      0.09  0.24        0.02  0.27      26666 -30.0   2770.57 -30.0      0.05  0.22    -0.41  0.30        0.36  0.16     31111 -30.0     -0.51  0.14     660.99  0.00      3221.23 -30.0    3331.59 -30.0    3441.18 -30.0     3551.73 -30.0     990.98  0.00     3661.95 -30.0      3772.02 -30.0     3881.27 -30.0        39999 -30.0       41111 -30.0    4220.36 -30.0      4332.57 -30.0   44444 -30.0 882.41  0.00 
-3.22  0.15     -3.15  0.16     0.21  0.25  1330.02 -30.0    5110.79 -30.0   14444 -30.0    0.54  0.15   -0.82  0.26     0.84  0.29    16666 -30.0      0.45  0.17    -0.05  0.16      0.28  0.15      0.22  0.16     0.11  0.18       0.13  0.29      -0.13  0.15   -0.23  0.17      0.18  0.21        0.31  0.22      26666 -30.0      0.30  0.19     -0.26  0.22    -0.56  0.20       -0.06  0.18     31111 -30.0     -0.98  0.16     660.24  0.00      3220.34 -30.0    3330.70 -30.0    3440.16 -30.0     3550.91 -30.0     -80.15  0.00     3661.04 -30.0      3772.02 -30.0     3880.12 -30.0      3991.38 -30.0     4110.62 -30.0      -0.62  0.56      4331.55 -30.0 4442.09 -30.0 881.89  0.00 
-2.96  0.22     -2.95  0.15     0.44  0.25  1331.33 -30.0    5110.81 -30.0   14444 -30.0    0.44  0.22   -0.74  0.25     0.54  0.36    16666 -30.0      0.42  0.22    -0.06  0.16      0.39  0.21      0.20  0.14    19999 -30.0      22222 -30.0      -0.29  0.20   -0.40  0.20      0.24  0.24        0.04  0.26      26666 -30.0   2770.81 -30.0     -0.30  0.17   -70.03  0.00     2990.74 -30.0     31111 -30.0     -0.47  0.14     661.20  0.00      3221.32 -30.0    3331.91 -30.0    3441.34 -30.0     3551.90 -30.0     991.15  0.00     3662.10 -30.0      3772.40 -30.0     3881.57 -30.0      3991.78 -30.0     4111.75 -30.0    4220.69 -30.0      4332.71 -30.0   44444 -30.0 882.48  0.00
-2.92  0.15     -2.89  0.15     0.14  0.25     0.05  0.36       0.84  0.19   -0.09  0.28    0.47  0.16   -0.67  0.30     0.81  0.28     0.27  0.18      0.43  0.17    -0.17  0.15      0.12  0.14      0.17  0.15    -0.23  0.18      -0.08  0.25      -0.22  0.15   -0.39  0.15     -0.11  0.19        0.06  0.19    -260.15 -30.0      0.17  0.16     -0.23  0.25    -0.60  0.18       -0.12  0.17     31111 -30.0     -0.35  0.15       0.04  0.17      3220.50 -30.0       0.49  0.18      -0.02  0.17     3550.67 -30.0       0.23  0.16     3660.84 -30.0      3770.88 -30.0        0.32  0.17        39999 -30.0        0.47  0.21       0.17  0.18      4331.29 -30.0   44444 -30.0 881.74  0.00 
-3.29  0.21     -3.03  0.15     0.35  0.25  1332.92 -30.0    5110.93 -30.0   14444 -30.0    0.60  0.22   -0.56  0.25     0.44  0.36    16666 -30.0      0.64  0.22    -0.26  0.15      0.50  0.22      0.27  0.14    19999 -30.0    2220.79 -30.0      -0.14  0.20   -0.61  0.22      0.27  0.24       -0.08  0.24      26666 -30.0   2771.09 -30.0      0.08  0.21    -0.31  0.22        0.46  0.22     31111 -30.0     -0.71  0.15     666666  0.00      3221.40 -30.0    3331.94 -30.0    3441.38 -30.0     3551.84 -30.0     991.10  0.00     3662.08 -30.0      3772.42 -30.0     3881.94 -30.0      3991.87 -30.0     4111.88 -30.0    4220.73 -30.0      4332.69 -30.0   44444 -30.0 882.81  0.00 
-2.82  0.17     -2.83  0.15  1221.60 -30.0  1332.60 -30.0      51111 -30.0   14444 -30.0    0.49  0.17   -0.57  0.20     0.05  0.30    16666 -30.0      0.44  0.19     0.17  0.15      0.43  0.17      0.34  0.15    19999 -30.0       0.21  0.25       0.00  0.16   -0.21  0.17      0.37  0.20        0.10  0.21      26666 -30.0   2770.87 -30.0     -0.09  0.25    -0.52  0.19        0.49  0.17     31111 -30.0     -0.40  0.15     666666  0.00      3221.12 -30.0    3331.61 -30.0    3440.93 -30.0     3551.55 -30.0       0.68  0.22     3661.86 -30.0      3771.99 -30.0     3881.07 -30.0      3991.62 -30.0     4111.49 -30.0    4220.91 -30.0      4332.29 -30.0   44444 -30.0 882.88  0.00
-2.84  0.17     -2.84  0.15  1220.81 -30.0  1330.61 -30.0       0.04  0.18   14444 -30.0    0.28  0.17   -0.81  0.19     0.40  0.31    16666 -30.0      0.52  0.19     0.27  0.15      0.43  0.17      0.32  0.15    19999 -30.0       0.37  0.24      -0.11  0.16   -0.16  0.17      0.25  0.20        0.10  0.20      26666 -30.0   2770.81 -30.0     -1.36  0.14   -70.68  0.00     2990.05 -30.0     31111 -30.0     -1.39  0.16     666666  0.00      3220.62 -30.0    3331.18 -30.0    3441.17 -30.0     3551.28 -30.0     990.55  0.00     3661.41 -30.0      3771.80 -30.0     3880.77 -30.0      3991.35 -30.0     4111.12 -30.0    4220.23 -30.0      4332.13 -30.0   44444 -30.0 882.43  0.00
-3.50  0.15     -3.18  0.16    -0.74  0.25     1.05  0.36    5111.38 -30.0   14444 -30.0    0.46  0.15   -0.67  0.28     0.53  0.30    16666 -30.0      0.44  0.17     0.08  0.15      0.24  0.15      0.08  0.15     0.25  0.18       0.26  0.24      -0.32  0.15   -0.08  0.16      0.17  0.21        0.14  0.23      26666 -30.0      0.51  0.17     -0.67  0.25    -0.87  0.19       -0.40  0.20     31111 -30.0     -1.15  0.15     666666  0.00      3220.00 -30.0    3330.66 -30.0    3440.05 -30.0     3550.80 -30.0     -80.05  0.00     3660.98 -30.0      3771.10 -30.0     3880.31 -30.0        39999 -30.0     4110.58 -30.0      42222 -30.0      4331.40 -30.0   44444 -30.0 882.14  0.00 
-3.32  0.21     -3.42  0.18  1221.74 -30.0  1332.79 -30.0    5110.41 -30.0 -140.70 -30.0    0.27  0.24   -0.80  0.23     0.08  0.26    16666 -30.0      0.47  0.24     0.29  0.17     18888 -30.0      0.38  0.15    19999 -30.0    2221.41 -30.0      -0.24  0.21   -0.36  0.26     24444 -30.0        0.29  0.30      26666 -30.0   2771.21 -30.0      0.05  0.13   770.49  0.00     2991.22 -30.0     31111 -30.0      0.34  0.14     666666  0.00      3222.28 -30.0    3332.69 -30.0    3442.24 -30.0     3552.76 -30.0     991.97  0.00     3662.88 -30.0      3773.12 -30.0     3882.94 -30.0      3992.75 -30.0     4112.63 -30.0      42222 -30.0      4333.49 -30.0   44444 -30.0 883.24  0.00 
-3.01  0.21     -2.88  0.14     0.53  0.25  1332.06 -30.0       0.58  0.23    0.03  0.28    0.52  0.22   -0.66  0.26     0.64  0.36    16666 -30.0      0.54  0.22    -0.06  0.14      0.35  0.21      0.26  0.14    19999 -30.0      22222 -30.0      -0.26  0.20   -0.44  0.20      0.08  0.24        0.03  0.25      26666 -30.0   2770.93 -30.0     -0.17  0.20    -0.36  0.22       29999 -30.0     31111 -30.0     -0.87  0.15     666666  0.00      3221.35 -30.0    3331.77 -30.0    3441.32 -30.0     3551.90 -30.0     991.06  0.00     3661.94 -30.0      3772.47 -30.0     3881.47 -30.0      3991.84 -30.0     4111.83 -30.0    4220.80 -30.0      4332.58 -30.0   44444 -30.0 882.59  0.00 
