[Fe/H] err     [FeII/H] err    [C/Fe] err     [N/Fe] err      [O/Fe] err     [Na/Fe] err   [Mg/Fe] err   [Al/Fe] err   [Si/Fe] err     [K/Fe] err      [Ca/Fe] err    [Sc/Fe] err     [Ti/Fe] err     [TiII/Fe] err  [V/Fe] err      [VII/Fe] err      [Cr/Fe] err  [Mn/Fe] err     [Co/Fe] err       [Ni/Fe] err       [Cu/Fe] err    [Zn/Fe] err     [Sr/Fe] err    [Y/Fe] err       [Zr/Fe] err      [Ru/Fe] err     [Ba/Fe] err      [La/Fe] err        [Ce/Fe] err      [Pr/Fe] err     [Nd/Fe] err        [Sm/Fe] err       [Eu/Fe] err      [Gd/Fe] err        [Tb/Fe] err       [Dy/Fe] err         [Ho/Fe] err       [Er/Fe] err      [Yb/Fe] err       [Hf/Fe] err    [Ir/Fe] err [Pb/Fe] err
-2.65  0.21     -2.47  0.14     0.13  0.25  1332.19 -30.0      51111 -30.0   -0.12  0.28    0.34  0.23   -0.88  0.30     0.36  0.36    16666 -30.0      0.46  0.22     0.04  0.14      0.41  0.20      0.34  0.14    19999 -30.0       0.22  0.31      -0.14  0.21   -0.34  0.21      0.08  0.23        0.07  0.24      26666 -30.0     27777 -30.0      0.04  0.24    -0.59  0.27        0.24  0.15     31111 -30.0     -0.47  0.14     666666  0.00      3221.03 -30.0    3331.05 -30.0    3440.65 -30.0       35555 -30.0       0.40  0.25       36666 -30.0        37777 -30.0     3880.79 -30.0      3991.61 -30.0     4111.20 -30.0      -0.18  0.35      4332.06 -30.0   44444 -30.0 882.37  0.00
-3.57  0.15     -3.50  0.16     0.30  0.25     0.17  0.36    5111.74 -30.0   14444 -30.0    0.77  0.15   -0.58  0.27     1.09  0.29     0.77  0.19      0.55  0.17     0.11  0.15      0.26  0.15      0.19  0.15     0.24  0.18       0.26  0.26      -0.23  0.15   -0.38  0.17      0.14  0.20        0.12  0.23      26666 -30.0      0.67  0.16     -0.22  0.23    -0.32  0.18        0.22  0.18     31111 -30.0      0.13  0.15       0.53  0.18         0.34  0.18       0.75  0.25       0.59  0.16     3550.99 -30.0       0.84  0.16     3661.42 -30.0      3771.34 -30.0        0.98  0.19         0.94  0.22        1.01  0.20       0.68  0.18      4331.76 -30.0 4442.49 -30.0 882.01  0.00   
-3.06  0.15     -3.02  0.15     0.12  0.25  -130.06 -30.0    5110.94 -30.0   -0.02  0.28    0.49  0.16   -0.50  0.30     0.66  0.25     0.54  0.18      0.46  0.17    -0.03  0.15      0.13  0.14      0.18  0.15    -0.02  0.17       0.16  0.24      -0.24  0.15   -0.36  0.15     -0.08  0.22        0.10  0.20    -260.11 -30.0      0.22  0.15     -0.80  0.25    -1.01  0.19       -0.33  0.19     31111 -30.0     -1.00  0.15     -60.42  0.00      -320.12 -30.0    3330.45 -30.0      -0.50  0.22     3550.39 -30.0      -0.31  0.20     3660.75 -30.0      3770.87 -30.0     3880.45 -30.0        39999 -30.0     4110.39 -30.0      -0.93  0.26      4331.08 -30.0   44444 -30.0 881.63  0.00   
-2.72  0.21     -2.50  0.14    -0.15  0.25  1331.53 -30.0    5110.71 -30.0   -0.32  0.27    0.20  0.22   -0.94  0.32     0.49  0.37     0.13  0.24      0.31  0.22    -0.19  0.15      0.20  0.21      0.08  0.14    -0.05  0.26      -0.02  0.27      -0.21  0.21   -0.47  0.22      0.04  0.25        0.06  0.29      26666 -30.0      0.23  0.22     -0.14  0.25    -0.50  0.18       -0.17  0.20     31111 -30.0     -0.30  0.14       0.19  0.25      3220.55 -30.0    3330.68 -30.0    3440.38 -30.0       35555 -30.0       0.44  0.17     3661.21 -30.0      3771.47 -30.0        0.57  0.21        39999 -30.0     4111.67 -30.0       0.22  0.22      4331.84 -30.0   44444 -30.0 881.99  0.00   
-2.82  0.21     -2.90  0.15     0.33  0.25  1330.62 -30.0    5110.79 -30.0   14444 -30.0    0.52  0.22   -0.75  0.31     0.43  0.36     0.33  0.24      0.41  0.22     0.12  0.15      0.41  0.20      0.24  0.14    19999 -30.0       0.40  0.34      -0.22  0.20   -0.42  0.20      0.02  0.25       -0.17  0.26      26666 -30.0   2770.64 -30.0     -0.39  0.18    -0.58  0.19     2991.06 -30.0     31111 -30.0     -1.13  0.15     661.01  0.00      3221.19 -30.0    3331.71 -30.0    3441.29 -30.0     3551.73 -30.0     990.99  0.00     3661.88 -30.0      3772.23 -30.0     3881.28 -30.0      3991.72 -30.0     4111.58 -30.0    4220.52 -30.0      4332.48 -30.0   44444 -30.0 882.26  0.00   
-3.04  0.15     -2.89  0.15     0.06  0.25     0.15  0.36       1.23  0.15   14444 -30.0    0.35  0.15   -0.89  0.29  1550.80 -30.0    16666 -30.0      0.32  0.17    -0.22  0.15      0.08  0.15      0.11  0.15    -0.10  0.18       0.00  0.24      -0.19  0.15   -0.25  0.14     -0.07  0.21        0.05  0.21      -0.31  0.19      0.39  0.15     -0.27  0.25    -0.75  0.19       -0.15  0.16     31111 -30.0     -1.18  0.15     -60.40  0.00      -320.29 -30.0    3330.07 -30.0    -340.18 -30.0     3550.34 -30.0      -0.70  0.28     3660.66 -30.0      3770.82 -30.0     3880.24 -30.0        39999 -30.0     4110.17 -30.0      -0.85  0.36      4331.06 -30.0 4441.36 -30.0 881.59  0.00   
-3.92  0.15     -3.85  0.16     0.23  0.25     0.25  0.36    5111.51 -30.0   -0.10  0.20    0.44  0.16   -0.80  0.23     0.84  0.31    16666 -30.0      0.38  0.18    -0.19  0.15      0.02  0.16     -0.05  0.15  1990.19 -30.0    2220.26 -30.0      -0.23  0.15   -0.54  0.17      0.05  0.20        0.03  0.20      26666 -30.0      0.36  0.21     -0.96  0.19   -70.93  0.00     -290.00 -30.0     31111 -30.0     -1.59  0.15     666666  0.00      3220.09 -30.0    3330.97 -30.0    3440.08 -30.0     3550.72 -30.0     990.25  0.00     3661.17 -30.0      3770.92 -30.0     3880.29 -30.0      3990.92 -30.0     4110.71 -30.0    -420.38 -30.0      4331.46 -30.0   44444 -30.0 882.09  0.00   
-2.94  0.17     -2.94  0.15  1220.96 -30.0  1332.61 -30.0       0.50  0.17   14444 -30.0    0.57  0.17   -0.55  0.20     0.33  0.31    16666 -30.0      0.54  0.19     0.17  0.15      0.42  0.18      0.33  0.15  1990.61 -30.0       0.22  0.26      -0.05  0.16   -0.27  0.17      0.10  0.20        0.13  0.20      26666 -30.0   2770.73 -30.0      0.29  0.25    -0.28  0.18        0.25  0.17     31111 -30.0     -0.37  0.15     660.40  0.00      3220.73 -30.0    3331.17 -30.0    3440.61 -30.0     3551.27 -30.0       0.37  0.26     3661.51 -30.0      3771.49 -30.0     3880.92 -30.0      3991.27 -30.0     4110.99 -30.0      -0.03  0.29      4331.87 -30.0   44444 -30.0 882.62  0.00   
-2.20  0.21     -2.06  0.18  1220.66 -30.0  1332.41 -30.0      51111 -30.0   14444 -30.0    0.50  0.22   -0.60  0.34     0.37  0.38    16666 -30.0      0.46  0.22     0.05  0.18      0.65  0.20      0.47  0.18    19999 -30.0    2220.50 -30.0      -0.15  0.21   -0.29  0.20      0.15  0.22       25555 -30.0    2660.92 -30.0   2770.66 -30.0      0.54  0.24   770.44  0.00     2990.65 -30.0     31111 -30.0     -0.28  0.19     666666  0.00      3221.09 -30.0    3331.65 -30.0    3441.19 -30.0     3551.59 -30.0     990.89  0.00     3661.90 -30.0      3772.37 -30.0     3881.30 -30.0        39999 -30.0     4111.69 -30.0      42222 -30.0      4332.35 -30.0   44444 -30.0 882.47  0.00   
-2.85  0.21     -2.82  0.15     0.63  0.25  1331.20 -30.0       0.42  0.21   -0.05  0.29    0.47  0.22   -0.66  0.26     0.56  0.36    16666 -30.0      0.46  0.22     0.02  0.16      0.40  0.21      0.27  0.14    19999 -30.0    2220.69 -30.0      -0.23  0.20   -0.44  0.20      0.19  0.24        0.08  0.26      26666 -30.0   2770.79 -30.0     -0.12  0.20   -70.23  0.00     2990.49 -30.0     31111 -30.0     -0.62  0.14     666666  0.00      3221.28 -30.0    3331.81 -30.0    3441.20 -30.0     3551.86 -30.0     990.98  0.00     3662.04 -30.0      3772.28 -30.0     3881.32 -30.0      3991.87 -30.0     4111.77 -30.0    4220.72 -30.0      4332.64 -30.0   44444 -30.0 882.47  0.00   
