[Fe/H] [Sc/H] [V/H] [Mn/H] [Co/H]
-7.00e-01 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
3.60e-01 3.50e-01 5.10e-01 9.00e-02 3.20e-01
2.70e-01 2.80e-01 3.60e-01 3.70e-01 2.60e-01
-1.30e-01 -5.00e-02 -3.00e+01 -2.10e-01 -1.10e-01
-3.20e-01 -2.70e-01 -1.90e-01 -4.60e-01 -2.40e-01
3.00e-02 1.00e-01 9.00e-02 2.00e-02 7.00e-02
-1.80e-01 -1.50e-01 -2.00e-01 -2.70e-01 -2.00e-01
-6.90e-01 -4.70e-01 -4.40e-01 -9.30e-01 -4.70e-01
-4.10e-01 -3.10e-01 -9.00e-02 -5.30e-01 -2.50e-01
6.00e-02 -3.00e+01 -3.00e+01 -3.00e+01 1.30e-01
2.20e-01 3.10e-01 2.70e-01 1.40e-01 2.60e-01
-2.60e-01 -1.70e-01 -2.10e-01 -4.60e-01 -2.30e-01
7.00e-02 -3.00e+01 -3.00e+01 -2.00e-02 9.00e-02
-1.70e-01 -1.00e-02 -3.00e-02 -3.00e-01 -7.00e-02
1.40e-01 1.30e-01 1.20e-01 1.10e-01 1.20e-01
-5.60e-01 -4.80e-01 -3.20e-01 -7.70e-01 -4.40e-01
-4.50e-01 -3.30e-01 -3.40e-01 -7.00e-01 -3.70e-01
-6.00e-02 -2.00e-02 -1.10e-01 -2.30e-01 -1.20e-01
3.10e-01 3.90e-01 3.20e-01 -3.00e+01 3.40e-01
-1.80e-01 -1.60e-01 -2.00e-01 -3.80e-01 -2.10e-01
3.10e-01 4.50e-01 1.13e+00 4.30e-01 3.80e-01
-4.30e-01 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
-6.00e-02 -4.00e-02 -3.00e+01 -1.80e-01 0.00e+00
-2.40e-01 -1.80e-01 -2.90e-01 -4.00e-01 -2.10e-01
8.00e-02 1.40e-01 1.00e-01 6.00e-02 1.30e-01
-4.60e-01 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
-4.40e-01 -3.10e-01 -3.20e-01 -6.70e-01 -3.00e-01
-5.70e-01 -4.20e-01 -3.50e-01 -7.90e-01 -3.70e-01
-4.30e-01 -2.40e-01 -3.80e-01 -6.90e-01 -3.20e-01
-5.00e-02 1.30e-01 -1.00e-02 -2.10e-01 0.00e+00
-2.26e+00 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
-5.40e-01 -4.30e-01 -3.30e-01 -7.40e-01 -3.80e-01
-3.00e-02 1.00e-02 -7.00e-02 -1.40e-01 -1.00e-02
-8.10e-01 -6.00e-01 -6.10e-01 -1.27e+00 -6.80e-01
2.00e-01 1.30e-01 2.80e-01 1.00e-01 -3.00e+01
-4.90e-01 -3.40e-01 -3.90e-01 -5.90e-01 -3.80e-01
-4.80e-01 -3.30e-01 -3.40e-01 -7.00e-01 -3.00e-01
-5.30e-01 -4.60e-01 -3.00e+01 -8.20e-01 -3.00e+01
1.60e-01 2.10e-01 -3.00e+01 -2.00e-02 1.40e-01
-1.30e-01 -9.00e-02 -1.20e-01 -2.20e-01 -7.00e-02
-9.30e-01 -8.30e-01 -3.00e+01 -1.32e+00 -3.00e+01
-7.00e-02 -7.00e-02 -1.10e-01 -1.70e-01 -7.00e-02
-5.20e-01 -3.70e-01 -3.00e+01 -7.40e-01 -3.50e-01
-1.60e-01 -3.00e-02 -1.20e-01 -3.20e-01 -1.30e-01
2.80e-01 2.80e-01 2.70e-01 3.20e-01 3.30e-01
-4.60e-01 -2.40e-01 -2.70e-01 -6.70e-01 -2.70e-01
-3.20e-01 -1.70e-01 -2.10e-01 -5.60e-01 -1.90e-01
-1.10e-01 -2.00e-01 -1.30e-01 -3.00e+01 -2.40e-01
2.20e-01 2.30e-01 2.30e-01 1.90e-01 2.00e-01
-1.50e-01 -7.00e-02 -1.70e-01 -2.40e-01 -1.70e-01
-1.42e+00 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
8.00e-02 9.00e-02 9.00e-02 -3.00e-02 7.00e-02
2.00e-02 -3.00e-02 -1.00e-01 -1.90e-01 -1.20e-01
1.50e-01 1.80e-01 1.40e-01 1.30e-01 1.70e-01
2.10e-01 2.80e-01 3.40e-01 -3.00e+01 2.50e-01
2.60e-01 2.60e-01 2.50e-01 -3.00e+01 2.50e-01
-3.50e-01 -1.30e-01 -2.30e-01 -5.10e-01 -1.90e-01
6.00e-02 1.00e-01 1.00e-01 5.00e-02 7.00e-02
-1.62e+00 -1.56e+00 -3.00e+01 -3.00e+01 -3.00e+01
-1.30e-01 -1.10e-01 -3.00e+01 -3.30e-01 -2.10e-01
-2.20e-01 -7.00e-02 -1.40e-01 -3.90e-01 -1.40e-01
2.20e-01 2.40e-01 -3.00e+01 1.30e-01 2.00e-01
-2.40e-01 -3.00e+01 -3.00e+01 -3.00e+01 -3.00e+01
-5.00e-01 -3.20e-01 -4.10e-01 -7.90e-01 -3.90e-01
-3.40e-01 -2.80e-01 -2.90e-01 -4.30e-01 -3.00e-01
-2.80e-01 -8.00e-02 -1.90e-01 -4.70e-01 -1.50e-01
-2.10e-01 -2.00e-01 -3.00e+01 2.00e-02 -1.90e-01
7.00e-02 -3.00e+01 -3.00e+01 0.00e+00 9.00e-02
0.00e+00 1.00e-01 -3.00e+01 -1.20e-01 1.00e-01
-4.00e-01 -1.20e-01 -3.00e+01 -6.90e-01 -1.60e-01
