[Fe/H] err  [O/Fe] err  [Na/Fe] err [Mg/Fe] err [Al/Fe] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Cr/Fe] err [Ni/Fe] err [Zn/Fe] err [Y/Fe] err [Ba/Fe] err
-0.29  0.05  0.43  0.11  0.05  0.03  0.26  0.04  0.25  0.02  0.17  0.04  0.12  0.05  0.23  0.05  0.03  0.07  0.03  0.05  0.12  0.06 -0.02  0.12 -0.12  0.06
-0.59  0.09  0.51  0.19  0.13  0.07  0.27  0.08  0.34  0.07  0.22  0.09  0.23  0.08  0.33  0.05  0.07  0.07  0.03  0.07  0.21  0.09  0.13  0.15  0.12  0.09
 0.16  0.09 -0.03  0.17  0.12  0.07  0.03  0.07  0.05  0.05  0.06  0.07  0.00  0.06  0.00  0.07  0.01  0.08  0.06  0.06  0.25  0.09 -0.07  0.16 -0.03  0.10
-0.26  0.05  0.26  0.13 -0.03  0.04  0.12  0.08  0.11  0.04  0.06  0.05  0.01  0.06  0.08  0.06  0.02  0.07 -0.04  0.06  0.05  0.07 -0.06  0.17 -0.13  0.06
-0.32  0.08  0.39  0.19  0.02  0.06  0.21  0.09  0.25  0.04  0.14  0.08  0.11  0.11  0.23  0.09  0.04  0.11  0.02  0.07  0.14  0.09 -0.08  0.24 -0.13  0.09
-0.35  0.08  0.07  0.17  0.00  0.06  0.04  0.06  0.07  0.06  0.00  0.06  0.05  0.06  0.09  0.09 -0.02  0.10 -0.03  0.07  0.05  0.09 -0.08  0.20  0.06  0.09
-0.06  0.04  0.08  0.09  0.00  0.06  0.16  0.06  0.00  0.05  0.02  0.02  0.05  0.03  0.02  0.05 -0.03  0.06 -0.07  0.04 -0.12  0.06  0.04  0.12  0.17  0.04
-0.03  0.09 -30.0 -30.0 -0.08  0.05 -0.04  0.07 -0.05  0.06 -0.05  0.05  0.03  0.07  0.00  0.09 -0.05  0.09 -0.06  0.08 -0.13  0.03  0.03  0.17  0.16  0.08
 0.12  0.04 -0.12  0.10  0.06  0.04  0.11  0.04  0.04  0.03  0.01  0.02  0.00  0.03 -0.03  0.05 -0.04  0.05 -0.01  0.04  0.04  0.09 -0.08  0.10 -0.07  0.06
-0.29  0.05  0.03  0.13  0.01  0.03  0.06  0.03  0.08  0.04  0.02  0.03  0.05  0.06  0.02  0.08 -0.03  0.09 -0.04  0.05  0.08  0.08 -0.08  0.17  0.06  0.07
-0.62  0.05  0.56  0.13  0.11  0.03  0.39  0.04  0.29  0.04  0.25  0.04  0.24  0.07  0.28  0.07  0.01  0.08  0.03  0.05  0.41  0.07  0.29  0.15  0.40  0.06
 0.00  0.04 -0.05  0.12  0.03  0.04  0.11  0.05  0.06  0.04  0.02  0.03  0.04  0.04 -0.02  0.05 -0.05  0.05 -0.02  0.04  0.26  0.13 -0.06  0.11  0.01  0.07
-0.11  0.05  0.01  0.13 -0.03  0.04  0.02  0.03  0.02  0.03  0.00  0.05  0.00  0.09 -0.01  0.06  0.02  0.07 -0.03  0.05  0.18  0.09 -0.03  0.14  0.03  0.07
-0.46  0.09  0.50  0.26  0.17  0.14  0.36  0.15  0.35  0.10  0.24  0.11  0.19  0.16  0.31  0.04  0.03  0.06  0.04  0.08  0.28  0.12  0.08  0.18 -0.15  0.09
 0.04  0.06  0.03  0.13 -0.07  0.04  0.08  0.06  0.07  0.03  0.00  0.04  0.01  0.04  0.07  0.06  0.01  0.06 -0.05  0.05 -0.02  0.08 -0.08  0.13 -0.06  0.07
-0.08  0.06  0.37  0.15 -0.04  0.10  0.24  0.09  0.21  0.06  0.17  0.06  0.08  0.14  0.19  0.06  0.03  0.08  0.05  0.06  0.12  0.09  0.01  0.18  0.00  0.07
 0.17  0.08 -30.0 -30.0  0.06  0.05  0.04  0.09  0.02  0.05  0.02  0.06  0.00  0.05 -0.02  0.03  0.01  0.03 -0.01  0.07 -0.09  0.08 -0.21  0.17 -0.12  0.11
-0.11  0.07  0.28  0.22 -0.06  0.21  0.03  0.06  0.06  0.08  0.02  0.11  0.06  0.26  0.15  0.06  0.09  0.06  0.00  0.08  0.03  0.15  0.14  0.25 -0.04  0.07
-0.44  0.05  0.49  0.12  0.07  0.06  0.26  0.04  0.27  0.03  0.20  0.06  0.13  0.08  0.28  0.06  0.03  0.07  0.03  0.05  0.18  0.08 -0.02  0.15 -0.10  0.06
 0.22  0.06 -0.17  0.14  0.06  0.04  0.00  0.05  0.01  0.03  0.03  0.04 -0.01  0.04  0.03  0.07  0.00  0.07  0.03  0.05  0.00  0.08 -0.02  0.16 -0.04  0.08
-0.10  0.06  0.28  0.22 -0.05  0.22 -0.12  0.07  0.01  0.09 -0.06  0.11  0.18  0.27  0.15  0.07  0.18  0.06 -0.07  0.09 -0.03  0.11  0.29  0.17  0.27  0.10
-0.50  0.05  0.33  0.14  0.09  0.04  0.29  0.04  0.29  0.04  0.19  0.06  0.18  0.05  0.26  0.03  0.00  0.04  0.01  0.04  0.13  0.06  0.07  0.10 -0.10  0.06
 0.35  0.09 -0.18  0.17  0.03  0.08  0.05  0.08  0.04  0.06  0.06  0.06  0.00  0.06  0.05  0.07  0.03  0.08  0.04  0.07  0.03  0.08  0.02  0.16 -0.11  0.12
