[Fe/H] err  [O/Fe] err  [Na/Fe] err [Mg/Fe] err [Al/Fe] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Cr/Fe] err [Ni/Fe] err [Zn/Fe] err [Y/Fe] err [Ba/Fe] err
-0.54  0.05  0.42  0.15  0.06  0.05  0.39  0.06  0.33  0.04  0.23  0.06  0.22  0.07  0.27  0.04  0.01  0.05  0.04  0.05  0.17  0.07 -0.01  0.13 -0.06  0.07
-0.31  0.09 -30.0 -30.0  0.06  0.04  0.14  0.08  0.14  0.06  0.03  0.06  0.07  0.07  0.10  0.11 -0.04  0.12  0.03  0.08  0.09  0.05  0.80  0.15  0.88  0.08
-0.03  0.04 -0.03  0.09  0.06  0.04  0.06  0.04  0.07  0.03  0.02  0.02  0.03  0.02  0.01  0.05 -0.01  0.05 -0.02  0.04  0.00  0.03 -0.07  0.11  0.07  0.05
-0.81  0.15  0.53 -30.0  0.06 -30.0  0.35 -30.0  0.33 -30.0  0.23 -30.0  0.24 -30.0  0.33 -30.0  0.03 -30.0  0.01 -30.0  0.09 -30.0  0.12 -30.0 -0.01 -30.0
 0.20  0.25 -0.34  0.41  0.07  0.18  0.02  0.19  0.06  0.18  0.01  0.21 -0.01  0.15  0.06  0.07  0.05  0.10  0.03  0.12  0.13  0.19  0.03  0.24 -0.14  0.16
-0.49  0.05  0.31  0.13 -0.07  0.05  0.17  0.04  0.13  0.03  0.13  0.06  0.05  0.11  0.13  0.09  0.01  0.06  0.00  0.05  0.18  0.10 -0.04  0.15 -0.05  0.07
-0.48  0.04  0.50  0.12  0.09  0.03  0.36  0.04  0.28  0.02  0.20  0.03  0.19  0.05  0.22  0.05 -0.02  0.05  0.03  0.04  0.15  0.18 -0.09  0.11 -0.13  0.06
-0.53  0.07  0.17  0.20  0.08  0.05  0.10  0.05 -0.44  0.10  0.00  0.04  0.01  0.04  0.03  0.12 -0.04  0.12 -0.08  0.07 -0.25  0.12 -0.08  0.21  0.24  0.22
 0.16  0.05 -0.04  0.09 -0.01  0.06  0.20  0.07  0.03  0.04  0.03  0.03  0.04  0.04  0.01  0.06 -0.04  0.08 -0.04  0.05 -0.10  0.04 -0.19  0.14  0.11  0.07
-0.13  0.05  0.05  0.12 -0.02  0.03  0.07  0.04  0.05  0.03  0.00  0.04  0.02  0.05  0.02  0.07  0.00  0.08 -0.02  0.05  0.10  0.08 -0.09  0.15 -0.08  0.07
-0.93  0.04  0.56  0.12  0.09  0.03  0.37  0.05  0.18  0.05  0.19  0.04  0.23  0.05  0.18  0.07 -0.04  0.09 -0.03  0.05  0.17  0.06 -0.18  0.15 -0.14  0.10
-0.53  0.08 -30.0 -30.0  0.07  0.07  0.03  0.11  0.20  0.18  0.07  0.05  0.12  0.05  0.09  0.13 -0.10  0.13  0.02  0.08 -0.09  0.05 -0.05  0.20  0.20  0.13
-0.07  0.05  0.01  0.12 -0.02  0.03  0.07  0.04  0.03  0.03  0.01  0.03  0.02  0.04 -0.01  0.07 -0.01  0.07 -0.03  0.04 -0.07  0.23 -0.12  0.13 -0.04  0.07
-0.52  0.03  0.14  0.08  0.05  0.05  0.14  0.02 -0.06  0.03  0.06  0.02  0.10  0.03  0.10  0.04 -0.02  0.05 -0.04  0.04  0.01  0.13 -0.12  0.09 -0.02  0.07
-0.16  0.05  0.22  0.11 -0.01  0.04  0.14  0.05  0.15  0.03  0.08  0.04  0.07  0.06  0.14  0.06  0.01  0.07 -0.01  0.05  0.08  0.05  0.00  0.13 -0.04  0.06
-0.23  0.10 -30.0 -30.0  0.00  0.06  0.13  0.08  0.21  0.06  0.03  0.08  0.16  0.10  0.11  0.12  0.00  0.14 -0.01  0.08  0.03  0.07 -0.11  0.23  0.06  0.09
 0.28  0.10 -0.22  0.20  0.10  0.06 -0.03  0.07  0.00  0.05  0.03  0.06 -0.03  0.06  0.04  0.10  0.01  0.11  0.06  0.07  0.05  0.09 -0.01  0.20 -0.15  0.13
-0.46  0.04  0.44  0.11  0.09  0.03  0.32  0.04  0.27  0.03  0.18  0.04  0.19  0.06  0.27  0.05  0.03  0.07  0.02  0.05  0.16  0.18 -0.10  0.14 -0.11  0.08
-0.32  0.05  0.38  0.13  0.05  0.04  0.31  0.07  0.22  0.02  0.17  0.04  0.17  0.07  0.20  0.07  0.01  0.08  0.03  0.05  0.17  0.09  0.20  0.16  0.15  0.06
-0.11  0.05  0.03  0.12 -0.07  0.04 -0.05  0.04 -0.08  0.04 -0.03  0.07  0.04  0.06  0.01  0.07  0.02  0.08 -0.09  0.05 -0.13  0.08  0.13  0.14  0.21  0.06
 0.22  0.11 -0.05  0.20 -0.03  0.08 -0.03  0.08  0.00  0.08  0.05  0.09 -0.05  0.07  0.06  0.08  0.03  0.13  0.02  0.08  0.09  0.11  0.07  0.18 -0.07  0.12
-0.60  0.11 -30.0 -30.0  0.07  0.06  0.29  0.14  0.27  0.06  0.19  0.11  0.16  0.16  0.27  0.14  0.04  0.15  0.07  0.11  0.15  0.11 -0.09  0.32 -0.01  0.10
-0.15  0.04  0.00  0.12 -0.03  0.03  0.15  0.05  0.06  0.04  0.04  0.03  0.06  0.04  0.03  0.06 -0.04  0.06 -0.05  0.04  0.10  0.12 -0.18  0.13 -0.06  0.06
-1.42  0.04 -30.0 -30.0  0.03  0.04  0.32  0.13 -30.0 -30.0  0.27  0.03  0.30  0.04  0.34  0.05 -0.02  0.10 -0.03  0.05  0.06  0.06 -0.02  0.13 -0.15  0.22
 0.08  0.06 -0.10  0.13 -0.06  0.03  0.01  0.05  0.06  0.03 -0.02  0.04 -0.01  0.04 -0.01  0.07 -0.03  0.08 -0.02  0.05 -0.17  0.08  0.04  0.13  0.05  0.08
 0.02  0.09  0.07  0.18 -0.11  0.06 -0.06  0.08 -0.02  0.06 -0.03  0.08  0.04  0.08  0.01  0.08  0.03  0.09 -0.06  0.07 -0.03  0.09  0.14  0.17  0.17  0.10
 0.15  0.07 -0.17  0.15 -0.01  0.04  0.01  0.05  0.04  0.04  0.02  0.05 -0.01  0.05  0.01  0.07  0.01  0.07  0.01  0.06 -0.04  0.22 -0.09  0.15 -0.01  0.09
 0.21  0.10 -0.24  0.20 -0.04  0.06 -0.06  0.06 -0.07  0.06 -0.04  0.06  0.00  0.05  0.06  0.09 -0.03  0.11 -0.07  0.10 -0.13  0.06  0.09  0.21  0.15  0.11
 0.26  0.07 -0.21  0.15  0.06  0.04  0.05  0.06  0.13  0.04  0.03  0.11  0.05  0.03  0.00  0.10 -0.01  0.08  0.02  0.08 -0.06  0.07 -0.03  0.13  0.00  0.09
-0.35  0.04  0.35  0.10  0.09  0.03  0.24  0.04  0.24  0.03  0.15  0.03  0.13  0.05  0.21  0.06  0.01  0.07  0.02  0.04  0.13  0.05 -0.09  0.13 -0.12  0.06
 0.06  0.06  0.02  0.13  0.03  0.04 -0.03  0.04 -0.01  0.03  0.00  0.05  0.06  0.05  0.01  0.06  0.03  0.06  0.01  0.05  0.13  0.10 -0.01  0.12  0.08  0.08
-1.62  0.05  0.75  0.18 -0.05  0.07  0.39  0.04 -30.0 -30.0  0.27  0.05  0.30  0.05  0.26  0.10 -0.06  0.17 -0.06  0.08  0.09  0.11 -0.23  0.23 -0.29  0.18
-0.13  0.05  0.01  0.14 -0.01  0.04  0.17  0.07  0.11  0.03  0.05  0.03  0.08  0.05  0.04  0.08 -0.01  0.09 -0.03  0.04  0.01  0.05 -0.10  0.19 -0.02  0.06
-0.22  0.06  0.33  0.15  0.01  0.06  0.14  0.04  0.17  0.03  0.14  0.06  0.04  0.09  0.16  0.07  0.01  0.08  0.03  0.06  0.16  0.07  0.02  0.16 -0.05  0.06
 0.22  0.08 -0.16  0.15  0.03  0.05 -0.02  0.05  0.00  0.05 -0.02  0.05 -0.03  0.05  0.04  0.08  0.02  0.09 -0.04  0.07 -0.09  0.08  0.06  0.17 -0.01  0.09
-0.24  0.05  0.20  0.11  0.06  0.07  0.07  0.08  0.11  0.04  0.07  0.03  0.10  0.04  0.01  0.07 -0.03  0.10 -0.06  0.05 -0.14  0.05 -0.02  0.55  0.29  0.09
-0.50  0.05  0.51  0.13  0.06  0.04  0.28  0.05  0.27  0.05  0.20  0.06  0.16  0.07  0.25  0.05  0.02  0.07  0.04  0.05  0.39  0.06  0.06  0.13 -0.06  0.07
-0.34  0.05 -0.22  0.13  0.02  0.04  0.12  0.05  0.10  0.04  0.07  0.05  0.07  0.06  0.06  0.04 -0.02  0.06 -0.01  0.05  0.10  0.21 -0.12  0.12 -0.08  0.07
-0.28  0.05  0.43  0.12  0.07  0.04  0.19  0.04  0.23  0.03  0.14  0.05  0.09  0.08  0.21  0.06  0.03  0.08  0.01  0.05  0.16  0.07  0.01  0.15 -0.09  0.06
-0.21  0.10 -0.10  0.57 -0.01  0.54 -0.01  0.06  0.09  0.14 -0.07  0.30  0.06  0.73  0.34  0.10  0.18  0.08 -0.02  0.19 -0.01  0.27  0.24  0.53 -0.04  0.17
 0.07  0.04 -30.0 -30.0 -0.02  0.04  0.00  0.02  0.00  0.02 -0.01  0.02  0.02  0.03 -0.01  0.05 -0.04  0.04 -0.07  0.04 -0.16  0.04  0.25  0.09  0.24  0.08
 0.00  0.03  0.24  0.08  0.06  0.06  0.07  0.03 -0.05  0.05  0.01  0.03  0.02  0.04  0.00  0.07 -0.02  0.08 -0.06  0.04  0.02  0.10  0.03  0.11  0.34  0.17
-0.40  0.04  0.54  0.13  0.16  0.04  0.38  0.06  0.23  0.03  0.20  0.02  0.21  0.04  0.26  0.05 -0.01  0.06  0.00  0.04  0.11  0.22 -0.09  0.16  0.13  0.16
-0.23  0.06  0.13  0.17 -0.02  0.06  0.07  0.08  0.09  0.03  0.06  0.08  0.02  0.09  0.07  0.08  0.05  0.09 -0.01  0.07  0.07  0.10  0.11  0.18 -0.02  0.07
-0.40  0.05  0.09  0.15 -0.05  0.04  0.22  0.06  0.16  0.04  0.04  0.05  0.08  0.05  0.12  0.05  0.01  0.07 -0.08  0.05  0.07  0.07 -0.08  0.14 -0.04  0.07
-0.60  0.15 -30.0 -30.0 -30.0 -30.0 -0.04  0.26 -30.0 -30.0 -30.0 -30.0  0.00  0.17  0.21  0.20  0.01  0.33 -0.02  0.26 -30.0 -30.0  0.03  0.45 -30.0 -30.0
-0.34  0.06 -30.0 -30.0  0.17  0.06  0.18  0.10  0.18  0.05  0.18  0.03  0.18  0.06  0.19  0.10 -0.07  0.12  0.03  0.06  0.08  0.04 -0.14  0.20 -0.02  0.11
-0.02  0.06 -30.0 -30.0 -0.01  0.06 -0.01  0.09  0.04  0.06  0.01  0.03  0.10  0.04 -0.03  0.08 -0.03  0.10 -0.09  0.06 -0.15  0.06 -0.02  0.15  0.15  0.08
-0.67  0.06  0.61  0.18  0.02  0.10  0.33  0.05  0.33  0.05  0.23  0.10  0.13  0.18  0.32  0.04  0.09  0.08  0.06  0.08  0.14  0.14  0.18  0.22 -0.19  0.09
-0.88  0.04  0.59  0.14  0.08  0.03  0.38  0.04  0.25  0.07  0.25  0.03  0.23  0.05  0.23  0.08 -0.05  0.10 -0.03  0.05  0.27  0.07 -0.09  0.17 -0.02  0.13
 0.01  0.15  0.18 -30.0 -0.10  0.57  0.00  0.46  0.03  0.46  0.06  0.59 -0.09  0.66  0.09  0.29  0.05  0.33  0.04  0.35  0.03  0.48  0.06  0.75 -0.10  0.54
-0.07  0.07  0.02  0.17  0.00  0.06  0.18  0.13  0.14  0.05  0.08  0.06  0.05  0.06  0.04  0.06  0.02  0.07 -0.03  0.06 -0.04  0.09  0.08  0.15 -0.03  0.07
-0.17  0.05  0.28  0.11  0.05  0.03  0.17  0.04  0.21  0.03  0.13  0.04  0.10  0.05  0.13  0.06  0.02  0.06  0.01  0.04  0.11  0.06 -0.02  0.12 -0.06  0.06
-0.40  0.07 -30.0 -30.0  0.06  0.05  0.16  0.08  0.26  0.04  0.18  0.07  0.15  0.09  0.21  0.09  0.05  0.11  0.00  0.07  0.23  0.06 -0.17  0.20 -0.13  0.09
-0.16  0.05  0.26  0.13  0.03  0.05  0.13  0.06  0.18  0.03  0.11  0.05  0.06  0.07  0.13  0.06  0.04  0.07  0.01  0.05  0.17  0.07 -0.01  0.14 -0.10  0.07
-0.15  0.05  0.51  0.11  0.05  0.04  0.10  0.04 -0.22  0.09  0.03  0.03  0.05  0.05  0.02  0.09 -0.02  0.09 -0.06  0.06 -0.12  0.08  0.03  0.14  0.42  0.20
-0.33  0.06  0.16  0.16 -0.08  0.03  0.18  0.08  0.14  0.04  0.05  0.06  0.04  0.06  0.07  0.08 -0.01  0.09 -0.06  0.06  0.03  0.09 -0.15  0.19 -0.07  0.07
-1.11  0.08 -30.0 -30.0 -0.12  0.09  0.11  0.26  0.00  0.05  0.16  0.15  0.29  0.13  0.27  0.12  0.10  0.14 -0.13  0.12  0.15  0.22 -0.04  0.29  0.01  0.14
 0.07  0.14  0.11  0.24  0.03  0.10 -0.02  0.10  0.03  0.10  0.06  0.12 -0.04  0.09  0.03  0.08  0.03  0.09  0.06  0.09  0.03  0.12  0.03  0.20 -0.10  0.14
-0.08  0.04  0.10  0.09  0.01  0.06  0.04  0.05  0.04  0.03  0.01  0.02  0.10  0.03  0.04  0.05 -0.04  0.07 -0.07  0.04 -0.07  0.04  0.04  0.15  0.33  0.09
 0.05  0.07 -0.11  0.16  0.02  0.05  0.15  0.07  0.11  0.05  0.02  0.05  0.01  0.05  0.01  0.07  0.01  0.07  0.00  0.06 -0.01  0.07 -0.08  0.15 -0.12  0.08
-0.57  0.05  0.49  0.12  0.06  0.04  0.36  0.05  0.29  0.04  0.22  0.05  0.26  0.06  0.30  0.05  0.01  0.06  0.01  0.05  0.16  0.11  0.06  0.12 -0.08  0.07
-0.06  0.04  0.13  0.11  0.03  0.03  0.20  0.04  0.19  0.03  0.08  0.03  0.07  0.05  0.06  0.05 -0.01  0.05 -0.01  0.04  0.30  0.08 -0.19  0.12 -0.06  0.06
 0.25  0.10 -0.17  0.19  0.08  0.06 -0.02  0.07  0.02  0.07 -0.04  0.07 -0.06  0.05  0.00  0.08 -0.02  0.08  0.03  0.08  0.03  0.08  0.21  0.16  0.04  0.11
 0.06  0.09 -0.03  0.19  0.00  0.06 -0.03  0.06  0.01  0.06 -0.01  0.07  0.00  0.06 -0.01  0.08  0.00  0.09 -0.03  0.08 -0.02  0.09  0.04  0.17  0.03  0.10
-0.03  0.03 -0.05  0.08  0.02  0.05  0.04  0.05  0.08  0.03  0.03  0.02  0.06  0.02  0.01  0.04 -0.02  0.05 -0.05  0.03 -0.02  0.04 -0.05  0.12  0.12  0.04
-0.44  0.05  0.18  0.14  0.01  0.04  0.21  0.06  0.16  0.03  0.09  0.06  0.10  0.05  0.12  0.04  0.00  0.04 -0.01  0.05  0.07  0.07 -0.05  0.11 -0.07  0.06
-0.26  0.04  0.37  0.11  0.08  0.04  0.24  0.05  0.27  0.03  0.16  0.04  0.14  0.06  0.22  0.05  0.00  0.06  0.05  0.04  0.14  0.05 -0.07  0.12 -0.12  0.06
 0.04  0.09  0.11  0.17  0.07  0.06  0.13  0.08  0.15  0.06  0.08  0.06  0.04  0.06  0.10  0.08 -0.02  0.09  0.03  0.06  0.30  0.09 -0.03  0.16 -0.11  0.10
-0.64  0.04  0.41  0.12  0.14  0.04  0.34  0.04  0.02  0.07  0.18  0.03  0.15  0.05  0.20  0.06 -0.04  0.09 -0.04  0.05  0.17  0.08 -0.12  0.11 -0.21  0.12
-0.68  0.05  0.50  0.13  0.10  0.03  0.37  0.04  0.22  0.04  0.22  0.04  0.20  0.06  0.22  0.07  0.01  0.09  0.01  0.05  0.16  0.06 -0.11  0.17 -0.08  0.10
-0.62  0.05  0.44  0.14  0.06  0.04  0.36  0.06  0.26  0.04  0.18  0.05  0.20  0.06  0.19  0.08 -0.04  0.09  0.02  0.05  0.19  0.09 -0.18  0.18 -0.15  0.11
-0.24  0.05  0.18  0.12  0.03  0.03  0.18  0.04  0.18  0.04  0.08  0.03  0.12  0.05  0.12  0.07 -0.01  0.07 -0.01  0.04  0.15  0.08 -0.09  0.15  0.00  0.07
-0.12  0.10 -30.0 -30.0 -0.01  0.04  0.04  0.07  0.06  0.07  0.01  0.07  0.04  0.08  0.03  0.10  0.02  0.10 -0.02  0.09  0.56  0.06 -0.07  0.20 -0.01  0.09
-0.11  0.07  0.26  0.22  0.11  0.07  0.13  0.09  0.11  0.05  0.01  0.09  0.13  0.08  0.06  0.07  0.06  0.07 -0.01  0.07 -0.07  0.11 -0.01  0.19 -0.01  0.09
-0.25  0.04  0.19  0.09  0.01  0.02  0.18  0.03  0.11  0.03  0.07  0.03  0.08  0.03  0.08  0.04 -0.01  0.04 -0.03  0.04  0.04  0.04 -0.18  0.09 -0.07  0.06
-0.31  0.06  0.39  0.16 -0.01  0.09  0.09  0.05  0.14  0.03  0.12  0.08  0.03  0.14  0.14  0.06  0.04  0.08  0.02  0.07  0.17  0.09  0.06  0.19 -0.12  0.06
-0.04  0.04  0.03  0.08  0.04  0.03  0.06  0.05 -0.05  0.03  0.00  0.02  0.00  0.02 -0.03  0.05 -0.06  0.05 -0.05  0.04 -0.10  0.03 -0.20  0.09 -0.11  0.06
-0.04  0.06 -0.02  0.15  0.08  0.05  0.16  0.07  0.04  0.07  0.06  0.05  0.04  0.05  0.01  0.07 -0.03  0.07 -0.01  0.05 -0.06  0.10 -0.14  0.15 -0.04  0.08
-0.96  0.05  0.28  0.13 -0.29  0.05  0.17  0.06 -0.20  0.04  0.02  0.04  0.13  0.04  0.09  0.08  0.01  0.09 -0.22  0.05  0.04  0.06 -0.28  0.14 -0.22  0.12
-0.26  0.03  0.06  0.09  0.06  0.04  0.18  0.03  0.04  0.04  0.05  0.02  0.04  0.03  0.00  0.05 -0.02  0.05 -0.04  0.04  0.18  0.14 -0.11  0.10  0.05  0.07
-0.11  0.05  0.05  0.12 -0.04  0.03 -0.01  0.03 -0.03  0.03 -0.01  0.05  0.00  0.05  0.00  0.07 -0.01  0.08 -0.04  0.05 -0.06  0.07  0.01  0.14  0.08  0.08
-0.35  0.06  0.41  0.14  0.01  0.05  0.23  0.05  0.24  0.04  0.15  0.06  0.11  0.07  0.17  0.06  0.02  0.07  0.03  0.06  0.13  0.08 -0.02  0.14 -0.07  0.08
-0.44  0.05  0.41  0.13  0.06  0.06  0.27  0.05  0.28  0.03  0.18  0.07  0.10  0.10  0.26  0.06  0.04  0.07  0.04  0.06  0.26  0.09  0.14  0.13 -0.10  0.06
-0.52  0.06  0.14  0.15  0.04  0.03  0.21  0.07  0.08  0.05  0.07  0.06  0.06  0.06  0.08  0.08  0.00  0.09 -0.03  0.06  0.09  0.11 -0.09  0.17  0.06  0.08
-0.20  0.04  0.12  0.12 -0.02  0.03  0.08  0.04  0.01  0.03  0.01  0.09  0.05  0.04  0.05  0.07  0.00  0.07 -0.05  0.04  0.08  0.11 -0.13  0.15 -0.04  0.07
-0.54  0.05  0.29  0.12  0.04  0.03  0.18  0.05  0.08  0.05  0.07  0.03  0.09  0.04  0.05  0.07 -0.02  0.09 -0.07  0.05  0.01  0.06 -0.20  0.14  0.00  0.11
-0.06  0.10  0.35  0.19 -0.01  0.09  0.07  0.17  0.13  0.06  0.13  0.09 -0.01  0.10  0.12  0.07  0.01  0.08  0.03  0.08  0.16  0.19  0.02  0.19 -0.03  0.10
 0.04  0.15 -0.01  0.45 -0.15  0.32  0.01  0.14 -0.02  0.17  0.02  0.22 -0.10  0.42  0.12  0.11  0.04  0.13 -0.01  0.14 -0.03  0.18  0.10  0.32 -0.09  0.18
 0.03  0.07  0.07  0.13  0.01  0.05  0.03  0.07  0.08  0.05  0.06  0.06 -0.02  0.08  0.04  0.05  0.05  0.06  0.02  0.05  0.02  0.06 -0.01  0.10 -0.04  0.07
-1.66  0.06  0.50  0.19 -30.0 -30.0  0.40  0.03 -30.0 -30.0  0.16  0.04  0.33  0.06  0.31  0.12 -0.07  0.13  0.02  0.08 -30.0 -30.0  0.18  0.21 -0.08  0.18
-0.95  0.04  0.54  0.12  0.11  0.02  0.44  0.04  0.32  0.04  0.26  0.04  0.24  0.05  0.25  0.06  0.02  0.07  0.02  0.05  0.07  0.07 -0.07  0.13 -0.17  0.09
 0.00  0.06 -0.07  0.13 -0.09  0.03 -0.06  0.05 -0.05  0.04 -0.04  0.04  0.03  0.04  0.02  0.06  0.03  0.07 -0.08  0.05 -0.07  0.06  0.10  0.13  0.24  0.07
-0.10  0.04 -30.0 -30.0 -0.02  0.02  0.03  0.02 -0.07  0.02 -0.01  0.02  0.06  0.03  0.02  0.07 -0.03  0.06 -0.07  0.04 -0.10  0.04  0.04  0.13  0.18  0.09
-0.84  0.05  0.42  0.15  0.13  0.03  0.31  0.04  0.12  0.06  0.15  0.03  0.18  0.05  0.22  0.07 -0.05  0.09 -0.04  0.05  0.15  0.08 -0.16  0.17 -0.14  0.14
 0.13  0.21 -30.0 -30.0 -0.01  0.13  0.11  0.25  0.10  0.13  0.00  0.18 -0.06  0.14  0.06  0.20  0.04  0.19  0.06  0.14  0.16  0.13  0.01  0.32 -0.08  0.20
-0.02  0.09 -30.0 -30.0 -0.08  0.04  0.00  0.06  0.09  0.05 -0.01  0.06 -0.01  0.06  0.08  0.09  0.00  0.09  0.00  0.08  0.01  0.06 -0.08  0.16  0.00  0.09
 0.21  0.08 -30.0 -30.0  0.00  0.04 -0.06  0.05  0.01  0.05  0.00  0.05 -0.02  0.06  0.00  0.10  0.03  0.08  0.00  0.07 -0.08  0.06 -0.01  0.16  0.05  0.10
 0.13  0.11 -0.01  0.20  0.21  0.10  0.01  0.08  0.07  0.06  0.08  0.08 -0.05  0.08  0.01  0.09  0.04  0.10  0.10  0.07  0.11  0.11 -0.02  0.19 -0.18  0.13
-0.47  0.05  0.35  0.11  0.01  0.03  0.32  0.04  0.29  0.04  0.20  0.03  0.25  0.04  0.30  0.05 -0.03  0.06  0.03  0.04  0.06  0.17 -0.01  0.11 -0.02  0.08
-0.33  0.04  0.14  0.10 -0.05  0.02  0.08  0.04  0.08  0.03  0.03  0.03  0.04  0.04  0.03  0.05 -0.02  0.05 -0.05  0.04  0.01  0.18 -0.12  0.10 -0.07  0.05
 0.41  0.11 -30.0 -30.0  0.12  0.06  0.00  0.07 -0.01  0.07 -0.01  0.07 -0.04  0.06  0.00  0.11 -0.01  0.09  0.02  0.09  0.11  0.09 -0.08  0.19 -0.05  0.14
-0.63  0.09 -30.0 -30.0  0.02  0.04  0.27  0.11  0.09  0.06  0.14  0.06  0.13  0.07  0.19  0.09  0.00  0.13  0.00  0.09  0.04  0.07 -0.12  0.20  0.02  0.11
-0.81  0.04  0.56  0.11  0.15  0.03  0.41  0.05  0.26  0.04  0.20  0.03  0.26  0.05  0.29  0.06  0.00  0.07  0.00  0.04  0.23  0.12 -0.07  0.13 -0.09  0.09
-0.89  0.05  0.63  0.16  0.11  0.03  0.40  0.04  0.24  0.05  0.24  0.04  0.29  0.08  0.27  0.11  0.06  0.11  0.01  0.06  0.17  0.11  0.03  0.22  0.00  0.12
-1.84  0.10 -30.0 -30.0 -0.11  0.12  0.30  0.17 -30.0 -30.0  0.27  0.16  0.30  0.09  0.32  0.10  0.17  0.18 -0.05  0.12  0.21  0.22 -0.03  0.31 -0.21  0.22
-0.91  0.05  0.73  0.18  0.09  0.08  0.38  0.05  0.32  0.06  0.27  0.10  0.24  0.16  0.31  0.05  0.08  0.08  0.03  0.08  0.23  0.14  0.05  0.19 -0.15  0.08
-0.35  0.04  0.41  0.11  0.10  0.04  0.32  0.07  0.23  0.03  0.18  0.03  0.21  0.05  0.23  0.06  0.00  0.08  0.00  0.04  0.27  0.06 -0.02  0.15 -0.04  0.07
-0.05  0.05  0.15  0.12  0.02  0.04  0.10  0.05  0.15  0.03  0.06  0.04  0.03  0.05  0.06  0.07 -0.03  0.07 -0.03  0.05  0.02  0.06 -0.17  0.15 -0.07  0.07
-0.19  0.04  0.12  0.10 -0.02  0.03  0.12  0.04  0.07  0.02  0.05  0.03  0.05  0.05  0.02  0.06 -0.01  0.06 -0.01  0.04  0.21  0.08 -0.08  0.12 -0.01  0.06
-0.36  0.09 -30.0 -30.0  0.02  0.05  0.06  0.07  0.05  0.08  0.06  0.08  0.07  0.09  0.08  0.13  0.00  0.15 -0.03  0.09 -0.07  0.09 -0.11  0.27  0.01  0.13
-0.84  0.05  0.49  0.15  0.02  0.03  0.35  0.04  0.25  0.05  0.17  0.06  0.21  0.08  0.24  0.07  0.00  0.10  0.01  0.06  0.15  0.11 -0.04  0.17 -0.07  0.10
-0.63  0.10 -30.0 -30.0  0.13  0.06  0.41  0.11  0.37  0.06  0.24  0.07  0.27  0.10  0.31  0.10 -0.02  0.15  0.05  0.09  0.11  0.09 -0.06  0.23 -0.07  0.13
 0.25  0.11 -30.0 -30.0  0.12  0.08  0.03  0.08  0.06  0.06  0.07  0.08 -0.03  0.06  0.04  0.11  0.05  0.09  0.06  0.09  0.02  0.09 -0.04  0.20 -0.03  0.14
-0.32  0.05  0.30  0.12  0.06  0.03  0.29  0.04  0.21  0.03  0.14  0.03  0.18  0.06  0.22  0.07 -0.01  0.07  0.01  0.04  0.12  0.05 -0.14  0.15 -0.08  0.08
-0.04  0.05  0.04  0.12  0.05  0.05  0.11  0.05 -0.01  0.03  0.03  0.04  0.02  0.04 -0.01  0.06 -0.04  0.06 -0.02  0.05  0.02  0.09 -0.04  0.12 -0.03  0.07
-0.14  0.07 -30.0 -30.0  0.13  0.08 -0.01  0.04 -30.0 -30.0  0.00  0.06  0.11  0.06  0.00  0.11 -0.10  0.10 -0.02  0.08 -30.0 -30.0  0.11  0.15  0.06  0.15
 0.17  0.13 -30.0 -30.0  0.06  0.07 -0.03  0.06  0.02  0.07  0.02  0.08  0.00  0.08  0.00  0.15 -0.01  0.13  0.03  0.11  0.02  0.09 -0.02  0.27 -0.03  0.15
-0.03  0.05  0.00  0.12 -0.08  0.04  0.02  0.04  0.02  0.03 -0.01  0.03  0.02  0.04  0.02  0.06 -0.02  0.06 -0.06  0.04 -0.06  0.05 -0.15  0.13 -0.07  0.07
-0.55  0.09 -30.0 -30.0  0.14  0.05  0.27  0.09  0.29  0.06  0.13  0.07  0.27  0.11  0.28  0.11  0.01  0.13  0.01  0.09  0.05  0.09 -0.16  0.27 -0.06  0.11
-0.33  0.05  0.34  0.12  0.05  0.02  0.19  0.06  0.23  0.03  0.13  0.04  0.17  0.05  0.22  0.06 -0.03  0.08 -0.01  0.04  0.17  0.05 -0.10  0.14 -0.10  0.07
-0.03  0.05 -0.02  0.13 -0.05  0.03  0.11  0.06  0.05  0.03 -0.02  0.04  0.05  0.05  0.04  0.06 -0.02  0.06 -0.06  0.05 -0.04  0.05 -0.11  0.13 -0.04  0.07
-0.61  0.05  0.66  0.14  0.06  0.07  0.35  0.07  0.31  0.04  0.25  0.08  0.16  0.12  0.31  0.05  0.04  0.07  0.05  0.06  0.21  0.10  0.00  0.16 -0.11  0.07
-0.90  0.06 -30.0 -30.0  0.03  0.03  0.37  0.05  0.26  0.04  0.23  0.05  0.26  0.05  0.31  0.08 -0.01  0.10 -0.01  0.07  0.11  0.08  0.09  0.18  0.01  0.13
 0.12  0.05 -0.11  0.11  0.03  0.04  0.07  0.05  0.07  0.03  0.01  0.03  0.01  0.05 -0.01  0.06  0.00  0.06  0.02  0.04  0.19  0.08 -0.07  0.13  0.01  0.26
-0.07  0.07 -30.0 -30.0 -0.02  0.08  0.01  0.04 -0.09  0.04 -0.05  0.04  0.04  0.07  0.03  0.09 -0.06  0.09 -0.08  0.08 -0.15  0.03 -0.01  0.17  0.27  0.08
